district,town,religion,age_group,total_p,total_m,total_f,literate_p,literate_m,literate_f,illiterate_p,illiterate_m,illiterate_f
Jerusalem,Jerusalem,moslems,0-7,4265,2267,1998,93,47,46,4172,2220,1952
Jerusalem,Jerusalem,moslems,7-14,3298,1893,1405,1446,906,540,1852,987,865
Jerusalem,Jerusalem,moslems,14-21,2896,1676,1220,1328,895,433,1568,781,787
Jerusalem,Jerusalem,moslems,21+,9430,5271,4159,2948,2330,618,6482,2941,3541
Jerusalem,Jerusalem,moslems,not_recorded,5,4,1,4,4,0,1,0,1
Jerusalem,Jerusalem,jews,total,51222,24795,26427,32703,17967,14736,18519,6828,11691
Jerusalem,Jerusalem,jews,0-7,10437,5332,5105,1078,561,517,9359,4771,4588
Jerusalem,Jerusalem,jews,7-14,7916,4005,3911,6660,3406,3254,1256,599,657
Jerusalem,Jerusalem,jews,14-21,6181,2818,3363,5508,2709,2799,673,109,564
Jerusalem,Jerusalem,jews,21+,26669,12629,14040,19457,11291,8166,7212,1338,5874
Jerusalem,Jerusalem,jews,not_recorded,19,11,8,0,0,0,19,11,8
Jerusalem,Jerusalem,christians,total,19335,9834,9501,12602,7196,5406,6733,2638,4095
Jerusalem,Jerusalem,christians,0-7,2912,1475,1437,256,122,134,2656,1353,1303
Jerusalem,Jerusalem,christians,7-14,2561,1350,1211,2051,1091,960,510,259,251
Jerusalem,Jerusalem,christians,14-21,2904,1560,1344,2504,1430,1074,400,130,270
Jerusalem,Jerusalem,christians,21+,10951,5446,5505,7790,4552,3238,3161,894,2267
Jerusalem,Jerusalem,christians,not_recorded,7,3,4,1,1,0,6,2,4
Jerusalem,Jerusalem,others,total,52,36,16,46,34,12,6,2,4
Jerusalem,Jerusalem,others,0-7,5,2,3,0,0,0,5,2,3
Jerusalem,Jerusalem,others,7-14,1,0,1,0,0,0,1,0,1
Jerusalem,Jerusalem,others,14-21,6,5,1,6,5,1,0,0,0
Jerusalem,Jerusalem,others,21+,40,29,11,40,29,11,0,0,0
Jerusalem,Jerusalem,others,not_recorded,0,0,0,0,0,0,0,0,0
Northern,Haifa,moslems,total,20324,11324,9000,3899,3135,764,16425,8189,8236
Northern,Haifa,moslems,0-7,4451,2290,2161,113,74,39,4338,2216,2122
Northern,Haifa,moslems,7-14,3031,1606,1425,822,579,243,2209,1027,1182
Northern,Haifa,moslems,14-21,2998,1709,1289,817,616,201,2181,1093,1088
Northern,Haifa,moslems,21+,9838,5715,4123,2147,1866,281,7691,3849,3842
Northern,Haifa,moslems,not_recorded,6,4,2,0,0,0,6,4,2
Northern,Haifa,jews,total,15923,8232,7691,12515,6706,5809,3408,1526,1882
Northern,Haifa,jews,0-7,2864,1525,1339,633,348,285,2231,1177,1054
Northern,Haifa,jews,7-14,1820,930,890,1645,862,783,175,68,107
Northern,Haifa,jews,14-21,1556,772,784,1455,725,730,101,47,54
Northern,Haifa,jews,21+,9660,4985,4675,8782,4771,4011,878,214,664
Northern,Haifa,jews,not_recorded,23,20,3,0,0,0,23,20,3
Northern,Haifa,christians,total,13824,7297,6527,7440,4646,2794,6384,2651,3733
Northern,Haifa,christians,0-7,2440,1289,1151,170,85,85,2270,1204,1066
Northern,Haifa,christians,7-14,1743,860,883,1100,580,520,643,280,363
Northern,Haifa,christians,14-21,1997,986,1011,1405,809,596,592,177,415
Northern,Haifa,christians,21+,7643,4161,3482,4765,3172,1593,2878,989,1889
Northern,Haifa,christians,not_recorded,1,1,0,0,0,0,1,1,0
Northern,Haifa,others,total,332,190,142,165,110,55,167,80,87
Northern,Haifa,others,0-7,64,32,32,3,2,1,61,30,31
Northern,Haifa,others,7-14,36,19,17,23,15,8,13,4,9
Northern,Haifa,others,14-21,41,20,21,18,11,7,23,9,14
Northern,Haifa,others,21+,191,119,72,121,82,39,70,37,33
Northern,Haifa,others,not_recorded,0,0,0,0,0,0,0,0,0
