district,religion,age_group,total_p,total_m,total_f,literate_p,literate_m,literate_f,illiterate_p,illiterate_m,illiterate_f
Jerusalem,jews,21+,28661,13721,14940,21226,12342,8884,7435,1379,6056
Jerusalem,jews,not_recorded,19,11,8,0,0,0,19,11,8
Jerusalem,christians,total,38488,18567,19921,19415,11213,8202,19073,7354,11719
Jerusalem,christians,0-7,6902,3547,3355,326,160,166,6576,3387,3189
Jerusalem,christians,7-14,5645,2916,2729,3583,1916,1667,2062,1000,1062
Jerusalem,christians,14-21,5229,2628,2601,4058,2256,1802,1171,372,799
Jerusalem,christians,21+,20697,9468,11229,11447,6880,4567,9250,2588,6662
Jerusalem,christians,not_recorded,15,8,7,1,1,0,14,7,7
Jerusalem,others,total,96,63,33,66,46,20,30,17,13
Jerusalem,others,0-7,10,5,5,0,0,0,10,5,5
Jerusalem,others,7-14,6,2,4,2,0,2,4,2,2
Jerusalem,others,14-21,12,7,5,7,5,2,5,2,3
Jerusalem,others,21+,68,49,19,57,41,16,11,8,3
Jerusalem,others,not_recorded,0,0,0,0,0,0,0,0,0
Northern,all,total,407246,206739,200507,87033,63975,23058,320213,142764,177449
Northern,all,0-7,95753,48965,46788,2100,1249,851,93653,47716,45937
Northern,all,7-14,60784,33080,27704,18463,13608,4855,42321,19472,22849
Northern,all,14-21,46590,24102,22488,13712,9929,3783,32878,14173,18705
Northern,all,21+,204013,100533,103480,52755,39186,13569,151258,61347,89911
Northern,all,not_recorded,106,59,47,3,3,0,103,56,47
Northern,moslems,total,318890,161229,157661,39153,35165,3988,279737,126064,153673
Northern,moslems,0-7,78035,39731,38304,610,432,178,77425,39299,38126
Northern,moslems,7-14,49064,26955,22109,10759,9260,1499,38305,17695,20610
Northern,moslems,14-21,37141,19393,17748,7105,6163,942,30036,13230,16806
Northern,moslems,21+,154583,75121,79462,20677,19308,1369,133906,55813,78093
Northern,moslems,not_recorded,67,29,38,2,2,0,65,27,38
Northern,jews,total,40928,21379,19549,29851,16695,13156,11077,4684,6393
Northern,jews,0-7,7920,4109,3811,1046,569,477,6874,3540,3334
Northern,jews,7-14,4909,2534,2375,4211,2202,2009,698,332,366
Northern,jews,14-21,3872,1938,1934,3531,1814,1717,341,124,217
Northern,jews,21+,24190,12770,11420,21062,12109,8953,3128,661,2467
Northern,jews,not_recorded,37,28,9,1,1,0,36,27,9
Northern,christians,total,37755,19270,18485,16501,10852,5649,21254,8418,12836
Northern,christians,0-7,7586,3992,3594,406,225,181,7180,3767,3413
Northern,christians,7-14,5284,2775,2509,3099,1835,1264,2185,940,1245
Northern,christians,14-21,4592,2294,2298,2866,1781,1085,1726,513,1213
Northern,christians,21+,20292,10208,10084,10130,7011,3119,10162,3197,6965
Northern,christians,not_recorded,1,1,0,0,0,0,1,1,0
Northern,others,total,9673,4861,4812,1528,1263,265,8145,3598,4547
Northern,others,0-7,2212,1133,1079,38,23,15,2174,1110,1064
Northern,others,7-14,1527,816,711,394,311,83,1133,505,628
Northern,others,14-21,985,477,508,210,171,39,775,306,469
Northern,others,21+,4948,2434,2514,886,758,128,4062,1676,2386
Northern,others,not_recorded,1,1,0,0,0,0,1,1,0
