scope,district,name,religion,persons,males,females
total,Palestine,Palestine,all,757182,387118,370064
total,Palestine,Palestine,moslems,590890,301108,289782
total,Palestine,Palestine,jews,83794,43860,39934
total,Palestine,Palestine,christians,73024,36491,36533
total,Palestine,Palestine,others,9474,5659,3815
urban,Palestine,Palestine,all,264317,136931,127386
urban,Palestine,Palestine,moslems,139074,73424,65650
urban,Palestine,Palestine,jews,68622,35174,33448
urban,Palestine,Palestine,christians,55043,27166,27877
urban,Palestine,Palestine,others,1578,1167,411
urban,Southern,Southern District,all,91947,48627,43320
urban,Southern,Southern District,moslems,61366,32142,29224
urban,Southern,Southern District,jews,20351,11211,9140
urban,Southern,Southern District,christians,10208,5255,4953
urban,Southern,Southern District,others,22,19,3
urban,Southern,Khan Yunis,all,3890,1839,2051
urban,Southern,Khan Yunis,moslems,3866,1826,2040
urban,Southern,Khan Yunis,jews,1,1,0
urban,Southern,Khan Yunis,christians,23,12,11
urban,Southern,Khan Yunis,others,0,0,0
urban,Southern,Gaza,all,17480,9036,8444
urban,Southern,Gaza,moslems,16722,8636,8086
urban,Southern,Gaza,jews,54,38,16
urban,Southern,Gaza,christians,701,359,342
urban,Southern,Gaza,others,3,3,0
urban,Southern,Majdal,all,5097,2563,2534
urban,Southern,Majdal,moslems,5064,2545,2519
urban,Southern,Majdal,jews,0,0,0
urban,Southern,Majdal,christians,33,18,15
urban,Southern,Majdal,others,0,0,0
urban,Southern,Beersheba,all,2356,1348,1008
urban,Southern,Beersheba,moslems,2012,1126,886
urban,Southern,Beersheba,jews,98,65,33
urban,Southern,Beersheba,christians,235,146,89
urban,Southern,Beersheba,others,11,11,0
urban,Southern,Jaffa,all,32524,17359,15165
urban,Southern,Jaffa,moslems,20621,11110,9511
urban,Southern,Jaffa,jews,5087,2803,2284
urban,Southern,Jaffa,christians,6808,3441,3367
urban,Southern,Jaffa,others,8,5,3
urban,Southern,Tel Aviv,all,15185,8326,6859
urban,Southern,Tel Aviv,moslems,78,44,34
urban,Southern,Tel Aviv,jews,15065,8272,6793
urban,Southern,Tel Aviv,christians,42,10,32
urban,Southern,Tel Aviv,others,0,0,0
urban,Southern,Ramle,all,7312,3882,3430
urban,Southern,Ramle,moslems,5837,3104,2733
urban,Southern,Ramle,jews,35,23,12
urban,Southern,Ramle,christians,1440,755,685
urban,Southern,Ramle,others,0,0,0
urban,Southern,Lydda,all,8103,4274,3829
urban,Southern,Lydda,moslems,7166,3751,3415
urban,Southern,Lydda,jews,11,9,2
urban,Southern,Lydda,christians,926,514,412
urban,Southern,Lydda,others,0,0,0
urban,Jerusalem,Jerusalem District,all,92018,47043,44975
urban,Jerusalem,Jerusalem District,moslems,30471,16651,13820
urban,Jerusalem,Jerusalem District,jews,34410,16892,17518
urban,Jerusalem,Jerusalem District,christians,26642,13007,13635
urban,Jerusalem,Jerusalem District,others,495,493,2
urban,Jerusalem,Hebron,all,16577,8490,8087
urban,Jerusalem,Hebron,moslems,16074,8278,7796
urban,Jerusalem,Hebron,jews,430,175,255
urban,Jerusalem,Hebron,christians,73,37,36
urban,Jerusalem,Hebron,others,0,0,0
urban,Jerusalem,Beit Jala,all,3101,1380,1721
urban,Jerusalem,Beit Jala,moslems,41,27,14
urban,Jerusalem,Beit Jala,jews,0,0,0
urban,Jerusalem,Beit Jala,christians,3060,1353,1707
urban,Jerusalem,Beit Jala,others,0,0,0
urban,Jerusalem,Bethlehem,all,6658,3077,3581
urban,Jerusalem,Bethlehem,moslems,818,445,373
urban,Jerusalem,Bethlehem,jews,2,0,2
urban,Jerusalem,Bethlehem,christians,5838,2632,3206
urban,Jerusalem,Bethlehem,others,0,0,0
urban,Jerusalem,Jerusalem,all,62578,32611,29967
urban,Jerusalem,Jerusalem,moslems,13413,7804,5609
urban,Jerusalem,Jerusalem,jews,33971,16713,17258
urban,Jerusalem,Jerusalem,christians,14699,7601,7098
