religion,age_group,pop_persons,pop_males,pop_females,unmarried_persons,unmarried_males,unmarried_females,married_persons,married_males,married_females,divorced_persons,divorced_males,divorced_females,widowed_persons,widowed_males,widowed_females
moslems,total,20324,11324,9000,11181,6927,4254,7939,4140,3799,88,42,46,1116,215,901
moslems,0-1,697,376,321,697,376,321,0,0,0,0,0,0,0,0,0
moslems,1-2,613,310,303,613,310,303,0,0,0,0,0,0,0,0,0
moslems,2-3,673,349,324,673,349,324,0,0,0,0,0,0,0,0,0
moslems,3-4,681,353,328,681,353,328,0,0,0,0,0,0,0,0,0
moslems,4-5,612,318,294,612,318,294,0,0,0,0,0,0,0,0,0
moslems,0-5,3276,1706,1570,3276,1706,1570,0,0,0,0,0,0,0,0,0
moslems,5-10,2778,1425,1353,2778,1425,1353,0,0,0,0,0,0,0,0,0
moslems,10-15,1666,903,763,1653,901,752,12,1,11,0,0,0,1,1,0
moslems,15-20,1628,970,658,1268,934,334,346,35,311,5,0,5,9,1,8
moslems,20-25,2281,1297,984,1103,974,129,1138,311,827,10,4,6,30,8,22
moslems,25-30,2078,1247,831,582,537,45,1441,686,755,11,5,6,44,19,25
moslems,30-35,1681,958,723,224,205,19,1391,734,657,15,8,7,51,11,40
moslems,35-40,1344,803,541,100,86,14,1145,682,463,17,8,9,82,27,55
moslems,40-45,1099,633,466,82,72,10,879,537,342,9,4,5,129,20,109
moslems,45-50,655,394,261,38,33,5,502,341,161,8,5,3,107,15,92
moslems,50-55,652,353,299,24,19,5,450,311,139,4,2,2,174,21,153
moslems,55-60,242,149,93,11,8,3,169,128,41,4,3,1,58,10,48
moslems,60-65,360,191,169,13,10,3,221,167,54,2,1,1,124,13,111
moslems,65-70,154,94,60,6,3,3,86,75,11,1,1,0,61,15,46
moslems,70-75,187,85,102,6,4,2,78,67,11,0,0,0,103,14,89
moslems,75+,237,112,125,12,6,6,80,65,15,2,1,1,143,40,103
moslems,not_recorded,6,4,2,5,4,1,1,0,1,0,0,0,0,0,0
jews,total,15923,8232,7691,8223,4634,3589,7041,3501,3540,76,29,47,583,68,515
jews,0-1,467,260,207,467,260,207,0,0,0,0,0,0,0,0,0
jews,1-2,400,202,198,400,202,198,0,0,0,0,0,0,0,0,0
jews,2-3,425,227,198,425,227,198,0,0,0,0,0,0,0,0,0
jews,3-4,376,195,181,376,195,181,0,0,0,0,0,0,0,0,0
jews,4-5,413,224,189,413,224,189,0,0,0,0,0,0,0,0,0
jews,0-5,2081,1108,973,2081,1108,973,0,0,0,0,0,0,0,0,0
jews,5-10,1735,898,837,1735,898,837,0,0,0,0,0,0,0,0,0
jews,10-15,1021,524,497,1021,524,497,0,0,0,0,0,0,0,0,0
jews,15-20,1096,566,530,1055,565,490,39,1,38,1,0,1,1,0,1
jews,20-25,1795,828,967,1196,698,498,585,129,456,10,1,9,4,0,4
jews,25-30,2527,1278,1249,758,558,200,1730,711,1019,17,6,11,22,3,19
jews,30-35,1864,1082,782,240,191,49,1589,881,708,14,3,11,21,7,14
jews,35-40,1038,580,458,63,46,17,938,529,409,13,5,8,24,0,24
jews,40-45,721,371,350,31,15,16,633,349,284,6,2,4,51,5,46
jews,45-50,510,259,251,15,7,8,442,246,196,4,2,2,49,4,45
jews,50-55,481,244,237,7,6,1,403,231,172,4,3,1,67,4,63
jews,55-60,345,159,186,1,0,1,271,154,117,0,0,0,73,5,68
jews,60-65,327,149,178,3,3,0,211,135,76,0,0,0,113,11,102
jews,65-70,183,91,92,5,4,1,115,75,40,1,1,0,62,11,51
jews,70-75,104,47,57,0,0,0,55,37,18,0,0,0,49,10,39
jews,75+,72,28,44,1,1,0,24,19,5,0,0,0,47,8,39
jews,not_recorded,23,20,3,11,10,1,6,4,2,6,6,0,0,0,0
christians,total,13824,7297,6527,8476,4899,3577,4463,2311,2152,32,9,23,853,78,775
christians,0-1,378,209,169,378,209,169,0,0,0,0,0,0,0,0,0
christians,1-2,348,181,167,348,181,167,0,0,0,0,0,0,0,0,0
christians,2-3,345,194,151,345,194,151,0,0,0,0,0,0,0,0,0
christians,3-4,373,192,181,373,192,181,0,0,0,0,0,0,0,0,0
christians,4-5,344,179,165,344,179,165,0,0,0,0,0,0,0,0,0
christians,0-5,1788,955,833,1788,955,833,0,0,0,0,0,0,0,0,0
christians,5-10,1583,796,787,1583,796,787,0,0,0,0,0,0,0,0,0
christians,10-15,955,461,494,954,461,493,1,0,1,0,0,0,0,0,0
christians,15-20,1301,643,658,1172,639,533,126,4,122,1,0,1,2,0,2
christians,20-25,2002,1246,756,1452,1086,366,543,157,386,3,2,1,4,1,3
christians,25-30,1498,872,626,704,535,169,763,324,439,5,0,5,26,13,13
christians,30-35,1078,598,480,290,184,106,752,408,344,7,3,4,29,3,26
christians,35-40,838,444,394,165,89,76,622,350,272,4,1,3,47,4,43
christians,40-45,662,324,338,107,53,54,479,266,213,4,1,3,72,4,68
christians,45-50,561,276,285,79,29,50,386,240,146,5,2,3,91,5,86
christians,50-55,507,231,276,70,31,39,295,193,102,1,0,1,141,7,134
christians,55-60,297,140,157,28,10,18,174,127,47,1,0,1,94,3,91
christians,60-65,266,117,149,30,10,20,138,100,38,1,0,1,97,7,90
christians,65-70,169,78,91,21,10,11,77,61,16,0,0,0,71,7,64
christians,70-75,141,61,80,16,5,11,62,49,13,0,0,0,63,7,56
christians,75+,177,54,123,16,5,11,45,32,13,0,0,0,116,17,99
christians,not_recorded,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
others,total,332,190,142,172,108,64,144,77,67,0,0,0,16,5,11
others,0-1,15,6,9,15,6,9,0,0,0,0,0,0,0,0,0
others,1-2,10,5,5,10,5,5,0,0,0,0,0,0,0,0,0
others,2-3,11,5,6,11,5,6,0,0,0,0,0,0,0,0,0
others,3-4,7,5,2,7,5,2,0,0,0,0,0,0,0,0,0
others,4-5,13,7,6,13,7,6,0,0,0,0,0,0,0,0,0
others,0-5,56,28,28,56,28,28,0,0,0,0,0,0,0,0,0
others,5-10,26,12,14,26,12,14,0,0,0,0,0,0,0,0,0
others,10-15,20,11,9,20,11,9,0,0,0,0,0,0,0,0,0
others,15-20,19,12,7,15,12,3,4,0,4,0,0,0,0,0,0
others,20-25,49,24,25,17,12,5,31,12,19,0,0,0,1,0,1
others,25-30,40,24,16,14,13,1,26,11,15,0,0,0,0,0,0
others,30-35,30,23,7,5,5,0,25,18,7,0,0,0,0,0,0
others,35-40,20,13,7,7,6,1,13,7,6,0,0,0,0,0,0
others,40-45,13,7,6,1,1,0,9,4,5,0,0,0,3,2,1
others,45-50,14,8,6,4,3,1,10,5,5,0,0,0,0,0,0
others,50-55,10,4,6,1,0,1,7,4,3,0,0,0,2,0,2
others,55-60,8,5,3,1,0,1,7,5,2,0,0,0,0,0,0
others,60-65,8,5,3,2,2,0,4,3,1,0,0,0,2,0,2
others,65-70,6,4,2,1,1,0,2,2,0,0,0,0,3,1,2
others,70-75,4,4,0,1,1,0,3,3,0,0,0,0,0,0,0
others,75+,9,6,3,1,1,0,3,3,0,0,0,0,5,2,3
others,not_recorded,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
