serial,village,moslems,jews,christians,others,total,note
1,Abu Sinan,30,0,380,410,820,
2,Acre (Urban),9890,50,2330,90,12360,
3,Acre (Rural),0,0,0,0,0,printed as all-nil row
4,'Amqa,1240,0,0,0,1240,
5,'Arraba,1740,0,60,0,1800,
6,"Bassa, El",1360,0,1590,0,2950,two rows braced under serial 6
6,Ma'sub,0,150,0,0,150,two rows braced under serial 6
7,Beit Jann,0,0,0,1520,1520,two rows braced under serial 7
7,'Ein el Asad,0,0,0,120,120,two rows braced under serial 7
8,"Bi'na, El",530,0,300,0,830,
9,"Birwa, El",1330,0,130,0,1460,printed Christians digit ambiguous; 130 forced by row and column totals
10,"Buqei'a, El",100,0,370,520,990,
11,"Damun, Ed",1240,0,70,0,1310,
12,Deir el Asad,1100,0,0,0,1100,
13,Deir Hanna,540,0,210,0,750,
14,Fassuta,1050,0,0,0,1050,two rows braced under serial 14
14,Deir el Qasi and El Mansura,370,0,880,0,1250,two rows braced under serial 14
15,"Ghabisiya, El",690,0,0,0,690,two rows braced under serial 15
15,Sheikh Dawud (includes Sheikh Dannun),550,0,0,0,550,two rows braced under serial 15
16,Hanita,0,240,0,0,240,
17,Iqrit,30,0,460,0,490,
18,Jatt,10,0,0,190,200,
19,Judeida,150,0,130,0,280,
20,Julis,0,0,40,780,820,
21,Kabul,560,0,0,0,560,
22,Kafr I'nan,360,0,0,0,360,
23,Kafr Sumei',0,0,40,260,300,
24,Kafr Yasif,350,0,1010,40,1400,
25,Khirbat Jiddin,0,0,0,0,0,printed as all-nil row
26,Khirbat Samah (Eilon),0,270,0,0,270,
27,Kisra,90,0,0,390,480,
28,Kuweikat,1050,0,0,0,1050,
29,Majd el Kurum,1400,0,0,0,1400,
30,"Makr, El",390,0,100,0,490,
31,Manshiya,810,270,0,0,1080,
32,"Mazra'a, El",410,0,10,10,430,four rows braced under serial 32
32,Shavei Zion,0,230,0,0,230,four rows braced under serial 32
32,'Ein Sara,0,160,0,0,160,four rows braced under serial 32
32,Ga'aton,0,140,0,0,140,four rows braced under serial 32
33,Mi'ar,770,0,0,0,770,
34,Mi'ilya,110,0,790,0,900,
35,Nahf,1320,0,0,0,1320,
36,"Nahr, En",610,0,0,0,610,
37,Nahariya,0,1440,0,0,1440,
38,"Rama, Er",90,0,1160,440,1690,
39,"Ruweis, Er",330,0,0,0,330,
40,Sajur,10,0,0,340,350,
41,Sakhnin,2310,0,290,0,2600,
42,Sha'b,1710,0,30,0,1740,
43,Suhmata,1060,0,70,0,1130,
44,"Sumeiriya, Es",760,0,0,0,760,
45,Tamra,1830,0,0,0,1830,
46,Tarbikha (includes En Nabi Rubin and Suruh),1000,0,0,0,1000,
47,Tarshiha,3140,0,690,0,3830,two rows braced under serial 47
47,Kabri,1530,0,0,0,1530,two rows braced under serial 47
48,Umm el Faraj,800,0,0,0,800,
49,Yanuh,0,0,0,410,410,
50,Yirka,70,0,10,1420,1500,
51,"Zib, Ez (includes Manawat)",1910,0,0,0,1910,
52,"'Arab el 'Aramisha and 'Arab el Quleitat (includes I'ribbin, Jurdeih and Khirbat Idmith)",360,0,0,0,360,tribal unit; braced single figure
53,'Arab el Hujeirat (In Sakhnin),,,,,,tribal unit; no figures printed - counted in Sakhnin
54,'Arab el Mureisat (In Sakhnin and Deir Hanna),,,,,,tribal unit; no figures printed - counted in Sakhnin and Deir Hanna
55,'Arab es Samniya (includes Khirbat es Suwwana and 'Arab Tauqiya),200,0,0,0,200,tribal unit
56,"'Arab es Sawa'id (In Sakhnin, Deir Hanna and Er Rama)",,,,,,"tribal unit; no figures printed - counted in Sakhnin, Deir Hanna and Er Rama"
57,'Arab es Suweitat (In Tarshiha),,,,,,tribal unit; no figures printed - counted in Tarshiha
,TOTAL,47290,2950,11150,6940,68330,
