unit,unit_type,district,class,class_label,sub_class,sub_class_label,order,order_label,book_page,total,earners_males,earners_females,partly_agriculturists_males,partly_agriculturists_females,dependants_and_working_dependants
Palestine,country,,,,,,0,TOTAL ALL CLASSES,315,969268,246921,34017,6360,344,688330
Palestine,country,,A,Production of raw materials,I,Exploitation of the surface of the earth,1,Pasture and agriculture,315,517032,122206,11593,4284,243,383233
Palestine,country,,A,Production of raw materials,I,Exploitation of the surface of the earth,1a,Pasture and agriculture — (a) Ordinary cultivation,315,440084,99277,9488,1939,94,331319
Palestine,country,,A,Production of raw materials,I,Exploitation of the surface of the earth,1b,Pasture and agriculture — (b) Growers of special products and market gardening,317,51476,14427,1583,2000,136,35466
Palestine,country,,A,Production of raw materials,I,Exploitation of the surface of the earth,1c,Pasture and agriculture — (c) Forestry,318,1670,428,26,24,0,1216
Palestine,country,,A,Production of raw materials,I,Exploitation of the surface of the earth,1d,Pasture and agriculture — (d) Raising of farm stock and stud service,319,23179,7904,322,318,11,14953
Palestine,country,,A,Production of raw materials,I,Exploitation of the surface of the earth,1e,Pasture and agriculture — (e) Raising of small animals,321,430,85,174,3,2,171
Palestine,country,,A,Production of raw materials,I,Exploitation of the surface of the earth,1f,Pasture and agriculture — (f) Agricultural machines service,322,193,85,0,0,0,108
Palestine,country,,A,Production of raw materials,I,Exploitation of the surface of the earth,2,Fishing and hunting,323,2905,787,5,14,0,2113
Palestine,country,,A,Production of raw materials,I,Exploitation of the surface of the earth,2a,Nomads,324,0,0,0,0,0,0
Palestine,country,,A,Production of raw materials,II,Extraction of minerals,3,Mines,324,11,1,0,0,0,10
Palestine,country,,A,Production of raw materials,II,Extraction of minerals,4,Quarries of hard rocks,325,7794,2219,17,124,1,5558
Palestine,country,,A,Production of raw materials,II,Extraction of minerals,5,"Salt, etc.",326,208,133,1,9,0,74
Palestine,country,,B,Preparation and supply of material substances,III,Industry,6,Textiles,327,5418,1378,460,19,2,3580
Palestine,country,,B,Preparation and supply of material substances,III,Industry,7,"Hides, skins and hard material from the animal kingdom",331,1594,393,74,6,0,1127
Palestine,country,,B,Preparation and supply of material substances,III,Industry,8,Wood,333,14634,4476,59,62,0,10099
Palestine,country,,B,Preparation and supply of material substances,III,Industry,9,Metals,334,9887,3014,59,14,0,6814
Palestine,country,,B,Preparation and supply of material substances,III,Industry,10,Ceramics,337,3023,852,107,8,2,2064
Palestine,country,,B,Preparation and supply of material substances,III,Industry,11,Chemical products properly so called and analogous,339,2601,649,59,16,0,1893
Palestine,country,,B,Preparation and supply of material substances,III,Industry,12,Food industries,341,18135,4926,350,65,0,12859
Palestine,country,,B,Preparation and supply of material substances,III,Industry,13,Industries of dress and the toilet,345,28980,6880,4264,68,11,17836
Palestine,country,,B,Preparation and supply of material substances,III,Industry,14,Furniture industries,347,1478,437,22,0,0,1019
Palestine,country,,B,Preparation and supply of material substances,III,Industry,15,Building industries,348,37232,11947,117,226,0,25168
Palestine,country,,B,Preparation and supply of material substances,III,Industry,16,Construction of means of transport,350,1271,367,4,2,0,900
Palestine,country,,B,Preparation and supply of material substances,III,Industry,17,Production and transmission of physical forces,352,1815,761,16,4,0,1038
Palestine,country,,B,Preparation and supply of material substances,III,Industry,18,Industries of luxury and those pertaining to literature and the arts and sciences,352,6120,1979,241,3,0,3900
Palestine,country,,B,Preparation and supply of material substances,III,Industry,19,Industries concerned with refuse matter,356,1205,391,1,0,0,813
Palestine,country,,B,Preparation and supply of material substances,III,Industry,20,Other industries,356,205,66,15,1,0,124
Palestine,country,,B,Preparation and supply of material substances,IV,Transport,21,Transport by water,357,5520,1779,19,4,0,3722
Palestine,country,,B,Preparation and supply of material substances,IV,Transport,22,Transport by road,359,36141,11344,105,253,1,24692
Palestine,country,,B,Preparation and supply of material substances,IV,Transport,23,Transport by rail,360,6650,1977,30,29,0,4643
Palestine,country,,B,Preparation and supply of material substances,IV,Transport,24,"Post office, telegraph and telephone",361,2309,791,97,2,0,1421
Palestine,country,,B,Preparation and supply of material substances,V,Trade,25,"Banks, establishments of credit, exchange and insurance",362,2963,982,142,2,0,1839
Palestine,country,,B,Preparation and supply of material substances,V,Trade,26,"Brokerage, commission and export",363,4803,1344,40,14,0,3419
Palestine,country,,B,Preparation and supply of material substances,V,Trade,27,Trade in textiles,363,8939,1880,79,64,0,6980
Palestine,country,,B,Preparation and supply of material substances,V,Trade,28,"Trade in skins, leather and furs",364,587,127,5,0,0,455
Palestine,country,,B,Preparation and supply of material substances,V,Trade,29,Trade in wood,365,387,102,2,0,0,283
Palestine,country,,B,Preparation and supply of material substances,V,Trade,30,Trade in metals,365,434,131,3,0,0,300
Palestine,country,,B,Preparation and supply of material substances,V,Trade,31,Trade in pottery,366,520,128,18,1,0,374
Palestine,country,,B,Preparation and supply of material substances,V,Trade,32,Trade in chemical products,367,1451,275,17,1,0,1159
Palestine,country,,B,Preparation and supply of material substances,V,Trade,33,"Hotels, cafés, restaurants",367,11103,3496,524,17,0,7083
Palestine,country,,B,Preparation and supply of material substances,V,Trade,34,Other trade in foodstuffs,368,49096,11577,924,381,28,36595
Palestine,country,,B,Preparation and supply of material substances,V,Trade,35,Trade in clothing and toilet articles,372,3429,916,55,6,0,2458
Palestine,country,,B,Preparation and supply of material substances,V,Trade,36,Trade in furniture,373,853,225,10,0,0,618
Palestine,country,,B,Preparation and supply of material substances,V,Trade,37,Trade in building materials,374,751,184,4,5,0,563
Palestine,country,,B,Preparation and supply of material substances,V,Trade,38,Trade in means of transport,375,1036,250,3,10,0,783
Palestine,country,,B,Preparation and supply of material substances,V,Trade,39,Trade in fuel,375,578,148,11,1,0,419
Palestine,country,,B,Preparation and supply of material substances,V,Trade,40,Trade in articles of luxury and those pertaining to letters and arts and sciences,376,1697,494,60,2,0,1143
Palestine,country,,B,Preparation and supply of material substances,V,Trade,41,Trade in refuse matter,377,323,96,10,2,0,217
Palestine,country,,B,Preparation and supply of material substances,V,Trade,42,Trade in other sorts,378,7647,2118,115,33,0,5414
Palestine,country,,C,Public administration and liberal arts,VI,Public force,43,Army and air force,380,3119,2633,1,2,0,485
Palestine,country,,C,Public administration and liberal arts,VI,Public force,44,Navy,381,14,4,0,0,0,10
Palestine,country,,C,Public administration and liberal arts,VI,Public force,45,Police,381,9569,3433,29,43,0,6107
Palestine,country,,C,Public administration and liberal arts,VII,Public administration,46,Public administration,382,11716,3384,144,52,1,8188
Palestine,country,,C,Public administration and liberal arts,VIII,Professions and liberal arts,47,Religion,384,11912,3092,182,44,0,8638
Palestine,country,,C,Public administration and liberal arts,VIII,Professions and liberal arts,48,Law,386,2527,670,29,22,0,1828
Palestine,country,,C,Public administration and liberal arts,VIII,Professions and liberal arts,49,Medicine,387,5313,994,1782,10,6,2537
Palestine,country,,C,Public administration and liberal arts,VIII,Professions and liberal arts,50,Instruction,388,10468,2604,1583,43,5,6281
Palestine,country,,C,Public administration and liberal arts,VIII,Professions and liberal arts,51,Letters and arts and sciences,389,4984,1862,359,12,0,2763
Palestine,country,,C,Public administration and liberal arts,VIII,Professions and liberal arts,52,Other professional occupations,390,277,8,69,0,2,200
Palestine,country,,C,Public administration and liberal arts,IX,Persons living on their income,53,Persons living principally on their income,391,23797,2881,1778,110,27,19138
Palestine,country,,D,Miscellaneous,X,Domestic service,54,Domestic service,392,17248,3908,6238,56,14,7102
Palestine,country,,D,Miscellaneous,XI,Insufficiently described occupations,55,General terms not indicating the precise occupation,393,45848,15507,1616,212,0,28725
Palestine,country,,D,Miscellaneous,XII,Unproductive,56,"Inmates of jails, asylums and hospitals",395,3083,1126,6,0,0,1951
Palestine,country,,D,Miscellaneous,XII,Unproductive,57,"Beggars, vagrants, prostitutes, persons supported by charity",395,10591,583,464,2,1,9544
Palestine,country,,D,Miscellaneous,XII,Unproductive,58,Persons without any occupation,396,37,6,0,0,0,31
Southern District,district,,,,,,0,TOTAL ALL CLASSES,315,304532,82247,11083,1499,104,211202
Southern District,district,,A,Production of raw materials,I,Exploitation of the surface of the earth,1,Pasture and agriculture,315,148162,37558,2749,862,59,107855
Southern District,district,,A,Production of raw materials,I,Exploitation of the surface of the earth,1a,Pasture and agriculture — (a) Ordinary cultivation,315,121095,28385,1955,399,14,90755
Southern District,district,,A,Production of raw materials,I,Exploitation of the surface of the earth,1b,Pasture and agriculture — (b) Growers of special products and market gardening,317,25007,8237,727,449,41,16043
Southern District,district,,A,Production of raw materials,I,Exploitation of the surface of the earth,1c,Pasture and agriculture — (c) Forestry,318,82,25,3,3,0,54
Southern District,district,,A,Production of raw materials,I,Exploitation of the surface of the earth,1d,Pasture and agriculture — (d) Raising of farm stock and stud service,319,1702,831,13,11,4,858
Southern District,district,,A,Production of raw materials,I,Exploitation of the surface of the earth,1e,Pasture and agriculture — (e) Raising of small animals,321,187,39,51,0,0,97
Southern District,district,,A,Production of raw materials,I,Exploitation of the surface of the earth,1f,Pasture and agriculture — (f) Agricultural machines service,322,89,41,0,0,0,48
Southern District,district,,A,Production of raw materials,I,Exploitation of the surface of the earth,2,Fishing and hunting,323,1604,433,0,11,0,1171
Southern District,district,,A,Production of raw materials,I,Exploitation of the surface of the earth,2a,Nomads,324,0,0,0,0,0,0
Southern District,district,,A,Production of raw materials,II,Extraction of minerals,3,Mines,324,8,1,0,0,0,7
Southern District,district,,A,Production of raw materials,II,Extraction of minerals,4,Quarries of hard rocks,325,966,279,2,3,0,685
Southern District,district,,A,Production of raw materials,II,Extraction of minerals,5,"Salt, etc.",326,46,16,0,0,0,30
Southern District,district,,B,Preparation and supply of material substances,III,Industry,6,Textiles,327,3611,965,327,14,1,2319
Southern District,district,,B,Preparation and supply of material substances,III,Industry,7,"Hides, skins and hard material from the animal kingdom",331,615,167,13,2,0,435
Southern District,district,,B,Preparation and supply of material substances,III,Industry,8,Wood,333,6171,1892,28,26,0,4251
Southern District,district,,B,Preparation and supply of material substances,III,Industry,9,Metals,334,3338,996,37,4,0,2305
Southern District,district,,B,Preparation and supply of material substances,III,Industry,10,Ceramics,337,1439,450,44,4,1,945
Southern District,district,,B,Preparation and supply of material substances,III,Industry,11,Chemical products properly so called and analogous,339,1203,282,14,7,0,907
Southern District,district,,B,Preparation and supply of material substances,III,Industry,12,Food industries,341,6197,1716,166,23,0,4315
Southern District,district,,B,Preparation and supply of material substances,III,Industry,13,Industries of dress and the toilet,345,10417,2519,1701,30,6,6197
Southern District,district,,B,Preparation and supply of material substances,III,Industry,14,Furniture industries,347,689,227,13,0,0,449
Southern District,district,,B,Preparation and supply of material substances,III,Industry,15,Building industries,348,10196,3428,30,30,0,6738
Southern District,district,,B,Preparation and supply of material substances,III,Industry,16,Construction of means of transport,350,480,138,0,1,0,342
Southern District,district,,B,Preparation and supply of material substances,III,Industry,17,Production and transmission of physical forces,352,633,255,8,1,0,370
Southern District,district,,B,Preparation and supply of material substances,III,Industry,18,Industries of luxury and those pertaining to literature and the arts and sciences,352,2792,970,164,1,0,1658
Southern District,district,,B,Preparation and supply of material substances,III,Industry,19,Industries concerned with refuse matter,356,357,132,0,0,0,225
Southern District,district,,B,Preparation and supply of material substances,III,Industry,20,Other industries,356,108,35,15,1,0,58
Southern District,district,,B,Preparation and supply of material substances,IV,Transport,21,Transport by water,357,3138,970,9,3,0,2159
Southern District,district,,B,Preparation and supply of material substances,IV,Transport,22,Transport by road,359,13934,4603,35,103,0,9296
Southern District,district,,B,Preparation and supply of material substances,IV,Transport,23,Transport by rail,360,2162,612,3,16,0,1547
Southern District,district,,B,Preparation and supply of material substances,IV,Transport,24,"Post office, telegraph and telephone",361,629,221,31,1,0,377
Southern District,district,,B,Preparation and supply of material substances,V,Trade,25,"Banks, establishments of credit, exchange and insurance",362,1305,459,71,1,0,775
Southern District,district,,B,Preparation and supply of material substances,V,Trade,26,"Brokerage, commission and export",363,2354,686,15,6,0,1653
Southern District,district,,B,Preparation and supply of material substances,V,Trade,27,Trade in textiles,363,2913,612,27,9,0,2274
Southern District,district,,B,Preparation and supply of material substances,V,Trade,28,"Trade in skins, leather and furs",364,175,45,2,0,0,128
Southern District,district,,B,Preparation and supply of material substances,V,Trade,29,Trade in wood,365,199,55,0,0,0,144
Southern District,district,,B,Preparation and supply of material substances,V,Trade,30,Trade in metals,365,175,53,0,0,0,122
Southern District,district,,B,Preparation and supply of material substances,V,Trade,31,Trade in pottery,366,379,75,1,1,0,303
Southern District,district,,B,Preparation and supply of material substances,V,Trade,32,Trade in chemical products,367,733,91,4,0,0,638
Southern District,district,,B,Preparation and supply of material substances,V,Trade,33,"Hotels, cafés, restaurants",367,4209,1414,237,7,0,2558
Southern District,district,,B,Preparation and supply of material substances,V,Trade,34,Other trade in foodstuffs,368,20575,4965,367,187,25,15243
Southern District,district,,B,Preparation and supply of material substances,V,Trade,35,Trade in clothing and toilet articles,372,1085,341,22,1,0,722
Southern District,district,,B,Preparation and supply of material substances,V,Trade,36,Trade in furniture,373,300,89,1,0,0,210
Southern District,district,,B,Preparation and supply of material substances,V,Trade,37,Trade in building materials,374,266,74,2,1,0,190
Southern District,district,,B,Preparation and supply of material substances,V,Trade,38,Trade in means of transport,375,478,114,0,2,0,364
Southern District,district,,B,Preparation and supply of material substances,V,Trade,39,Trade in fuel,375,180,47,1,0,0,132
Southern District,district,,B,Preparation and supply of material substances,V,Trade,40,Trade in articles of luxury and those pertaining to letters and arts and sciences,376,659,211,29,0,0,419
Southern District,district,,B,Preparation and supply of material substances,V,Trade,41,Trade in refuse matter,377,241,74,7,1,0,160
Southern District,district,,B,Preparation and supply of material substances,V,Trade,42,Trade in other sorts,378,2718,771,69,17,0,1878
Southern District,district,,C,Public administration and liberal arts,VI,Public force,43,Army and air force,380,669,530,0,1,0,139
Southern District,district,,C,Public administration and liberal arts,VI,Public force,44,Navy,381,9,2,0,0,0,7
Southern District,district,,C,Public administration and liberal arts,VI,Public force,45,Police,381,2589,862,6,9,0,1721
Southern District,district,,C,Public administration and liberal arts,VII,Public administration,46,Public administration,382,3805,1190,38,21,1,2577
Southern District,district,,C,Public administration and liberal arts,VIII,Professions and liberal arts,47,Religion,384,1962,554,22,7,0,1386
Southern District,district,,C,Public administration and liberal arts,VIII,Professions and liberal arts,48,Law,386,947,268,20,8,0,659
Southern District,district,,C,Public administration and liberal arts,VIII,Professions and liberal arts,49,Medicine,387,2053,385,695,2,2,973
Southern District,district,,C,Public administration and liberal arts,VIII,Professions and liberal arts,50,Instruction,388,3221,801,609,8,0,1811
Southern District,district,,C,Public administration and liberal arts,VIII,Professions and liberal arts,51,Letters and arts and sciences,389,2152,789,209,7,0,1154
Southern District,district,,C,Public administration and liberal arts,VIII,Professions and liberal arts,52,Other professional occupations,390,104,7,22,0,1,75
Southern District,district,,C,Public administration and liberal arts,IX,Persons living on their income,53,Persons living principally on their income,391,6323,1160,602,17,4,4561
Southern District,district,,D,Miscellaneous,X,Domestic service,54,Domestic service,392,4824,1164,1761,20,4,1899
Southern District,district,,D,Miscellaneous,XI,Insufficiently described occupations,55,General terms not indicating the precise occupation,393,15113,5244,710,22,0,9159
Southern District,district,,D,Miscellaneous,XII,Unproductive,56,"Inmates of jails, asylums and hospitals",395,109,3,0,0,0,106
Southern District,district,,D,Miscellaneous,XII,Unproductive,57,"Beggars, vagrants, prostitutes, persons supported by charity",395,2785,242,145,1,0,2398
Southern District,district,,D,Miscellaneous,XII,Unproductive,58,Persons without any occupation,396,28,5,0,0,0,23
Gaza,subdistrict,Southern,,,,,0,TOTAL ALL CLASSES,315,94104,21585,1372,498,14,71147
Gaza,subdistrict,Southern,A,Production of raw materials,I,Exploitation of the surface of the earth,1,Pasture and agriculture,315,68258,15722,834,277,10,51702
Gaza,subdistrict,Southern,A,Production of raw materials,I,Exploitation of the surface of the earth,1a,Pasture and agriculture — (a) Ordinary cultivation,315,62792,14236,773,147,6,47783
Gaza,subdistrict,Southern,A,Production of raw materials,I,Exploitation of the surface of the earth,1b,Pasture and agriculture — (b) Growers of special products and market gardening,317,4911,1277,49,125,0,3585
Gaza,subdistrict,Southern,A,Production of raw materials,I,Exploitation of the surface of the earth,1c,Pasture and agriculture — (c) Forestry,318,19,11,1,1,0,7
Gaza,subdistrict,Southern,A,Production of raw materials,I,Exploitation of the surface of the earth,1d,Pasture and agriculture — (d) Raising of farm stock and stud service,319,498,193,3,4,4,302
Gaza,subdistrict,Southern,A,Production of raw materials,I,Exploitation of the surface of the earth,1e,Pasture and agriculture — (e) Raising of small animals,321,33,5,8,0,0,20
Gaza,subdistrict,Southern,A,Production of raw materials,I,Exploitation of the surface of the earth,1f,Pasture and agriculture — (f) Agricultural machines service,322,5,0,0,0,0,5
Gaza,subdistrict,Southern,A,Production of raw materials,I,Exploitation of the surface of the earth,2,Fishing and hunting,323,753,197,0,10,0,556
Gaza,subdistrict,Southern,A,Production of raw materials,I,Exploitation of the surface of the earth,2a,Nomads,324,0,0,0,0,0,0
Gaza,subdistrict,Southern,A,Production of raw materials,II,Extraction of minerals,3,Mines,324,3,0,0,0,0,3
Gaza,subdistrict,Southern,A,Production of raw materials,II,Extraction of minerals,4,Quarries of hard rocks,325,286,66,0,2,0,220
Gaza,subdistrict,Southern,A,Production of raw materials,II,Extraction of minerals,5,"Salt, etc.",326,2,1,0,0,0,1
Gaza,subdistrict,Southern,B,Preparation and supply of material substances,III,Industry,6,Textiles,327,2176,609,21,14,0,1546
Gaza,subdistrict,Southern,B,Preparation and supply of material substances,III,Industry,7,"Hides, skins and hard material from the animal kingdom",331,203,40,1,2,0,162
Gaza,subdistrict,Southern,B,Preparation and supply of material substances,III,Industry,8,Wood,333,1244,293,14,8,0,937
Gaza,subdistrict,Southern,B,Preparation and supply of material substances,III,Industry,9,Metals,334,507,133,0,1,0,374
Gaza,subdistrict,Southern,B,Preparation and supply of material substances,III,Industry,10,Ceramics,337,393,89,1,1,0,303
Gaza,subdistrict,Southern,B,Preparation and supply of material substances,III,Industry,11,Chemical products properly so called and analogous,339,158,33,0,2,0,125
Gaza,subdistrict,Southern,B,Preparation and supply of material substances,III,Industry,12,Food industries,341,816,178,5,7,0,633
Gaza,subdistrict,Southern,B,Preparation and supply of material substances,III,Industry,13,Industries of dress and the toilet,345,1139,266,82,8,2,791
Gaza,subdistrict,Southern,B,Preparation and supply of material substances,III,Industry,14,Furniture industries,347,22,6,3,0,0,13
Gaza,subdistrict,Southern,B,Preparation and supply of material substances,III,Industry,15,Building industries,348,1241,340,4,9,0,897
Gaza,subdistrict,Southern,B,Preparation and supply of material substances,III,Industry,16,Construction of means of transport,350,79,15,0,0,0,64
Gaza,subdistrict,Southern,B,Preparation and supply of material substances,III,Industry,17,Production and transmission of physical forces,352,1,1,0,0,0,0
Gaza,subdistrict,Southern,B,Preparation and supply of material substances,III,Industry,18,Industries of luxury and those pertaining to literature and the arts and sciences,352,152,37,3,1,0,112
Gaza,subdistrict,Southern,B,Preparation and supply of material substances,III,Industry,19,Industries concerned with refuse matter,356,61,20,0,0,0,41
Gaza,subdistrict,Southern,B,Preparation and supply of material substances,III,Industry,20,Other industries,356,0,0,0,0,0,0
Gaza,subdistrict,Southern,B,Preparation and supply of material substances,IV,Transport,21,Transport by water,357,188,45,0,2,0,143
Gaza,subdistrict,Southern,B,Preparation and supply of material substances,IV,Transport,22,Transport by road,359,1380,344,2,18,0,1034
Gaza,subdistrict,Southern,B,Preparation and supply of material substances,IV,Transport,23,Transport by rail,360,521,138,2,6,0,381
Gaza,subdistrict,Southern,B,Preparation and supply of material substances,IV,Transport,24,"Post office, telegraph and telephone",361,53,19,0,1,0,34
Gaza,subdistrict,Southern,B,Preparation and supply of material substances,V,Trade,25,"Banks, establishments of credit, exchange and insurance",362,30,7,3,0,0,20
Gaza,subdistrict,Southern,B,Preparation and supply of material substances,V,Trade,26,"Brokerage, commission and export",363,253,55,1,4,0,197
Gaza,subdistrict,Southern,B,Preparation and supply of material substances,V,Trade,27,Trade in textiles,363,1072,188,6,7,0,878
Gaza,subdistrict,Southern,B,Preparation and supply of material substances,V,Trade,28,"Trade in skins, leather and furs",364,31,5,0,0,0,26
Gaza,subdistrict,Southern,B,Preparation and supply of material substances,V,Trade,29,Trade in wood,365,35,5,0,0,0,30
Gaza,subdistrict,Southern,B,Preparation and supply of material substances,V,Trade,30,Trade in metals,365,24,5,0,0,0,19
Gaza,subdistrict,Southern,B,Preparation and supply of material substances,V,Trade,31,Trade in pottery,366,241,55,0,1,0,186
Gaza,subdistrict,Southern,B,Preparation and supply of material substances,V,Trade,32,Trade in chemical products,367,27,6,0,0,0,21
Gaza,subdistrict,Southern,B,Preparation and supply of material substances,V,Trade,33,"Hotels, cafés, restaurants",367,310,77,3,1,0,230
Gaza,subdistrict,Southern,B,Preparation and supply of material substances,V,Trade,34,Other trade in foodstuffs,368,5425,1216,71,63,0,4138
Gaza,subdistrict,Southern,B,Preparation and supply of material substances,V,Trade,35,Trade in clothing and toilet articles,372,113,24,0,0,0,89
Gaza,subdistrict,Southern,B,Preparation and supply of material substances,V,Trade,36,Trade in furniture,373,0,0,0,0,0,0
Gaza,subdistrict,Southern,B,Preparation and supply of material substances,V,Trade,37,Trade in building materials,374,0,0,0,0,0,0
Gaza,subdistrict,Southern,B,Preparation and supply of material substances,V,Trade,38,Trade in means of transport,375,50,14,0,1,0,36
Gaza,subdistrict,Southern,B,Preparation and supply of material substances,V,Trade,39,Trade in fuel,375,25,5,0,0,0,20
Gaza,subdistrict,Southern,B,Preparation and supply of material substances,V,Trade,40,Trade in articles of luxury and those pertaining to letters and arts and sciences,376,11,8,1,0,0,2
Gaza,subdistrict,Southern,B,Preparation and supply of material substances,V,Trade,41,Trade in refuse matter,377,31,6,0,1,0,25
Gaza,subdistrict,Southern,B,Preparation and supply of material substances,V,Trade,42,Trade in other sorts,378,759,178,9,16,0,572
Gaza,subdistrict,Southern,C,Public administration and liberal arts,VI,Public force,43,Army and air force,380,12,3,0,1,0,9
Gaza,subdistrict,Southern,C,Public administration and liberal arts,VI,Public force,44,Navy,381,1,0,0,0,0,1
Gaza,subdistrict,Southern,C,Public administration and liberal arts,VI,Public force,45,Police,381,567,152,2,5,0,413
Gaza,subdistrict,Southern,C,Public administration and liberal arts,VII,Public administration,46,Public administration,382,708,167,1,6,0,540
Gaza,subdistrict,Southern,C,Public administration and liberal arts,VIII,Professions and liberal arts,47,Religion,384,570,134,5,3,0,431
Gaza,subdistrict,Southern,C,Public administration and liberal arts,VIII,Professions and liberal arts,48,Law,386,123,21,0,2,0,102
Gaza,subdistrict,Southern,C,Public administration and liberal arts,VIII,Professions and liberal arts,49,Medicine,387,128,17,53,1,1,58
Gaza,subdistrict,Southern,C,Public administration and liberal arts,VIII,Professions and liberal arts,50,Instruction,388,377,100,20,2,0,257
Gaza,subdistrict,Southern,C,Public administration and liberal arts,VIII,Professions and liberal arts,51,Letters and arts and sciences,389,244,74,16,0,0,154
Gaza,subdistrict,Southern,C,Public administration and liberal arts,VIII,Professions and liberal arts,52,Other professional occupations,390,33,1,3,0,0,29
Gaza,subdistrict,Southern,C,Public administration and liberal arts,IX,Persons living on their income,53,Persons living principally on their income,391,379,39,38,3,1,302
Gaza,subdistrict,Southern,D,Miscellaneous,X,Domestic service,54,Domestic service,392,456,125,89,7,0,242
Gaza,subdistrict,Southern,D,Miscellaneous,XI,Insufficiently described occupations,55,General terms not indicating the precise occupation,393,784,201,4,4,0,579
Gaza,subdistrict,Southern,D,Miscellaneous,XII,Unproductive,56,"Inmates of jails, asylums and hospitals",395,52,2,0,0,0,50
Gaza,subdistrict,Southern,D,Miscellaneous,XII,Unproductive,57,"Beggars, vagrants, prostitutes, persons supported by charity",395,1596,102,75,1,0,1419
Gaza,subdistrict,Southern,D,Miscellaneous,XII,Unproductive,58,Persons without any occupation,396,1,1,0,0,0,0
Beersheba,subdistrict,Southern,,,,,0,TOTAL ALL CLASSES,315,3101,741,34,2,0,2326
Beersheba,subdistrict,Southern,A,Production of raw materials,I,Exploitation of the surface of the earth,1,Pasture and agriculture,315,396,93,4,0,0,299
Beersheba,subdistrict,Southern,A,Production of raw materials,I,Exploitation of the surface of the earth,1a,Pasture and agriculture — (a) Ordinary cultivation,315,318,77,3,0,0,238
Beersheba,subdistrict,Southern,A,Production of raw materials,I,Exploitation of the surface of the earth,1b,Pasture and agriculture — (b) Growers of special products and market gardening,317,76,14,1,0,0,61
Beersheba,subdistrict,Southern,A,Production of raw materials,I,Exploitation of the surface of the earth,1c,Pasture and agriculture — (c) Forestry,318,0,0,0,0,0,0
Beersheba,subdistrict,Southern,A,Production of raw materials,I,Exploitation of the surface of the earth,1d,Pasture and agriculture — (d) Raising of farm stock and stud service,319,2,2,0,0,0,0
Beersheba,subdistrict,Southern,A,Production of raw materials,I,Exploitation of the surface of the earth,1e,Pasture and agriculture — (e) Raising of small animals,321,0,0,0,0,0,0
Beersheba,subdistrict,Southern,A,Production of raw materials,I,Exploitation of the surface of the earth,1f,Pasture and agriculture — (f) Agricultural machines service,322,0,0,0,0,0,0
Beersheba,subdistrict,Southern,A,Production of raw materials,I,Exploitation of the surface of the earth,2,Fishing and hunting,323,0,0,0,0,0,0
Beersheba,subdistrict,Southern,A,Production of raw materials,I,Exploitation of the surface of the earth,2a,Nomads,324,0,0,0,0,0,0
Beersheba,subdistrict,Southern,A,Production of raw materials,II,Extraction of minerals,3,Mines,324,4,1,0,0,0,3
Beersheba,subdistrict,Southern,A,Production of raw materials,II,Extraction of minerals,4,Quarries of hard rocks,325,77,19,0,0,0,58
Beersheba,subdistrict,Southern,A,Production of raw materials,II,Extraction of minerals,5,"Salt, etc.",326,0,0,0,0,0,0
Beersheba,subdistrict,Southern,B,Preparation and supply of material substances,III,Industry,6,Textiles,327,44,12,0,0,0,32
Beersheba,subdistrict,Southern,B,Preparation and supply of material substances,III,Industry,7,"Hides, skins and hard material from the animal kingdom",331,2,1,0,0,0,1
Beersheba,subdistrict,Southern,B,Preparation and supply of material substances,III,Industry,8,Wood,333,60,13,0,0,0,47
Beersheba,subdistrict,Southern,B,Preparation and supply of material substances,III,Industry,9,Metals,334,60,14,0,0,0,46
Beersheba,subdistrict,Southern,B,Preparation and supply of material substances,III,Industry,10,Ceramics,337,0,0,0,0,0,0
Beersheba,subdistrict,Southern,B,Preparation and supply of material substances,III,Industry,11,Chemical products properly so called and analogous,339,0,0,0,0,0,0
Beersheba,subdistrict,Southern,B,Preparation and supply of material substances,III,Industry,12,Food industries,341,103,27,0,0,0,76
Beersheba,subdistrict,Southern,B,Preparation and supply of material substances,III,Industry,13,Industries of dress and the toilet,345,79,19,5,0,0,55
Beersheba,subdistrict,Southern,B,Preparation and supply of material substances,III,Industry,14,Furniture industries,347,7,1,0,0,0,6
Beersheba,subdistrict,Southern,B,Preparation and supply of material substances,III,Industry,15,Building industries,348,98,29,0,0,0,69
Beersheba,subdistrict,Southern,B,Preparation and supply of material substances,III,Industry,16,Construction of means of transport,350,20,5,0,0,0,15
Beersheba,subdistrict,Southern,B,Preparation and supply of material substances,III,Industry,17,Production and transmission of physical forces,352,0,0,0,0,0,0
Beersheba,subdistrict,Southern,B,Preparation and supply of material substances,III,Industry,18,Industries of luxury and those pertaining to literature and the arts and sciences,352,0,0,0,0,0,0
Beersheba,subdistrict,Southern,B,Preparation and supply of material substances,III,Industry,19,Industries concerned with refuse matter,356,10,4,0,0,0,6
Beersheba,subdistrict,Southern,B,Preparation and supply of material substances,III,Industry,20,Other industries,356,0,0,0,0,0,0
Beersheba,subdistrict,Southern,B,Preparation and supply of material substances,IV,Transport,21,Transport by water,357,0,0,0,0,0,0
Beersheba,subdistrict,Southern,B,Preparation and supply of material substances,IV,Transport,22,Transport by road,359,93,29,0,0,0,64
Beersheba,subdistrict,Southern,B,Preparation and supply of material substances,IV,Transport,23,Transport by rail,360,1,0,0,0,0,1
