religion,age_group,pop_p,pop_m,pop_f,cases_p,cases_m,cases_f,ins_p,ins_pb,ins_m,ins_mb,ins_f,ins_fb,b1_p,b1_pb,b1_m,b1_mb,b1_f,b1_fb,bl_p,bl_pb,bl_m,bl_mb,bl_f,bl_fb,df_p,df_pb,df_m,df_mb,df_f,df_fb,dd_p,dd_pb,dd_m,dd_mb,dd_f,dd_fb
christians,2-3,2616,1384,1232,3,1,2,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
christians,3-4,2537,1309,1228,10,7,3,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
christians,4-5,2421,1242,1179,2,1,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
christians,0-5,12690,6607,6083,17,10,7,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
christians,5-10,11596,6029,5567,57,31,26,1,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
christians,10-15,7148,3783,3365,52,25,27,4,0,3,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,
christians,15-20,7769,3891,3878,93,51,42,5,1,4,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,
christians,20-25,10319,5915,4404,140,74,66,13,1,4,1,9,0,,,,,,,,,,,,,,,,,,,,,,,,
christians,25-30,8241,4299,3942,144,68,76,17,0,9,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,
christians,30-35,6359,3177,3182,132,74,58,13,0,9,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,
christians,35-40,5540,2611,2929,156,70,86,15,0,10,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,
christians,40-45,4425,1960,2465,138,65,73,10,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,
christians,45-50,3865,1706,2159,149,78,71,10,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,
christians,50-55,3658,1662,1996,136,58,78,6,1,4,1,2,0,,,,,,,,,,,,,,,,,,,,,,,,
christians,55-60,2445,1137,1308,100,51,49,2,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,
christians,60-65,2577,1119,1458,150,73,77,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
christians,65-70,1647,733,914,104,44,60,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
christians,70+,3100,1257,1843,372,155,217,4,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,
