unit,unit_type,religion,age_group,persons,males,females
Southern,district,all,total,304532,155983,148549
Southern,district,all,0-1,11794,6126,5668
Southern,district,all,1-2,9449,4760,4689
Southern,district,all,2-3,11611,5832,5779
Southern,district,all,3-4,10858,5517,5341
Southern,district,all,4-5,10273,5228,5045
Southern,district,all,0-5,53985,27463,26522
Southern,district,all,5-10,40871,21623,19248
Southern,district,all,10-15,22871,12568,10303
Southern,district,all,15-20,19056,10201,8855
Southern,district,all,20-25,27880,13994,13886
Southern,district,all,25-30,30237,15036,15201
Southern,district,all,30-35,23984,11911,12073
Southern,district,all,35-40,18877,9850,9027
Southern,district,all,40-45,15367,7450,7917
Southern,district,all,45-50,11588,6083,5505
Southern,district,all,50-55,11536,5686,5850
Southern,district,all,55-60,6445,3428,3017
Southern,district,all,60-65,8225,3930,4295
Southern,district,all,65-70,3906,2043,1863
Southern,district,all,70-75,4423,2103,2320
Southern,district,all,75+,4992,2420,2572
Southern,district,all,not_recorded,289,194,95
Southern,district,moslems,total,210322,107931,102391
Southern,district,moslems,0-1,9331,4819,4512
Southern,district,moslems,1-2,7349,3707,3642
Southern,district,moslems,2-3,9155,4598,4557
Southern,district,moslems,3-4,8557,4331,4226
Southern,district,moslems,4-5,7823,4003,3820
Southern,district,moslems,0-5,42215,21458,20757
Southern,district,moslems,5-10,30729,16448,14281
Southern,district,moslems,10-15,16222,9097,7125
Southern,district,moslems,15-20,11580,6544,5036
Southern,district,moslems,20-25,16418,8181,8237
Southern,district,moslems,25-30,18229,8920,9309
Southern,district,moslems,30-35,15178,7175,8003
Southern,district,moslems,35-40,12946,6731,6215
Southern,district,moslems,40-45,10861,5127,5734
Southern,district,moslems,45-50,8093,4370,3723
Southern,district,moslems,50-55,8231,4021,4210
Southern,district,moslems,55-60,3901,2169,1732
Southern,district,moslems,60-65,5802,2761,3041
Southern,district,moslems,65-70,2419,1333,1086
Southern,district,moslems,70-75,3234,1500,1734
Southern,district,moslems,75+,4228,2072,2156
Southern,district,moslems,not_recorded,36,24,12
Southern,district,jews,total,78723,39827,38896
Southern,district,jews,0-1,1980,1042,938
Southern,district,jews,1-2,1745,871,874
Southern,district,jews,2-3,1991,994,997
Southern,district,jews,3-4,1877,962,915
Southern,district,jews,4-5,2006,1014,992
Southern,district,jews,0-5,9599,4883,4716
Southern,district,jews,5-10,8114,4081,4033
Southern,district,jews,10-15,5616,2892,2724
Southern,district,jews,15-20,6252,3061,3191
Southern,district,jews,20-25,9495,4690,4805
Southern,district,jews,25-30,10385,5213,5172
Southern,district,jews,30-35,7555,4068,3487
Southern,district,jews,35-40,4882,2561,2321
Southern,district,jews,40-45,3755,1917,1838
Southern,district,jews,45-50,2884,1408,1476
Southern,district,jews,50-55,2737,1378,1359
Southern,district,jews,55-60,2231,1081,1150
Southern,district,jews,60-65,2041,998,1043
Southern,district,jews,65-70,1322,636,686
Southern,district,jews,70-75,981,498,483
Southern,district,jews,75+,624,293,331
Southern,district,jews,not_recorded,250,169,81
Southern,district,christians,total,15155,8059,7096
Southern,district,christians,0-1,477,264,213
Southern,district,christians,1-2,350,178,172
Southern,district,christians,2-3,457,238,219
Southern,district,christians,3-4,418,220,198
Southern,district,christians,4-5,441,210,231
Southern,district,christians,0-5,2143,1110,1033
Southern,district,christians,5-10,2004,1081,923
Southern,district,christians,10-15,1017,571,446
Southern,district,christians,15-20,1214,590,624
Southern,district,christians,20-25,1904,1101,803
Southern,district,christians,25-30,1537,856,681
Southern,district,christians,30-35,1200,642,558
Southern,district,christians,35-40,1029,548,481
Southern,district,christians,40-45,733,396,337
Southern,district,christians,45-50,603,300,303
Southern,district,christians,50-55,563,283,280
Southern,district,christians,55-60,312,177,135
Southern,district,christians,60-65,382,171,211
Southern,district,christians,65-70,165,74,91
Southern,district,christians,70-75,206,103,103
Southern,district,christians,75+,140,55,85
Southern,district,christians,not_recorded,3,1,2
Southern,district,others,total,332,166,166
Southern,district,others,0-1,6,1,5
Southern,district,others,1-2,5,4,1
Southern,district,others,2-3,8,2,6
Southern,district,others,3-4,6,4,2
Southern,district,others,4-5,3,1,2
Southern,district,others,0-5,28,12,16
Southern,district,others,5-10,24,13,11
Southern,district,others,10-15,16,8,8
Southern,district,others,15-20,10,6,4
Southern,district,others,20-25,63,22,41
Southern,district,others,25-30,86,47,39
Southern,district,others,30-35,51,26,25
Southern,district,others,35-40,20,10,10
Southern,district,others,40-45,18,10,8
Southern,district,others,45-50,8,5,3
Southern,district,others,50-55,5,4,1
Southern,district,others,55-60,1,1,0
Southern,district,others,60-65,0,0,0
Southern,district,others,65-70,0,0,0
Southern,district,others,70-75,2,2,0
Southern,district,others,75+,0,0,0
Southern,district,others,not_recorded,0,0,0
Gaza,subdistrict,all,total,94104,46802,47302
Gaza,subdistrict,all,0-1,4193,2130,2063
Gaza,subdistrict,all,1-2,3478,1734,1744
Gaza,subdistrict,all,2-3,4216,2073,2143
Gaza,subdistrict,all,3-4,3823,1922,1901
Gaza,subdistrict,all,4-5,3663,1856,1807
Gaza,subdistrict,all,0-5,19373,9715,9658
Gaza,subdistrict,all,5-10,13779,7345,6434
Gaza,subdistrict,all,10-15,7192,3890,3302
Gaza,subdistrict,all,15-20,4600,2486,2114
Gaza,subdistrict,all,20-25,6028,2850,3178
Gaza,subdistrict,all,25-30,7687,3511,4176
Gaza,subdistrict,all,30-35,6594,2959,3635
Gaza,subdistrict,all,35-40,6052,2959,3093
Gaza,subdistrict,all,40-45,4783,2113,2670
Gaza,subdistrict,all,45-50,3937,2077,1860
Gaza,subdistrict,all,50-55,3786,1801,1985
Gaza,subdistrict,all,55-60,2092,1130,962
Gaza,subdistrict,all,60-65,2859,1314,1545
Gaza,subdistrict,all,65-70,1362,744,618
Gaza,subdistrict,all,70-75,1603,733,870
Gaza,subdistrict,all,75+,2358,1165,1193
Gaza,subdistrict,all,not_recorded,19,10,9
Gaza,subdistrict,moslems,total,92785,46117,46668
Gaza,subdistrict,moslems,0-1,4143,2107,2036
Gaza,subdistrict,moslems,1-2,3449,1719,1730
Gaza,subdistrict,moslems,2-3,4176,2056,2120
Gaza,subdistrict,moslems,3-4,3791,1906,1885
Gaza,subdistrict,moslems,4-5,3621,1837,1784
Gaza,subdistrict,moslems,0-5,19180,9625,9555
Gaza,subdistrict,moslems,5-10,13599,7252,6347
Gaza,subdistrict,moslems,10-15,7106,3837,3269
Gaza,subdistrict,moslems,15-20,4499,2448,2051
Gaza,subdistrict,moslems,20-25,5910,2783,3127
Gaza,subdistrict,moslems,25-30,7538,3434,4104
Gaza,subdistrict,moslems,30-35,6443,2866,3577
Gaza,subdistrict,moslems,35-40,5956,2901,3055
Gaza,subdistrict,moslems,40-45,4729,2083,2646
Gaza,subdistrict,moslems,45-50,3898,2057,1841
Gaza,subdistrict,moslems,50-55,3748,1784,1964
Gaza,subdistrict,moslems,55-60,2069,1121,948
Gaza,subdistrict,moslems,60-65,2820,1301,1519
Gaza,subdistrict,moslems,65-70,1342,734,608
Gaza,subdistrict,moslems,70-75,1587,723,864
Gaza,subdistrict,moslems,75+,2344,1158,1186
Gaza,subdistrict,moslems,not_recorded,17,10,7
Gaza,subdistrict,jews,total,421,240,181
Gaza,subdistrict,jews,0-1,13,8,5
Gaza,subdistrict,jews,1-2,9,4,5
Gaza,subdistrict,jews,2-3,13,5,8
Gaza,subdistrict,jews,3-4,12,6,6
Gaza,subdistrict,jews,4-5,13,6,7
Gaza,subdistrict,jews,0-5,60,29,31
Gaza,subdistrict,jews,5-10,58,32,26
Gaza,subdistrict,jews,10-15,14,11,3
Gaza,subdistrict,jews,15-20,17,11,6
Gaza,subdistrict,jews,20-25,20,15,5
Gaza,subdistrict,jews,25-30,65,30,35
Gaza,subdistrict,jews,30-35,79,50,29
Gaza,subdistrict,jews,35-40,36,27,9
Gaza,subdistrict,jews,40-45,18,10,8
Gaza,subdistrict,jews,45-50,9,3,6
Gaza,subdistrict,jews,50-55,7,4,3
Gaza,subdistrict,jews,55-60,6,3,3
Gaza,subdistrict,jews,60-65,15,5,10
Gaza,subdistrict,jews,65-70,11,6,5
Gaza,subdistrict,jews,70-75,3,3,0
Gaza,subdistrict,jews,75+,2,1,1
Gaza,subdistrict,jews,not_recorded,1,0,1
Gaza,subdistrict,christians,total,897,444,453
Gaza,subdistrict,christians,0-1,37,15,22
Gaza,subdistrict,christians,1-2,20,11,9
Gaza,subdistrict,christians,2-3,27,12,15
Gaza,subdistrict,christians,3-4,20,10,10
Gaza,subdistrict,christians,4-5,29,13,16
Gaza,subdistrict,christians,0-5,133,61,72
Gaza,subdistrict,christians,5-10,122,61,61
Gaza,subdistrict,christians,10-15,72,42,30
Gaza,subdistrict,christians,15-20,84,27,57
Gaza,subdistrict,christians,20-25,97,51,46
Gaza,subdistrict,christians,25-30,84,47,37
Gaza,subdistrict,christians,30-35,72,43,29
Gaza,subdistrict,christians,35-40,60,31,29
Gaza,subdistrict,christians,40-45,36,20,16
Gaza,subdistrict,christians,45-50,30,17,13
Gaza,subdistrict,christians,50-55,31,13,18
Gaza,subdistrict,christians,55-60,17,6,11
Gaza,subdistrict,christians,60-65,24,8,16
Gaza,subdistrict,christians,65-70,9,4,5
Gaza,subdistrict,christians,70-75,13,7,6
Gaza,subdistrict,christians,75+,12,6,6
Gaza,subdistrict,christians,not_recorded,1,0,1
Gaza,subdistrict,others,total,1,1,0
Gaza,subdistrict,others,0-1,0,0,0
Gaza,subdistrict,others,1-2,0,0,0
Gaza,subdistrict,others,2-3,0,0,0
Gaza,subdistrict,others,3-4,0,0,0
Gaza,subdistrict,others,4-5,0,0,0
Gaza,subdistrict,others,0-5,0,0,0
Gaza,subdistrict,others,5-10,0,0,0
Gaza,subdistrict,others,10-15,0,0,0
Gaza,subdistrict,others,15-20,0,0,0
Gaza,subdistrict,others,20-25,1,1,0
Gaza,subdistrict,others,25-30,0,0,0
Gaza,subdistrict,others,30-35,0,0,0
Gaza,subdistrict,others,35-40,0,0,0
Gaza,subdistrict,others,40-45,0,0,0
Gaza,subdistrict,others,45-50,0,0,0
Gaza,subdistrict,others,50-55,0,0,0
Gaza,subdistrict,others,55-60,0,0,0
Gaza,subdistrict,others,60-65,0,0,0
Gaza,subdistrict,others,65-70,0,0,0
Gaza,subdistrict,others,70-75,0,0,0
Gaza,subdistrict,others,75+,0,0,0
Gaza,subdistrict,others,not_recorded,0,0,0
Beersheba,subdistrict,all,total,3101,1667,1434
Beersheba,subdistrict,all,0-1,124,66,58
Beersheba,subdistrict,all,1-2,126,68,58
Beersheba,subdistrict,all,2-3,120,71,49
Beersheba,subdistrict,all,3-4,122,53,69
Beersheba,subdistrict,all,4-5,124,72,52
Beersheba,subdistrict,all,0-5,616,330,286
Beersheba,subdistrict,all,5-10,557,301,256
Beersheba,subdistrict,all,10-15,278,169,109
Beersheba,subdistrict,all,15-20,165,97,68
Beersheba,subdistrict,all,20-25,243,118,125
Beersheba,subdistrict,all,25-30,287,144,143
Beersheba,subdistrict,all,30-35,260,134,126
Beersheba,subdistrict,all,35-40,169,91,78
Beersheba,subdistrict,all,40-45,140,69,71
Beersheba,subdistrict,all,45-50,98,63,35
Beersheba,subdistrict,all,50-55,97,49,48
Beersheba,subdistrict,all,55-60,27,15,12
Beersheba,subdistrict,all,60-65,73,42,31
Beersheba,subdistrict,all,65-70,31,17,14
Beersheba,subdistrict,all,70-75,21,9,12
Beersheba,subdistrict,all,75+,37,17,20
Beersheba,subdistrict,all,not_recorded,2,2,0
Beersheba,subdistrict,moslems,total,2926,1578,1348
Beersheba,subdistrict,moslems,0-1,117,62,55
Beersheba,subdistrict,moslems,1-2,121,67,54
Beersheba,subdistrict,moslems,2-3,115,69,46
Beersheba,subdistrict,moslems,3-4,118,52,66
Beersheba,subdistrict,moslems,4-5,120,70,50
Beersheba,subdistrict,moslems,0-5,591,320,271
Beersheba,subdistrict,moslems,5-10,527,287,240
Beersheba,subdistrict,moslems,10-15,262,158,104
Beersheba,subdistrict,moslems,15-20,156,94,62
Beersheba,subdistrict,moslems,20-25,228,112,116
Beersheba,subdistrict,moslems,25-30,261,131,130
Beersheba,subdistrict,moslems,30-35,240,122,118
Beersheba,subdistrict,moslems,35-40,160,85,75
Beersheba,subdistrict,moslems,40-45,137,67,70
Beersheba,subdistrict,moslems,45-50,91,61,30
Beersheba,subdistrict,moslems,50-55,92,46,46
Beersheba,subdistrict,moslems,55-60,25,14,11
Beersheba,subdistrict,moslems,60-65,69,39,30
Beersheba,subdistrict,moslems,65-70,29,15,14
Beersheba,subdistrict,moslems,70-75,20,9,11
Beersheba,subdistrict,moslems,75+,36,16,20
Beersheba,subdistrict,moslems,not_recorded,2,2,0
Beersheba,subdistrict,jews,total,17,9,8
Beersheba,subdistrict,jews,0-1,1,0,1
Beersheba,subdistrict,jews,1-2,1,0,1
Beersheba,subdistrict,jews,2-3,1,0,1
Beersheba,subdistrict,jews,3-4,1,0,1
Beersheba,subdistrict,jews,4-5,0,0,0
Beersheba,subdistrict,jews,0-5,4,0,4
Beersheba,subdistrict,jews,5-10,3,2,1
Beersheba,subdistrict,jews,10-15,0,0,0
Beersheba,subdistrict,jews,15-20,0,0,0
Beersheba,subdistrict,jews,20-25,2,0,2
Beersheba,subdistrict,jews,25-30,7,6,1
Beersheba,subdistrict,jews,30-35,0,0,0
Beersheba,subdistrict,jews,35-40,0,0,0
Beersheba,subdistrict,jews,40-45,1,1,0
Beersheba,subdistrict,jews,45-50,0,0,0
Beersheba,subdistrict,jews,50-55,0,0,0
Beersheba,subdistrict,jews,55-60,0,0,0
Beersheba,subdistrict,jews,60-65,0,0,0
Beersheba,subdistrict,jews,65-70,0,0,0
Beersheba,subdistrict,jews,70-75,0,0,0
Beersheba,subdistrict,jews,75+,0,0,0
Beersheba,subdistrict,jews,not_recorded,0,0,0
Beersheba,subdistrict,christians,total,153,78,75
Beersheba,subdistrict,christians,0-1,6,4,2
Beersheba,subdistrict,christians,1-2,4,1,3
Beersheba,subdistrict,christians,2-3,4,2,2
Beersheba,subdistrict,christians,3-4,3,1,2
Beersheba,subdistrict,christians,4-5,4,2,2
Beersheba,subdistrict,christians,0-5,21,10,11
Beersheba,subdistrict,christians,5-10,27,12,15
Beersheba,subdistrict,christians,10-15,15,10,5
Beersheba,subdistrict,christians,15-20,8,3,5
Beersheba,subdistrict,christians,20-25,13,6,7
Beersheba,subdistrict,christians,25-30,18,7,11
Beersheba,subdistrict,christians,30-35,18,11,7
Beersheba,subdistrict,christians,35-40,9,6,3
Beersheba,subdistrict,christians,40-45,2,1,1
Beersheba,subdistrict,christians,45-50,7,2,5
Beersheba,subdistrict,christians,50-55,5,3,2
Beersheba,subdistrict,christians,55-60,2,1,1
Beersheba,subdistrict,christians,60-65,4,3,1
Beersheba,subdistrict,christians,65-70,2,2,0
Beersheba,subdistrict,christians,70-75,1,0,1
Beersheba,subdistrict,christians,75+,1,1,0
Beersheba,subdistrict,christians,not_recorded,0,0,0
Beersheba,subdistrict,others,total,5,2,3
Beersheba,subdistrict,others,0-1,0,0,0
Beersheba,subdistrict,others,1-2,0,0,0
Beersheba,subdistrict,others,2-3,0,0,0
Beersheba,subdistrict,others,3-4,0,0,0
Beersheba,subdistrict,others,4-5,0,0,0
Beersheba,subdistrict,others,0-5,0,0,0
Beersheba,subdistrict,others,5-10,0,0,0
Beersheba,subdistrict,others,10-15,1,1,0
Beersheba,subdistrict,others,15-20,1,0,1
Beersheba,subdistrict,others,20-25,0,0,0
Beersheba,subdistrict,others,25-30,1,0,1
Beersheba,subdistrict,others,30-35,2,1,1
Beersheba,subdistrict,others,35-40,0,0,0
Beersheba,subdistrict,others,40-45,0,0,0
Beersheba,subdistrict,others,45-50,0,0,0
Beersheba,subdistrict,others,50-55,0,0,0
Beersheba,subdistrict,others,55-60,0,0,0
Beersheba,subdistrict,others,60-65,0,0,0
Beersheba,subdistrict,others,65-70,0,0,0
Beersheba,subdistrict,others,70-75,0,0,0
Beersheba,subdistrict,others,75+,0,0,0
Beersheba,subdistrict,others,not_recorded,0,0,0
Jaffa,subdistrict,all,total,140534,72707,67827
Jaffa,subdistrict,all,0-1,4467,2345,2122
Jaffa,subdistrict,all,1-2,3715,1858,1857
Jaffa,subdistrict,all,2-3,4432,2235,2197
Jaffa,subdistrict,all,3-4,4374,2266,2108
Jaffa,subdistrict,all,4-5,4185,2123,2062
Jaffa,subdistrict,all,0-5,21173,10827,10346
Jaffa,subdistrict,all,5-10,17433,9077,8356
Jaffa,subdistrict,all,10-15,10382,5642,4740
Jaffa,subdistrict,all,15-20,10359,5467,4892
Jaffa,subdistrict,all,20-25,15155,7582,7573
Jaffa,subdistrict,all,25-30,15692,7990,7702
Jaffa,subdistrict,all,30-35,12243,6434,5809
Jaffa,subdistrict,all,35-40,8617,4685,3932
Jaffa,subdistrict,all,40-45,7157,3670,3487
Jaffa,subdistrict,all,45-50,5088,2693,2395
Jaffa,subdistrict,all,50-55,5188,2601,2587
Jaffa,subdistrict,all,55-60,3060,1584,1476
Jaffa,subdistrict,all,60-65,3570,1730,1840
Jaffa,subdistrict,all,65-70,1771,901,870
Jaffa,subdistrict,all,70-75,1818,891,927
Jaffa,subdistrict,all,75+,1564,752,812
Jaffa,subdistrict,all,not_recorded,264,181,83
Jaffa,subdistrict,moslems,total,60510,32480,28030
Jaffa,subdistrict,moslems,0-1,2469,1277,1192
Jaffa,subdistrict,moslems,1-2,1933,962,971
Jaffa,subdistrict,moslems,2-3,2387,1222,1165
Jaffa,subdistrict,moslems,3-4,2420,1260,1160
Jaffa,subdistrict,moslems,4-5,2147,1105,1042
Jaffa,subdistrict,moslems,0-5,11356,5826,5530
Jaffa,subdistrict,moslems,5-10,8866,4723,4143
Jaffa,subdistrict,moslems,10-15,4770,2775,1995
Jaffa,subdistrict,moslems,15-20,3936,2351,1585
Jaffa,subdistrict,moslems,20-25,5871,3106,2765
Jaffa,subdistrict,moslems,25-30,5593,3007,2586
Jaffa,subdistrict,moslems,30-35,4607,2370,2237
Jaffa,subdistrict,moslems,35-40,3502,2010,1492
Jaffa,subdistrict,moslems,40-45,3186,1646,1540
Jaffa,subdistrict,moslems,45-50,2023,1178,845
Jaffa,subdistrict,moslems,50-55,2296,1141,1155
Jaffa,subdistrict,moslems,55-60,843,492,351
Jaffa,subdistrict,moslems,60-65,1475,726,749
Jaffa,subdistrict,moslems,65-70,471,283,188
Jaffa,subdistrict,moslems,70-75,783,366,417
Jaffa,subdistrict,moslems,75+,918,468,450
Jaffa,subdistrict,moslems,not_recorded,14,12,2
Jaffa,subdistrict,jews,total,69789,35008,34781
Jaffa,subdistrict,jews,0-1,1713,903,810
Jaffa,subdistrict,jews,1-2,1558,780,778
Jaffa,subdistrict,jews,2-3,1766,876,890
Jaffa,subdistrict,jews,3-4,1665,863,802
Jaffa,subdistrict,jews,4-5,1758,884,874
Jaffa,subdistrict,jews,0-5,8460,4306,4154
Jaffa,subdistrict,jews,5-10,7246,3639,3607
Jaffa,subdistrict,jews,10-15,4999,2557,2442
Jaffa,subdistrict,jews,15-20,5582,2714,2868
Jaffa,subdistrict,jews,20-25,8035,3835,4200
Jaffa,subdistrict,jews,25-30,9021,4424,4597
Jaffa,subdistrict,jews,30-35,6802,3638,3164
Jaffa,subdistrict,jews,35-40,4398,2294,2104
Jaffa,subdistrict,jews,40-45,3425,1742,1683
Jaffa,subdistrict,jews,45-50,2609,1283,1326
Jaffa,subdistrict,jews,50-55,2498,1263,1235
Jaffa,subdistrict,jews,55-60,2005,973,1032
Jaffa,subdistrict,jews,60-65,1833,887,946
Jaffa,subdistrict,jews,65-70,1185,571,614
Jaffa,subdistrict,jews,70-75,886,454,432
Jaffa,subdistrict,jews,75+,557,260,297
Jaffa,subdistrict,jews,not_recorded,248,168,80
Jaffa,subdistrict,christians,total,9921,5064,4857
Jaffa,subdistrict,christians,0-1,279,164,115
Jaffa,subdistrict,christians,1-2,219,112,107
Jaffa,subdistrict,christians,2-3,272,136,136
Jaffa,subdistrict,christians,3-4,284,140,144
Jaffa,subdistrict,christians,4-5,277,133,144
Jaffa,subdistrict,christians,0-5,1331,685,646
Jaffa,subdistrict,christians,5-10,1300,705,595
Jaffa,subdistrict,christians,10-15,598,303,295
Jaffa,subdistrict,christians,15-20,832,396,436
Jaffa,subdistrict,christians,20-25,1188,620,568
Jaffa,subdistrict,christians,25-30,995,512,483
Jaffa,subdistrict,christians,30-35,785,401,384
Jaffa,subdistrict,christians,35-40,699,372,327
Jaffa,subdistrict,christians,40-45,529,273,256
Jaffa,subdistrict,christians,45-50,448,227,221
Jaffa,subdistrict,christians,50-55,389,193,196
Jaffa,subdistrict,christians,55-60,212,119,93
Jaffa,subdistrict,christians,60-65,262,117,145
Jaffa,subdistrict,christians,65-70,115,47,68
Jaffa,subdistrict,christians,70-75,147,69,78
Jaffa,subdistrict,christians,75+,89,24,65
Jaffa,subdistrict,christians,not_recorded,2,1,1
Jaffa,subdistrict,others,total,314,155,159
Jaffa,subdistrict,others,0-1,6,1,5
Jaffa,subdistrict,others,1-2,5,4,1
Jaffa,subdistrict,others,2-3,7,1,6
Jaffa,subdistrict,others,3-4,5,3,2
Jaffa,subdistrict,others,4-5,3,1,2
Jaffa,subdistrict,others,0-5,26,10,16
Jaffa,subdistrict,others,5-10,21,10,11
Jaffa,subdistrict,others,10-15,15,7,8
Jaffa,subdistrict,others,15-20,9,6,3
Jaffa,subdistrict,others,20-25,61,21,40
Jaffa,subdistrict,others,25-30,83,47,36
Jaffa,subdistrict,others,30-35,49,25,24
Jaffa,subdistrict,others,35-40,18,9,9
Jaffa,subdistrict,others,40-45,17,9,8
Jaffa,subdistrict,others,45-50,8,5,3
Jaffa,subdistrict,others,50-55,5,4,1
Jaffa,subdistrict,others,55-60,0,0,0
Jaffa,subdistrict,others,60-65,0,0,0
Jaffa,subdistrict,others,65-70,0,0,0
Jaffa,subdistrict,others,70-75,2,2,0
Jaffa,subdistrict,others,75+,0,0,0
Jaffa,subdistrict,others,not_recorded,0,0,0
Ramle,subdistrict,all,total,66793,34807,31986
Ramle,subdistrict,all,0-1,3010,1585,1425
Ramle,subdistrict,all,1-2,2130,1100,1030
Ramle,subdistrict,all,2-3,2843,1453,1390
