unit,unit_type,religion,age_group,persons,males,females
Ramle,subdistrict,all,3-4,2539,1276,1263
Ramle,subdistrict,all,4-5,2301,1177,1124
Ramle,subdistrict,all,0-5,12823,6591,6232
Ramle,subdistrict,all,5-10,9102,4900,4202
Ramle,subdistrict,all,10-15,5019,2867,2152
Ramle,subdistrict,all,15-20,3932,2151,1781
Ramle,subdistrict,all,20-25,6454,3444,3010
Ramle,subdistrict,all,25-30,6571,3391,3180
Ramle,subdistrict,all,30-35,4887,2384,2503
Ramle,subdistrict,all,35-40,4039,2115,1924
Ramle,subdistrict,all,40-45,3287,1598,1689
Ramle,subdistrict,all,45-50,2465,1250,1215
Ramle,subdistrict,all,50-55,2465,1235,1230
Ramle,subdistrict,all,55-60,1266,699,567
Ramle,subdistrict,all,60-65,1723,844,879
Ramle,subdistrict,all,65-70,742,381,361
Ramle,subdistrict,all,70-75,981,470,511
Ramle,subdistrict,all,75+,1033,486,547
Ramle,subdistrict,all,not_recorded,4,1,3
Ramle,subdistrict,moslems,total,54101,27756,26345
Ramle,subdistrict,moslems,0-1,2602,1373,1229
Ramle,subdistrict,moslems,1-2,1846,959,887
Ramle,subdistrict,moslems,2-3,2477,1251,1226
Ramle,subdistrict,moslems,3-4,2228,1113,1115
Ramle,subdistrict,moslems,4-5,1935,991,944
Ramle,subdistrict,moslems,0-5,11088,5687,5401
Ramle,subdistrict,moslems,5-10,7737,4186,3551
Ramle,subdistrict,moslems,10-15,4084,2327,1757
Ramle,subdistrict,moslems,15-20,2989,1651,1338
Ramle,subdistrict,moslems,20-25,4409,2180,2229
Ramle,subdistrict,moslems,25-30,4837,2348,2489
Ramle,subdistrict,moslems,30-35,3888,1817,2071
Ramle,subdistrict,moslems,35-40,3328,1735,1593
Ramle,subdistrict,moslems,40-45,2809,1331,1478
Ramle,subdistrict,moslems,45-50,2081,1074,1007
Ramle,subdistrict,moslems,50-55,2095,1050,1045
Ramle,subdistrict,moslems,55-60,964,542,422
Ramle,subdistrict,moslems,60-65,1438,695,743
Ramle,subdistrict,moslems,65-70,577,301,276
Ramle,subdistrict,moslems,70-75,844,402,442
Ramle,subdistrict,moslems,75+,930,430,500
Ramle,subdistrict,moslems,not_recorded,3,0,3
Ramle,subdistrict,jews,total,8496,4570,3926
Ramle,subdistrict,jews,0-1,253,131,122
Ramle,subdistrict,jews,1-2,177,87,90
Ramle,subdistrict,jews,2-3,211,113,98
Ramle,subdistrict,jews,3-4,199,93,106
Ramle,subdistrict,jews,4-5,235,124,111
Ramle,subdistrict,jews,0-5,1075,548,527
Ramle,subdistrict,jews,5-10,807,408,399
Ramle,subdistrict,jews,10-15,603,324,279
Ramle,subdistrict,jews,15-20,653,336,317
Ramle,subdistrict,jews,20-25,1438,840,598
Ramle,subdistrict,jews,25-30,1292,753,539
Ramle,subdistrict,jews,30-35,674,380,294
Ramle,subdistrict,jews,35-40,448,240,208
Ramle,subdistrict,jews,40-45,311,164,147
Ramle,subdistrict,jews,45-50,266,122,144
Ramle,subdistrict,jews,50-55,232,111,121
Ramle,subdistrict,jews,55-60,220,105,115
Ramle,subdistrict,jews,60-65,193,106,87
Ramle,subdistrict,jews,65-70,126,59,67
Ramle,subdistrict,jews,70-75,92,41,51
Ramle,subdistrict,jews,75+,65,32,33
Ramle,subdistrict,jews,not_recorded,1,1,0
Ramle,subdistrict,christians,total,4184,2473,1711
Ramle,subdistrict,christians,0-1,155,81,74
Ramle,subdistrict,christians,1-2,107,54,53
Ramle,subdistrict,christians,2-3,154,88,66
Ramle,subdistrict,christians,3-4,111,69,42
Ramle,subdistrict,christians,4-5,131,62,69
Ramle,subdistrict,christians,0-5,658,354,304
Ramle,subdistrict,christians,5-10,555,303,252
Ramle,subdistrict,christians,10-15,332,216,116
Ramle,subdistrict,christians,15-20,290,164,126
Ramle,subdistrict,christians,20-25,606,424,182
Ramle,subdistrict,christians,25-30,440,290,150
Ramle,subdistrict,christians,30-35,325,187,138
Ramle,subdistrict,christians,35-40,261,139,122
Ramle,subdistrict,christians,40-45,166,102,64
Ramle,subdistrict,christians,45-50,118,54,64
Ramle,subdistrict,christians,50-55,138,74,64
Ramle,subdistrict,christians,55-60,81,51,30
Ramle,subdistrict,christians,60-65,92,43,49
Ramle,subdistrict,christians,65-70,39,21,18
Ramle,subdistrict,christians,70-75,45,27,18
Ramle,subdistrict,christians,75+,38,24,14
Ramle,subdistrict,christians,not_recorded,0,0,0
Ramle,subdistrict,others,total,12,8,4
Ramle,subdistrict,others,0-1,0,0,0
Ramle,subdistrict,others,1-2,0,0,0
Ramle,subdistrict,others,2-3,1,1,0
Ramle,subdistrict,others,3-4,1,1,0
Ramle,subdistrict,others,4-5,0,0,0
Ramle,subdistrict,others,0-5,2,2,0
Ramle,subdistrict,others,5-10,3,3,0
Ramle,subdistrict,others,10-15,0,0,0
Ramle,subdistrict,others,15-20,0,0,0
Ramle,subdistrict,others,20-25,1,0,1
Ramle,subdistrict,others,25-30,2,0,2
Ramle,subdistrict,others,30-35,0,0,0
Ramle,subdistrict,others,35-40,2,1,1
Ramle,subdistrict,others,40-45,1,1,0
Ramle,subdistrict,others,45-50,0,0,0
Ramle,subdistrict,others,50-55,0,0,0
Ramle,subdistrict,others,55-60,1,1,0
Ramle,subdistrict,others,60-65,0,0,0
Ramle,subdistrict,others,65-70,0,0,0
Ramle,subdistrict,others,70-75,0,0,0
Ramle,subdistrict,others,75+,0,0,0
Ramle,subdistrict,others,not_recorded,0,0,0
Jerusalem,district,all,total,257490,128536,128954
Jerusalem,district,all,0-1,9551,4933,4618
Jerusalem,district,all,1-2,7987,4017,3970
Jerusalem,district,all,2-3,9216,4767,4449
Jerusalem,district,all,3-4,9094,4610,4484
Jerusalem,district,all,4-5,8292,4204,4088
Jerusalem,district,all,0-5,44140,22531,21609
Jerusalem,district,all,5-10,36046,19129,16917
Jerusalem,district,all,10-15,21800,11784,10016
Jerusalem,district,all,15-20,17649,9119,8530
Jerusalem,district,all,20-25,21987,11178,10809
Jerusalem,district,all,25-30,22424,10949,11475
Jerusalem,district,all,30-35,18271,8506,9765
Jerusalem,district,all,35-40,15670,7421,8249
Jerusalem,district,all,40-45,13280,6008,7272
Jerusalem,district,all,45-50,9874,4837,5037
Jerusalem,district,all,50-55,9628,4416,5212
Jerusalem,district,all,55-60,5701,2822,2879
Jerusalem,district,all,60-65,7511,3433,4078
Jerusalem,district,all,65-70,4010,1963,2047
Jerusalem,district,all,70-75,4428,1945,2483
Jerusalem,district,all,75+,5017,2462,2555
Jerusalem,district,all,not_recorded,54,33,21
Jerusalem,district,moslems,total,163947,83012,80935
Jerusalem,district,moslems,0-1,6536,3392,3144
Jerusalem,district,moslems,1-2,5688,2826,2862
Jerusalem,district,moslems,2-3,6558,3406,3152
Jerusalem,district,moslems,3-4,6470,3253,3217
Jerusalem,district,moslems,4-5,5836,2972,2864
Jerusalem,district,moslems,0-5,31088,15849,15239
Jerusalem,district,moslems,5-10,23952,12907,11045
Jerusalem,district,moslems,10-15,13595,7580,6015
Jerusalem,district,moslems,15-20,9410,5126,4284
Jerusalem,district,moslems,20-25,12388,6207,6181
Jerusalem,district,moslems,25-30,13934,6752,7182
Jerusalem,district,moslems,30-35,11514,5206,6308
Jerusalem,district,moslems,35-40,10518,5080,5438
Jerusalem,district,moslems,40-45,8872,4069,4803
Jerusalem,district,moslems,45-50,6425,3346,3079
Jerusalem,district,moslems,50-55,6146,2899,3247
Jerusalem,district,moslems,55-60,3182,1680,1502
Jerusalem,district,moslems,60-65,4667,2191,2476
Jerusalem,district,moslems,65-70,2188,1171,1017
Jerusalem,district,moslems,70-75,2687,1200,1487
Jerusalem,district,moslems,75+,3361,1735,1626
Jerusalem,district,moslems,not_recorded,20,14,6
Jerusalem,district,jews,total,54959,26894,28065
Jerusalem,district,jews,0-1,1866,973,893
Jerusalem,district,jews,1-2,1464,761,703
Jerusalem,district,jews,2-3,1629,819,810
Jerusalem,district,jews,3-4,1592,820,772
Jerusalem,district,jews,4-5,1523,759,764
Jerusalem,district,jews,0-5,8074,4132,3942
Jerusalem,district,jews,5-10,7303,3767,3536
Jerusalem,district,jews,10-15,4921,2499,2422
Jerusalem,district,jews,15-20,4617,2161,2456
Jerusalem,district,jews,20-25,5459,2595,2864
Jerusalem,district,jews,25-30,5381,2689,2692
Jerusalem,district,jews,30-35,4237,2148,2089
Jerusalem,district,jews,35-40,2943,1405,1538
Jerusalem,district,jews,40-45,2514,1177,1337
Jerusalem,district,jews,45-50,1827,836,991
Jerusalem,district,jews,50-55,1908,858,1050
Jerusalem,district,jews,55-60,1344,631,713
Jerusalem,district,jews,60-65,1616,715,901
Jerusalem,district,jews,65-70,971,419,552
Jerusalem,district,jews,70-75,1010,447,563
Jerusalem,district,jews,75+,815,404,411
Jerusalem,district,jews,not_recorded,19,11,8
Jerusalem,district,christians,total,38488,18567,19921
Jerusalem,district,christians,0-1,1147,567,580
Jerusalem,district,christians,1-2,831,427,404
Jerusalem,district,christians,2-3,1029,542,487
Jerusalem,district,christians,3-4,1029,537,492
Jerusalem,district,christians,4-5,933,473,460
Jerusalem,district,christians,0-5,4969,2546,2423
Jerusalem,district,christians,5-10,4787,2453,2334
Jerusalem,district,christians,10-15,3281,1704,1577
Jerusalem,district,christians,15-20,3613,1827,1786
Jerusalem,district,christians,20-25,4120,2362,1758
Jerusalem,district,christians,25-30,3089,1495,1594
Jerusalem,district,christians,30-35,2507,1141,1366
Jerusalem,district,christians,35-40,2203,932,1271
Jerusalem,district,christians,40-45,1888,759,1129
Jerusalem,district,christians,45-50,1621,654,967
Jerusalem,district,christians,50-55,1572,658,914
Jerusalem,district,christians,55-60,1173,509,664
Jerusalem,district,christians,60-65,1228,527,701
Jerusalem,district,christians,65-70,851,372,479
Jerusalem,district,christians,70-75,731,298,433
Jerusalem,district,christians,75+,840,322,518
Jerusalem,district,christians,not_recorded,15,8,7
Jerusalem,district,others,total,96,63,33
Jerusalem,district,others,0-1,2,1,1
Jerusalem,district,others,1-2,4,3,1
Jerusalem,district,others,2-3,0,0,0
Jerusalem,district,others,3-4,3,0,3
Jerusalem,district,others,4-5,0,0,0
Jerusalem,district,others,0-5,9,4,5
Jerusalem,district,others,5-10,4,2,2
Jerusalem,district,others,10-15,3,1,2
Jerusalem,district,others,15-20,9,5,4
Jerusalem,district,others,20-25,20,14,6
Jerusalem,district,others,25-30,20,13,7
Jerusalem,district,others,30-35,13,11,2
Jerusalem,district,others,35-40,6,4,2
Jerusalem,district,others,40-45,6,4,2
Jerusalem,district,others,45-50,1,1,0
Jerusalem,district,others,50-55,2,1,1
Jerusalem,district,others,55-60,2,2,0
Jerusalem,district,others,60-65,0,0,0
Jerusalem,district,others,65-70,0,0,0
Jerusalem,district,others,70-75,0,0,0
Jerusalem,district,others,75+,1,1,0
Jerusalem,district,others,not_recorded,0,0,0
Hebron,subdistrict,all,total,65630,32987,32643
Hebron,subdistrict,all,0-1,2574,1316,1258
Hebron,subdistrict,all,1-2,2622,1296,1326
Hebron,subdistrict,all,2-3,2632,1347,1285
Hebron,subdistrict,all,3-4,2805,1414,1391
Hebron,subdistrict,all,4-5,2502,1323,1179
Hebron,subdistrict,all,0-5,13135,6696,6439
Hebron,subdistrict,all,5-10,9587,5179,4408
Hebron,subdistrict,all,10-15,5537,3056,2481
Hebron,subdistrict,all,15-20,3496,1818,1678
Hebron,subdistrict,all,20-25,4099,1915,2184
Hebron,subdistrict,all,25-30,5192,2469,2723
Hebron,subdistrict,all,30-35,4734,2059,2675
Hebron,subdistrict,all,35-40,4165,2079,2086
Hebron,subdistrict,all,40-45,3546,1605,1941
Hebron,subdistrict,all,45-50,2401,1273,1128
Hebron,subdistrict,all,50-55,2625,1227,1398
Hebron,subdistrict,all,55-60,1133,602,531
Hebron,subdistrict,all,60-65,1965,934,1031
Hebron,subdistrict,all,65-70,836,476,360
Hebron,subdistrict,all,70-75,1315,614,701
Hebron,subdistrict,all,75+,1858,980,878
Hebron,subdistrict,all,not_recorded,6,5,1
Hebron,subdistrict,moslems,total,65363,32851,32512
Hebron,subdistrict,moslems,0-1,2568,1313,1255
Hebron,subdistrict,moslems,1-2,2611,1287,1324
Hebron,subdistrict,moslems,2-3,2622,1343,1279
Hebron,subdistrict,moslems,3-4,2798,1410,1388
Hebron,subdistrict,moslems,4-5,2493,1318,1175
Hebron,subdistrict,moslems,0-5,13092,6671,6421
Hebron,subdistrict,moslems,5-10,9550,5159,4391
Hebron,subdistrict,moslems,10-15,5518,3045,2473
Hebron,subdistrict,moslems,15-20,3489,1817,1672
Hebron,subdistrict,moslems,20-25,4065,1900,2165
Hebron,subdistrict,moslems,25-30,5162,2455,2707
Hebron,subdistrict,moslems,30-35,4712,2047,2665
Hebron,subdistrict,moslems,35-40,4142,2069,2073
Hebron,subdistrict,moslems,40-45,3536,1601,1935
Hebron,subdistrict,moslems,45-50,2390,1265,1125
Hebron,subdistrict,moslems,50-55,2615,1221,1394
Hebron,subdistrict,moslems,55-60,1129,600,529
Hebron,subdistrict,moslems,60-65,1962,933,1029
Hebron,subdistrict,moslems,65-70,830,473,357
Hebron,subdistrict,moslems,70-75,1308,610,698
Hebron,subdistrict,moslems,75+,1857,980,877
Hebron,subdistrict,moslems,not_recorded,6,5,1
Hebron,subdistrict,jews,total,135,72,63
Hebron,subdistrict,jews,0-1,4,2,2
Hebron,subdistrict,jews,1-2,8,7,1
Hebron,subdistrict,jews,2-3,6,2,4
Hebron,subdistrict,jews,3-4,5,4,1
Hebron,subdistrict,jews,4-5,8,5,3
Hebron,subdistrict,jews,0-5,31,20,11
Hebron,subdistrict,jews,5-10,22,12,10
Hebron,subdistrict,jews,10-15,12,5,7
Hebron,subdistrict,jews,15-20,2,0,2
Hebron,subdistrict,jews,20-25,12,5,7
Hebron,subdistrict,jews,25-30,9,4,5
Hebron,subdistrict,jews,30-35,7,5,2
Hebron,subdistrict,jews,35-40,10,4,6
Hebron,subdistrict,jews,40-45,5,2,3
Hebron,subdistrict,jews,45-50,7,5,2
Hebron,subdistrict,jews,50-55,5,4,1
Hebron,subdistrict,jews,55-60,2,1,1
Hebron,subdistrict,jews,60-65,1,0,1
Hebron,subdistrict,jews,65-70,3,1,2
Hebron,subdistrict,jews,70-75,7,4,3
Hebron,subdistrict,jews,75+,0,0,0
Hebron,subdistrict,jews,not_recorded,0,0,0
Hebron,subdistrict,christians,total,124,62,62
Hebron,subdistrict,christians,0-1,1,1,0
Hebron,subdistrict,christians,1-2,3,2,1
Hebron,subdistrict,christians,2-3,4,2,2
Hebron,subdistrict,christians,3-4,1,0,1
Hebron,subdistrict,christians,4-5,1,0,1
Hebron,subdistrict,christians,0-5,10,5,5
Hebron,subdistrict,christians,5-10,13,7,6
Hebron,subdistrict,christians,10-15,6,6,0
Hebron,subdistrict,christians,15-20,4,1,3
Hebron,subdistrict,christians,20-25,22,10,12
Hebron,subdistrict,christians,25-30,21,10,11
Hebron,subdistrict,christians,30-35,15,7,8
Hebron,subdistrict,christians,35-40,12,6,6
Hebron,subdistrict,christians,40-45,5,3,2
Hebron,subdistrict,christians,45-50,3,2,1
Hebron,subdistrict,christians,50-55,5,2,3
Hebron,subdistrict,christians,55-60,2,1,1
Hebron,subdistrict,christians,60-65,2,1,1
Hebron,subdistrict,christians,65-70,3,1,2
Hebron,subdistrict,christians,70-75,0,0,0
Hebron,subdistrict,christians,75+,1,0,1
Hebron,subdistrict,christians,not_recorded,0,0,0
Hebron,subdistrict,others,total,8,2,6
Hebron,subdistrict,others,0-1,1,0,1
Hebron,subdistrict,others,1-2,0,0,0
Hebron,subdistrict,others,2-3,0,0,0
Hebron,subdistrict,others,3-4,1,0,1
Hebron,subdistrict,others,4-5,0,0,0
Hebron,subdistrict,others,0-5,2,0,2
Hebron,subdistrict,others,5-10,2,1,1
Hebron,subdistrict,others,10-15,1,0,1
Hebron,subdistrict,others,15-20,1,0,1
Hebron,subdistrict,others,20-25,0,0,0
Hebron,subdistrict,others,25-30,0,0,0
Hebron,subdistrict,others,30-35,0,0,0
Hebron,subdistrict,others,35-40,1,0,1
Hebron,subdistrict,others,40-45,0,0,0
Hebron,subdistrict,others,45-50,1,1,0
Hebron,subdistrict,others,50-55,0,0,0
Hebron,subdistrict,others,55-60,0,0,0
Hebron,subdistrict,others,60-65,0,0,0
Hebron,subdistrict,others,65-70,0,0,0
Hebron,subdistrict,others,70-75,0,0,0
Hebron,subdistrict,others,75+,0,0,0
Hebron,subdistrict,others,not_recorded,0,0,0
Bethlehem,subdistrict,all,total,16781,8023,8758
Bethlehem,subdistrict,all,0-1,707,354,353
Bethlehem,subdistrict,all,1-2,414,217,197
Bethlehem,subdistrict,all,2-3,590,309,281
Bethlehem,subdistrict,all,3-4,594,294,300
Bethlehem,subdistrict,all,4-5,534,269,265
Bethlehem,subdistrict,all,0-5,2839,1443,1396
Bethlehem,subdistrict,all,5-10,2290,1178,1112
Bethlehem,subdistrict,all,10-15,1450,776,674
Bethlehem,subdistrict,all,15-20,1308,670,638
Bethlehem,subdistrict,all,20-25,1350,692,658
Bethlehem,subdistrict,all,25-30,1309,591,718
Bethlehem,subdistrict,all,30-35,1014,434,580
Bethlehem,subdistrict,all,35-40,908,375,533
Bethlehem,subdistrict,all,40-45,795,332,463
Bethlehem,subdistrict,all,45-50,643,244,399
Bethlehem,subdistrict,all,50-55,644,263,381
Bethlehem,subdistrict,all,55-60,414,196,218
Bethlehem,subdistrict,all,60-65,546,239,307
Bethlehem,subdistrict,all,65-70,368,179,189
Bethlehem,subdistrict,all,70-75,388,167,221
Bethlehem,subdistrict,all,75+,508,240,268
Bethlehem,subdistrict,all,not_recorded,7,4,3
Bethlehem,subdistrict,moslems,total,6103,3158,2945
Bethlehem,subdistrict,moslems,0-1,325,159,166
Bethlehem,subdistrict,moslems,1-2,173,89,84
Bethlehem,subdistrict,moslems,2-3,277,148,129
Bethlehem,subdistrict,moslems,3-4,253,125,128
Bethlehem,subdistrict,moslems,4-5,227,115,112
Bethlehem,subdistrict,moslems,0-5,1255,636,619
Bethlehem,subdistrict,moslems,5-10,872,454,418
Bethlehem,subdistrict,moslems,10-15,433,250,183
Bethlehem,subdistrict,moslems,15-20,339,203,136
Bethlehem,subdistrict,moslems,20-25,456,246,210
Bethlehem,subdistrict,moslems,25-30,573,277,296
Bethlehem,subdistrict,moslems,30-35,434,205,229
Bethlehem,subdistrict,moslems,35-40,403,194,209
Bethlehem,subdistrict,moslems,40-45,335,178,157
Bethlehem,subdistrict,moslems,45-50,192,97,95
Bethlehem,subdistrict,moslems,50-55,200,88,112
Bethlehem,subdistrict,moslems,55-60,107,63,44
Bethlehem,subdistrict,moslems,60-65,167,81,86
Bethlehem,subdistrict,moslems,65-70,111,60,51
Bethlehem,subdistrict,moslems,70-75,112,51,61
Bethlehem,subdistrict,moslems,75+,112,74,38
Bethlehem,subdistrict,moslems,not_recorded,2,1,1
Bethlehem,subdistrict,jews,total,42,22,20
Bethlehem,subdistrict,jews,0-1,0,0,0
Bethlehem,subdistrict,jews,1-2,0,0,0
Bethlehem,subdistrict,jews,2-3,0,0,0
Bethlehem,subdistrict,jews,3-4,0,0,0
Bethlehem,subdistrict,jews,4-5,0,0,0
Bethlehem,subdistrict,jews,0-5,0,0,0
Bethlehem,subdistrict,jews,5-10,0,0,0
Bethlehem,subdistrict,jews,10-15,0,0,0
Bethlehem,subdistrict,jews,15-20,3,1,2
Bethlehem,subdistrict,jews,20-25,4,1,3
Bethlehem,subdistrict,jews,25-30,19,9,10
Bethlehem,subdistrict,jews,30-35,8,6,2
Bethlehem,subdistrict,jews,35-40,3,1,2
Bethlehem,subdistrict,jews,40-45,1,1,0
Bethlehem,subdistrict,jews,45-50,2,2,0
Bethlehem,subdistrict,jews,50-55,0,0,0
Bethlehem,subdistrict,jews,55-60,1,1,0
Bethlehem,subdistrict,jews,60-65,1,0,1
Bethlehem,subdistrict,jews,65-70,0,0,0
Bethlehem,subdistrict,jews,70-75,0,0,0
Bethlehem,subdistrict,jews,75+,0,0,0
Bethlehem,subdistrict,jews,not_recorded,0,0,0
Bethlehem,subdistrict,christians,total,10628,4841,5787
Bethlehem,subdistrict,christians,0-1,381,194,187
Bethlehem,subdistrict,christians,1-2,241,128,113
Bethlehem,subdistrict,christians,2-3,313,161,152
Bethlehem,subdistrict,christians,3-4,341,169,172
Bethlehem,subdistrict,christians,4-5,307,154,153
Bethlehem,subdistrict,christians,0-5,1583,806,777
Bethlehem,subdistrict,christians,5-10,1418,724,694
Bethlehem,subdistrict,christians,10-15,1017,526,491
Bethlehem,subdistrict,christians,15-20,966,466,500
Bethlehem,subdistrict,christians,20-25,887,444,443
Bethlehem,subdistrict,christians,25-30,714,305,409
Bethlehem,subdistrict,christians,30-35,572,223,349
Bethlehem,subdistrict,christians,35-40,502,180,322
Bethlehem,subdistrict,christians,40-45,458,153,305
Bethlehem,subdistrict,christians,45-50,449,145,304
Bethlehem,subdistrict,christians,50-55,444,175,269
Bethlehem,subdistrict,christians,55-60,306,132,174
Bethlehem,subdistrict,christians,60-65,378,158,220
Bethlehem,subdistrict,christians,65-70,257,119,138
Bethlehem,subdistrict,christians,70-75,276,116,160
Bethlehem,subdistrict,christians,75+,396,166,230
Bethlehem,subdistrict,christians,not_recorded,5,3,2
Bethlehem,subdistrict,others,total,8,2,6
Bethlehem,subdistrict,others,0-1,1,1,0
Bethlehem,subdistrict,others,1-2,0,0,0
Bethlehem,subdistrict,others,2-3,0,0,0
Bethlehem,subdistrict,others,3-4,0,0,0
Bethlehem,subdistrict,others,4-5,0,0,0
Bethlehem,subdistrict,others,0-5,1,1,0
Bethlehem,subdistrict,others,5-10,0,0,0
Bethlehem,subdistrict,others,10-15,0,0,0
Bethlehem,subdistrict,others,15-20,0,0,0
Bethlehem,subdistrict,others,20-25,3,1,2
Bethlehem,subdistrict,others,25-30,3,0,3
Bethlehem,subdistrict,others,30-35,0,0,0
Bethlehem,subdistrict,others,35-40,0,0,0
Bethlehem,subdistrict,others,40-45,1,0,1
Bethlehem,subdistrict,others,45-50,0,0,0
Bethlehem,subdistrict,others,50-55,0,0,0
Bethlehem,subdistrict,others,55-60,0,0,0
Bethlehem,subdistrict,others,60-65,0,0,0
Bethlehem,subdistrict,others,65-70,0,0,0
Bethlehem,subdistrict,others,70-75,0,0,0
Bethlehem,subdistrict,others,75+,0,0,0
Bethlehem,subdistrict,others,not_recorded,0,0,0
Jerusalem,subdistrict,all,total,132661,66612,66049
Jerusalem,subdistrict,all,0-1,4672,2423,2249
Jerusalem,subdistrict,all,1-2,3711,1900,1811
Jerusalem,subdistrict,all,2-3,4431,2306,2125
Jerusalem,subdistrict,all,3-4,4183,2129,2054
Jerusalem,subdistrict,all,4-5,3808,1896,1912
Jerusalem,subdistrict,all,0-5,20805,10654,10151
Jerusalem,subdistrict,all,5-10,17913,9432,8481
Jerusalem,subdistrict,all,10-15,11529,6229,5300
Jerusalem,subdistrict,all,15-20,10578,5459,5119
Jerusalem,subdistrict,all,20-25,12922,6739,6183
Jerusalem,subdistrict,all,25-30,12162,6095,6067
Jerusalem,subdistrict,all,30-35,9559,4685,4874
Jerusalem,subdistrict,all,35-40,7704,3667,4037
Jerusalem,subdistrict,all,40-45,6649,3105,3544
Jerusalem,subdistrict,all,45-50,4967,2422,2545
Jerusalem,subdistrict,all,50-55,4728,2158,2570
Jerusalem,subdistrict,all,55-60,3122,1491,1631
Jerusalem,subdistrict,all,60-65,3762,1644,2118
Jerusalem,subdistrict,all,65-70,2118,950,1168
Jerusalem,subdistrict,all,70-75,2097,897,1200
Jerusalem,subdistrict,all,75+,2011,964,1047
Jerusalem,subdistrict,all,not_recorded,35,21,14
Jerusalem,subdistrict,moslems,total,57762,29782,27980
Jerusalem,subdistrict,moslems,0-1,2320,1218,1102
Jerusalem,subdistrict,moslems,1-2,1885,959,926
Jerusalem,subdistrict,moslems,2-3,2351,1247,1104
Jerusalem,subdistrict,moslems,3-4,2177,1098,1079
Jerusalem,subdistrict,moslems,4-5,1892,948,944
Jerusalem,subdistrict,moslems,0-5,10625,5470,5155
Jerusalem,subdistrict,moslems,5-10,8449,4558,3891
Jerusalem,subdistrict,moslems,10-15,4981,2873,2108
Jerusalem,subdistrict,moslems,15-20,3875,2171,1704
Jerusalem,subdistrict,moslems,20-25,4926,2564,2362
Jerusalem,subdistrict,moslems,25-30,5063,2535,2528
Jerusalem,subdistrict,moslems,30-35,3914,1862,2052
Jerusalem,subdistrict,moslems,35-40,3541,1706,1835
Jerusalem,subdistrict,moslems,40-45,3050,1460,1590
Jerusalem,subdistrict,moslems,45-50,2293,1200,1093
Jerusalem,subdistrict,moslems,50-55,1968,951,1017
Jerusalem,subdistrict,moslems,55-60,1132,593,539
Jerusalem,subdistrict,moslems,60-65,1537,683,854
Jerusalem,subdistrict,moslems,65-70,718,355,363
Jerusalem,subdistrict,moslems,70-75,793,350,443
Jerusalem,subdistrict,moslems,75+,890,445,445
Jerusalem,subdistrict,moslems,not_recorded,7,6,1
Jerusalem,subdistrict,jews,total,54538,26573,27965
Jerusalem,subdistrict,jews,0-1,1862,971,891
Jerusalem,subdistrict,jews,1-2,1456,754,702
Jerusalem,subdistrict,jews,2-3,1622,816,806
Jerusalem,subdistrict,jews,3-4,1587,816,771
Jerusalem,subdistrict,jews,4-5,1515,754,761
Jerusalem,subdistrict,jews,0-5,8042,4111,3931
Jerusalem,subdistrict,jews,5-10,7280,3755,3525
Jerusalem,subdistrict,jews,10-15,4909,2494,2415
Jerusalem,subdistrict,jews,15-20,4605,2154,2451
Jerusalem,subdistrict,jews,20-25,5378,2534,2844
Jerusalem,subdistrict,jews,25-30,5259,2585,2674
Jerusalem,subdistrict,jews,30-35,4172,2088,2084
Jerusalem,subdistrict,jews,35-40,2913,1384,1529
Jerusalem,subdistrict,jews,40-45,2501,1167,1334
Jerusalem,subdistrict,jews,45-50,1816,827,989
Jerusalem,subdistrict,jews,50-55,1903,854,1049
Jerusalem,subdistrict,jews,55-60,1341,629,712
Jerusalem,subdistrict,jews,60-65,1614,715,899
Jerusalem,subdistrict,jews,65-70,968,418,550
Jerusalem,subdistrict,jews,70-75,1003,443,560
Jerusalem,subdistrict,jews,75+,815,404,411
Jerusalem,subdistrict,jews,not_recorded,19,11,8
Jerusalem,subdistrict,christians,total,20309,10221,10088
Jerusalem,subdistrict,christians,0-1,490,234,256
Jerusalem,subdistrict,christians,1-2,367,185,182
Jerusalem,subdistrict,christians,2-3,458,243,215
Jerusalem,subdistrict,christians,3-4,417,215,202
Jerusalem,subdistrict,christians,4-5,401,194,207
Jerusalem,subdistrict,christians,0-5,2133,1071,1062
Jerusalem,subdistrict,christians,5-10,2183,1119,1064
Jerusalem,subdistrict,christians,10-15,1639,862,777
Jerusalem,subdistrict,christians,15-20,2093,1130,963
Jerusalem,subdistrict,christians,20-25,2605,1632,973
Jerusalem,subdistrict,christians,25-30,1829,967,862
Jerusalem,subdistrict,christians,30-35,1466,730,736
Jerusalem,subdistrict,christians,35-40,1246,574,672
Jerusalem,subdistrict,christians,40-45,1097,477,620
Jerusalem,subdistrict,christians,45-50,858,395,463
Jerusalem,subdistrict,christians,50-55,855,352,503
Jerusalem,subdistrict,christians,55-60,647,267,380
Jerusalem,subdistrict,christians,60-65,611,246,365
Jerusalem,subdistrict,christians,65-70,432,177,255
Jerusalem,subdistrict,christians,70-75,301,104,197
Jerusalem,subdistrict,christians,75+,305,114,191
Jerusalem,subdistrict,christians,not_recorded,9,4,5
Jerusalem,subdistrict,others,total,52,36,16
Jerusalem,subdistrict,others,0-1,0,0,0
Jerusalem,subdistrict,others,1-2,3,2,1
Jerusalem,subdistrict,others,2-3,0,0,0
Jerusalem,subdistrict,others,3-4,2,0,2
