district,subdistrict,religion,persons,males,females
Palestine,ALL,all,1035821,526680,509141
Palestine,ALL,moslems,759712,387594,372118
Palestine,ALL,jews,174610,88100,86510
Palestine,ALL,christians,91398,45896,45502
Palestine,ALL,druzes,9148,4578,4570
Palestine,ALL,bahais,350,189,161
Palestine,ALL,samaritans,182,93,89
Palestine,ALL,no_religion,421,230,191
Southern,ALL,all,361797,186638,175159
Southern,ALL,moslems,267587,138586,129001
Southern,ALL,jews,78723,39827,38896
Southern,ALL,christians,15155,8059,7096
Southern,ALL,druzes,4,2,2
Southern,ALL,bahais,17,11,6
Southern,ALL,samaritans,6,4,2
Southern,ALL,no_religion,305,149,156
Southern,Gaza,all,94634,47069,47565
Southern,Gaza,moslems,93315,46384,46931
Southern,Gaza,jews,421,240,181
Southern,Gaza,christians,897,444,453
Southern,Gaza,bahais,1,1,0
Southern,Beersheba,all,51082,27689,23393
Southern,Beersheba,moslems,50907,27600,23307
Southern,Beersheba,jews,17,9,8
Southern,Beersheba,christians,153,78,75
Southern,Beersheba,bahais,5,2,3
Southern,Jaffa,all,145502,75231,70271
Southern,Jaffa,moslems,65478,35004,30474
Southern,Jaffa,jews,69789,35008,34781
Southern,Jaffa,christians,9921,5064,4857
Southern,Jaffa,druzes,2,1,1
Southern,Jaffa,bahais,1,1,0
Southern,Jaffa,samaritans,6,4,2
Southern,Jaffa,no_religion,305,149,156
Southern,Ramle,all,70579,36649,33930
Southern,Ramle,moslems,57887,29598,28289
Southern,Ramle,jews,8496,4570,3926
Southern,Ramle,christians,4184,2473,1711
Southern,Ramle,druzes,2,1,1
Southern,Ramle,bahais,10,7,3
Jerusalem,ALL,all,266562,133201,133361
Jerusalem,ALL,moslems,173019,87677,85342
Jerusalem,ALL,jews,54959,26894,28065
Jerusalem,ALL,christians,38488,18567,19921
Jerusalem,ALL,druzes,28,23,5
Jerusalem,ALL,bahais,15,6,9
Jerusalem,ALL,samaritans,1,1,0
Jerusalem,ALL,no_religion,52,33,19
Jerusalem,Hebron,all,67631,34056,33575
Jerusalem,Hebron,moslems,67364,33920,33444
Jerusalem,Hebron,jews,135,72,63
Jerusalem,Hebron,christians,124,62,62
Jerusalem,Hebron,bahais,8,2,6
Jerusalem,Bethlehem,all,23725,11560,12165
Jerusalem,Bethlehem,moslems,13047,6695,6352
Jerusalem,Bethlehem,jews,42,22,20
Jerusalem,Bethlehem,christians,10628,4841,5787
Jerusalem,Bethlehem,no_religion,8,2,6
Jerusalem,Jerusalem,all,132661,66612,66049
Jerusalem,Jerusalem,moslems,57762,29782,27980
Jerusalem,Jerusalem,jews,54538,26573,27965
Jerusalem,Jerusalem,christians,20309,10221,10088
Jerusalem,Jerusalem,druzes,3,3,0
