district,subdistrict,church,persons,males,females
Palestine,ALL,total_christians,91398,45896,45502
Palestine,ALL,orthodox_jerusalem,39727,19565,20162
Palestine,ALL,syrian_orthodox,1042,582,460
Palestine,ALL,latin,18895,8714,10181
Palestine,ALL,melkite,12645,6289,6356
Palestine,ALL,maronite,3431,1738,1693
Palestine,ALL,armenian_catholic,330,238,92
Palestine,ALL,syrian_catholic,171,69,102
Palestine,ALL,assyrian_catholic,106,35,71
Palestine,ALL,armenian_gregorian,3167,1628,1539
Palestine,ALL,coptic,219,128,91
Palestine,ALL,abyssinian,282,278,4
Palestine,ALL,anglican,4799,3320,1479
Palestine,ALL,presbyterian,170,117,53
Palestine,ALL,lutheran,344,156,188
Palestine,ALL,various_unclassified,6070,3039,3031
Southern,ALL,total_christians,15155,8059,7096
Southern,ALL,orthodox_jerusalem,9323,4775,4548
Southern,ALL,syrian_orthodox,6,6,0
Southern,ALL,latin,1520,805,715
Southern,ALL,melkite,630,329,301
Southern,ALL,maronite,381,217,164
Southern,ALL,armenian_catholic,27,27,0
Southern,ALL,syrian_catholic,2,1,1
Southern,ALL,assyrian_catholic,8,3,5
Southern,ALL,armenian_gregorian,495,274,221
Southern,ALL,coptic,102,58,44
Southern,ALL,abyssinian,189,189,0
Southern,ALL,anglican,963,577,386
Southern,ALL,presbyterian,46,31,15
Southern,ALL,lutheran,257,139,118
Southern,ALL,various_unclassified,1206,628,578
Southern,Gaza,total_christians,897,444,453
Southern,Gaza,orthodox_jerusalem,704,353,351
Southern,Gaza,latin,56,26,30
Southern,Gaza,melkite,6,3,3
Southern,Gaza,maronite,1,1,0
Southern,Gaza,armenian_gregorian,21,7,14
Southern,Gaza,coptic,3,2,1
Southern,Gaza,anglican,32,20,12
Southern,Gaza,various_unclassified,74,32,42
Southern,Beersheba,total_christians,153,78,75
Southern,Beersheba,orthodox_jerusalem,126,61,65
Southern,Beersheba,latin,5,2,3
Southern,Beersheba,anglican,15,9,6
Southern,Beersheba,various_unclassified,7,6,1
Southern,Jaffa,total_christians,9921,5064,4857
Southern,Jaffa,orthodox_jerusalem,5868,2984,2884
Southern,Jaffa,syrian_orthodox,6,6,0
Southern,Jaffa,latin,1004,493,511
Southern,Jaffa,melkite,595,305,290
Southern,Jaffa,maronite,365,206,159
Southern,Jaffa,armenian_catholic,18,18,0
Southern,Jaffa,syrian_catholic,2,1,1
Southern,Jaffa,assyrian_catholic,3,0,3
Southern,Jaffa,armenian_gregorian,402,227,175
Southern,Jaffa,coptic,68,41,27
Southern,Jaffa,anglican,385,176,209
Southern,Jaffa,presbyterian,8,2,6
Southern,Jaffa,lutheran,239,128,111
Southern,Jaffa,various_unclassified,958,477,481
Southern,Ramle,total_christians,4184,2473,1711
Southern,Ramle,orthodox_jerusalem,2625,1377,1248
Southern,Ramle,latin,455,284,171
Southern,Ramle,melkite,29,21,8
Southern,Ramle,maronite,15,10,5
Southern,Ramle,armenian_catholic,9,9,0
Southern,Ramle,assyrian_catholic,5,3,2
Southern,Ramle,armenian_gregorian,72,40,32
Southern,Ramle,coptic,31,15,16
Southern,Ramle,abyssinian,189,189,0
Southern,Ramle,anglican,531,372,159
Southern,Ramle,presbyterian,38,29,9
Southern,Ramle,lutheran,18,11,7
Southern,Ramle,various_unclassified,167,113,54
Jerusalem,ALL,total_christians,38488,18567,19921
Jerusalem,ALL,orthodox_jerusalem,19068,9184,9884
Jerusalem,ALL,syrian_orthodox,983,547,436
Jerusalem,ALL,latin,10429,4391,6038
Jerusalem,ALL,melkite,406,182,224
Jerusalem,ALL,maronite,141,66,75
Jerusalem,ALL,armenian_catholic,274,189,85
Jerusalem,ALL,syrian_catholic,142,63,79
Jerusalem,ALL,assyrian_catholic,46,21,25
Jerusalem,ALL,armenian_gregorian,2180,1111,1069
Jerusalem,ALL,coptic,91,54,37
Jerusalem,ALL,abyssinian,93,89,4
Jerusalem,ALL,anglican,1413,1145,268
Jerusalem,ALL,presbyterian,35,23,12
Jerusalem,ALL,lutheran,67,9,58
Jerusalem,ALL,various_unclassified,3120,1493,1627
Jerusalem,Hebron,total_christians,124,62,62
Jerusalem,Hebron,orthodox_jerusalem,49,20,29
Jerusalem,Hebron,latin,24,16,8
Jerusalem,Hebron,anglican,3,3,0
Jerusalem,Hebron,various_unclassified,48,23,25
Jerusalem,Bethlehem,total_christians,10628,4841,5787
Jerusalem,Bethlehem,orthodox_jerusalem,7052,3637,3415
Jerusalem,Bethlehem,syrian_orthodox,291,152,139
Jerusalem,Bethlehem,latin,2774,758,2016
Jerusalem,Bethlehem,melkite,59,48,11
Jerusalem,Bethlehem,maronite,4,2,2
Jerusalem,Bethlehem,armenian_catholic,15,11,4
Jerusalem,Bethlehem,syrian_catholic,36,22,14
Jerusalem,Bethlehem,assyrian_catholic,6,5,1
Jerusalem,Bethlehem,armenian_gregorian,105,56,49
Jerusalem,Bethlehem,coptic,1,1,0
Jerusalem,Bethlehem,anglican,9,4,5
Jerusalem,Bethlehem,presbyterian,1,0,1
Jerusalem,Bethlehem,various_unclassified,275,145,130
Jerusalem,Jerusalem,total_christians,20309,10221,10088
Jerusalem,Jerusalem,orthodox_jerusalem,6906,3172,3734
Jerusalem,Jerusalem,syrian_orthodox,688,391,297
Jerusalem,Jerusalem,latin,5982,2869,3113
Jerusalem,Jerusalem,melkite,272,101,171
Jerusalem,Jerusalem,maronite,126,53,73
Jerusalem,Jerusalem,armenian_catholic,258,177,81
Jerusalem,Jerusalem,syrian_catholic,106,41,65
Jerusalem,Jerusalem,assyrian_catholic,40,16,24
Jerusalem,Jerusalem,armenian_gregorian,2049,1042,1007
Jerusalem,Jerusalem,coptic,89,52,37
Jerusalem,Jerusalem,abyssinian,93,89,4
Jerusalem,Jerusalem,anglican,1382,1120,262
Jerusalem,Jerusalem,presbyterian,34,23,11
Jerusalem,Jerusalem,lutheran,67,9,58
Jerusalem,Jerusalem,various_unclassified,2217,1066,1151
Jerusalem,Jericho,total_christians,263,170,93
Jerusalem,Jericho,orthodox_jerusalem,169,109,60
Jerusalem,Jericho,latin,34,30,4
Jerusalem,Jericho,maronite,11,11,0
Jerusalem,Jericho,armenian_gregorian,25,13,12
Jerusalem,Jericho,coptic,1,1,0
Jerusalem,Jericho,various_unclassified,23,6,17
Jerusalem,Ramallah,total_christians,7164,3273,3891
Jerusalem,Ramallah,orthodox_jerusalem,4892,2246,2646
Jerusalem,Ramallah,syrian_orthodox,4,4,0
Jerusalem,Ramallah,latin,1615,718,897
Jerusalem,Ramallah,melkite,75,33,42
Jerusalem,Ramallah,armenian_catholic,1,1,0
Jerusalem,Ramallah,armenian_gregorian,1,0,1
Jerusalem,Ramallah,anglican,19,18,1
Jerusalem,Ramallah,various_unclassified,557,253,304
Northern,ALL,total_christians,37755,19270,18485
Northern,ALL,orthodox_jerusalem,11336,5606,5730
