city	lat	lon	source	kima_id	kima_name_rom	wikidata_qid	decision	decided_by	n_records
Haifa	32.819167	34.999167	kima	791	Haifa (Israel)	Q41621	matched	agent	1999
Athlit	32.687222	34.938333	kima	16036	Atlit (Israel)	Q757398	matched	auto	1021
Tireh	32.766667	34.966667	kima	756	Tirat Karmel (Israel)	Q168215	matched	human	268
Hadera	32.450000	34.916667	kima	858	Hadera (Israel)	Q471886	matched	agent	267
Tiberias	32.789722	35.524722	kima	807	Tiberias (Israel)	Q151920	matched	agent	142
Acre	32.926111	35.083889	kima	71	Acre (Israel)	Q126084	matched	agent	90
Hadar Hacarmel	32.807764	34.998150	kima	21150	Hadar Hakarmel (Haifa, Israel)	Q2630079	matched	agent	88
Kiryat Haim	32.828333	35.067222	kima	479	Kiryat Hayyim (Haifa, Israel)	Q2655674	matched	agent	82
Rameh	32.939250	35.367114	kima	77979	Rameh (Israel)	Q2915661	matched	human	69
Afula	32.607778	35.289722	kima	18417	Afula (Israel)	Q152462	matched	auto	53
Jaffa	32.052222	34.753056	kima	629	Jaffa (Tel Aviv-Yafo, Israel)	Q180294	matched	agent	44
Kiryat Bialik	32.833056	35.066389	kima	866	Kiryat Bialik (Israel)	Q152374	matched	agent	41
Zichron Yaakov	32.570833	34.951667	kima	8254	Zikhron Ya'akov (Israel)	Q198399	matched	agent	41
Yajour	32.741500	35.077197	kima	771	Yagur (Israel)	Q586687	matched	agent	35
Affikim	32.679600	35.577800	kima	554	Afikim (Israel)	Q383280	matched	agent	31
Tel Aviv	32.080000	34.780000	kima	272	Tel Aviv-Yafo (Israel)	Q33935	matched	agent	30
Karkur	32.471111	34.967500	kima	19149	Karkur (Israel)	Q2475182	matched	auto	28
Bat Galim	32.833911	34.981714	kima	21063	Bat Galim (Haifa, Israel)	Q810685	matched	auto	27
Benyamina	32.522222	34.945000	kima	21551	Binyamina (Israel)	Q863886	matched	agent	27
Safad	32.965833	35.498333	kima	377	Tsefat (Israel)	Q188336	matched	auto	27
Tel Amal	32.503611	35.457222	kima	7	Nir David (Israel)	Q943058	matched	human	27
Herzlia	32.155556	34.842222	kima	700	Herzeliyya (Israel)	Q152491	matched	auto	26
