city	lat	lon	source	kima_id	kima_name_rom	wikidata_qid	decision	decided_by	n_records
Kiryat Motzkin	32.838056	35.079444	kima	481	Kiryat Motzkin (Israel)	Q152567	matched	agent	25
Pardess Hanna	32.471111	34.967500	kima	160	Pardes Hanna-Karkur (Israel)	Q2475182	matched	agent	25
Nahalal	32.690000	35.196667	kima	38	Nahalal (Israel)	Q1724338	matched	agent	24
Nazareth	32.702103	35.297850	kima	18	Nazareth (Israel)	Q430776	matched	auto	23
Jerusalem	31.778889	35.225556	kima	691	Jerusalem (Israel)	Q1218	matched	agent	22
Kfar Vitkin	32.381797	34.876897	kima	825	Kefar Vitkin (Israel)	Q2495402	matched	agent	20
Tulkarem	32.311111	35.030833	kima	73472	Tulkarem (West Bank)	Q985531	matched	agent	16
Yavniel	32.709497	35.499400	kima	18477	Yavne'el (Israel)	Q1676894	matched	auto	15
Zichron Jacob	32.570833	34.951667	kima	8254	Zikhron Ya'akov (Israel)	Q198399	matched	agent	15
Ardel Yahud							unmatched-no-kima-entry	agent	14
Bethania	32.704830	35.565534	kima	16157	Betanyah (Israel)		matched	human	13
Ein Harod	32.560300	35.390800	kima	12370	En Harod (Israel)	Q1339887	matched	auto	11
Kfar Ata	32.800000	35.100000	kima	477	Kiryat Ata (Israel)	Q152602	matched	agent	11
Kibutz Affikim	32.679600	35.577800	kima	554	Afikim (Israel)	Q383280	matched	agent	10
Nesher	32.771111	35.039444	kima	20	Nesher (Israel)	Q135432	matched	agent	10
Yokneam	32.653900	35.100297	kima	18301	Yokne'am (Israel)	Q2890709	matched	auto	10
Ahuza	32.774142	34.991325	kima	21015	Ahuza (Haifa, Israel)	Q4159159	matched	auto	8
Ain Harod	32.560300	35.390800	kima	12370	En Harod (Israel)	Q1339887	matched	agent	8
Dejania	32.708100	35.574897	kima	892	Deganya Alef (Israel)	Q2371396	matched	human	8
Kfar Hassidim	32.743200	35.093497	kima	830	Kefar Hasidim (Israel)	Q135425	matched	agent	8
Kineret							unmatched-ambiguous	human	7
Nahariya	33.003611	35.092500	kima	39	Nahariyya (Israel)	Q167749	matched	auto	7
Neveh Shaanan	32.790278	35.015833	kima	21497	Neve Sha'anan (Haifa, Israel)	Q2919842	matched	agent	7
Benjamina	32.522222	34.945000	kima	21551	Binyamina (Israel)	Q863886	matched	agent	6
Emek							unmatched-ambiguous	human	6
Haifa|Hadar Hacarmel	32.807764	34.998150	kima	21150	Hadar Hakarmel (Haifa, Israel)	Q2630079	matched	human	6
Kfar Atta	32.800000	35.100000	kima	477	Kiryat Ata (Israel)	Q152602	matched	agent	6
Kinereth							unmatched-ambiguous	human	6
Kinneret							unmatched-ambiguous	human	6
Kiryat Haroshet	32.723889	35.127222	kima	21920	Kiryat Haroshet (Israel)	Q1743479	matched	auto	6
Netanya	32.328611	34.856667	kima	24	Netanya (Israel)	Q192225	matched	agent	6
Rosh Pina	32.969086	35.542456	kima	14873	Rosh Pina (Israel)	Q525649	matched	auto	6
Waldheim							unmatched-no-kima-entry	agent	6
Akka	32.926111	35.083889	kima	71	Acre (Israel)	Q126084	matched	agent	5
Bassa				21539	Bassah (Israel)		matched	human	5
Kfar Tabor	32.687139	35.420222	kima	1666	Kefar Tavor (Israel)	Q1186956	matched	auto	5
Kibutz							unmatched-junk	agent	5
Mishmar HaEmek	32.609722	35.141667	kima	214	Mishmar Ha'emek (Israel)	Q1938721	matched	auto	5
Mount Carmel							unmatched-ambiguous	human	5
Nathania	32.328611	34.856667	kima	24	Netanya (Israel)	Q192225	matched	agent	5
Nathanya	32.328611	34.856667	kima	24	Netanya (Israel)	Q192225	matched	auto	5
Tire	32.766667	34.966667	kima	756	Tirat Karmel (Israel)	Q168215	matched	human	5
Zammarin	32.570833	34.951667	kima	8254	Zikhron Ya'akov (Israel)	Q198399	matched	auto	5
Zikhron Yacov	32.570833	34.951667	kima	8254	Zikhron Ya'akov (Israel)	Q198399	matched	agent	5
Degania	32.708100	35.574897	kima	892	Deganya Alef (Israel)	Q2371396	matched	auto	4
Gan Shmuel	32.450000	34.950000	kima	904	Gan Shemu'el (Israel)	Q166857	matched	auto	4
Gedera	31.813889	34.778333	kima	341	Gedera (Israel)	Q921505	matched	agent	4
Had. Hac	32.807764	34.998150	kima	21150	Hadar Hakarmel (Haifa, Israel)	Q2630079	matched	agent	4
Is							unmatched-junk	agent	4
Kishon							unmatched-no-kima-entry	human	4
Migdal	32.839078	35.499294	kima	6904	Migdal (Israel)	Q2916182	matched	agent	4
Mt. Carmel							unmatched-ambiguous	human	4
Naharia	33.003611	35.092500	kima	39	Nahariyya (Israel)	Q167749	matched	agent	4
Rishon LeZion	31.950000	34.800000	kima	493	Rishon Letsiyon (Israel)	Q201051	matched	auto	4
Sdedera	32.450000	34.916667	kima	858	Hadera (Israel)	Q471886	matched	human	4
Tabor Street							unmatched-no-kima-entry	agent	4
Wadi el Hawareth							unmatched-ambiguous	human	4
Athlit|Atlit	32.687222	34.938333	kima	16036	Atlit (Israel)	Q757398	matched	auto	3
Beit Galim	32.833911	34.981714	kima	21063	Bat Galim (Haifa, Israel)	Q810685	matched	agent	3
Beit Gan							unmatched-no-kima-entry	human	3
Had. Hac.|Hadar Hacarmel	32.807764	34.998150	kima	21150	Hadar Hakarmel (Haifa, Israel)	Q2630079	matched	agent	3
Hedera|Hadera	32.450000	34.916667	kima	858	Hadera (Israel)	Q471886	matched	auto	3
Jenin	32.461111	35.300000	kima	79775	Jenin (West Bank)	Q374748	matched	agent	3
Kefutz Mizra	32.650700	35.287797	kima	224	Mizra (Israel)	Q2889536	matched	agent	3
Kfar Hasidim	32.743200	35.093497	kima	830	Kefar Hasidim (Israel)	Q135425	matched	agent	3
Kfar Kharoshet				21749	Kefar Haroshet (Israel)		matched	agent	3
Kibutz Affikim|Affikim	32.679600	35.577800	kima	554	Afikim (Israel)	Q383280	matched	agent	3
Kirjat Hayim	32.828333	35.067222	kima	479	Kiryat Hayyim (Haifa, Israel)	Q2655674	matched	agent	3
Kiryat Kharoshet	32.723889	35.127222	kima	21920	Kiryat Haroshet (Israel)	Q1743479	matched	agent	3
Kiryat Naim	32.828333	35.067222	kima	479	Kiryat Hayyim (Haifa, Israel)	Q2655674	matched	human	3
Meshek Yagur	32.741500	35.077197	kima	771	Yagur (Israel)	Q586687	matched	agent	3
Mitzpa	32.790556	35.509444	kima	21700	Mitspa (Israel)	Q2776808	matched	agent	3
Samakh	32.704864	35.587569	kima	16228	Tsemah (Israel)	Q2908710	matched	auto	3
Tel Yosef	32.556497	35.401000	kima	186	Tel-Yosef (Israel)	Q2917286	matched	auto	3
Tirat Carmel	32.766667	34.966667	kima	756	Tirat Karmel (Israel)	Q168215	matched	human	3
Yavne'el	32.709497	35.499400	kima	18477	Yavne'el (Israel)	Q1676894	matched	auto	3
[ambiguous_city]							unmatched-junk	agent	3
Affikin	32.679600	35.577800	kima	554	Afikim (Israel)	Q383280	matched	agent	2
Ardel Yahud|Ard al-Yahud							unmatched-no-kima-entry	agent	2
Athlit|Athlit Camp	32.687222	34.938333	kima	16036	Atlit (Israel)	Q757398	matched	auto	2
Athlit|Athlit Police station	32.687222	34.938333	kima	16036	Atlit (Israel)	Q757398	matched	auto	2
Balfuria	32.630200	35.296300	kima	20640	Balfuriyya (Israel)	Q2479614	matched	agent	2
Bat Shlomo	32.596897	35.003197	kima	587	Bat Shelomo (Israel)	Q2889218	matched	agent	2
Beisan	32.496111	35.498889	kima	613	Bet She'an (Israel)	Q152368	matched	auto	2
Benyamina|Binyamina	32.522222	34.945000	kima	21551	Binyamina (Israel)	Q863886	matched	auto	2
Bethlehem							unmatched-ambiguous	agent	2
Carmel							unmatched-ambiguous	human	2
Degania B	32.708083	35.574889	kima	893	Deganya Bet (Israel)	Q1022506	matched	agent	2
Ekron	31.854542	34.841950	kima	21515	Ekron (Israel)	Q1914736	matched	agent	2
German Colony	32.819667	34.990553	kima	21139	German Colony (Haifa, Israel)	Q2413425	matched	agent	2
Ghedera							unmatched-ambiguous	human	2
Ginjar	32.663897	35.258297	kima	929	Ginnegar (Israel)	Q2776845	matched	agent	2
Givat Ada	32.518056	35.044444	kima	18292	Giv'at Ada (Israel)	Q7189221	matched	auto	2
Givat Brenner	31.864444	34.800278	kima	751	Giv'at Brener (Israel)	Q476835	matched	auto	2
Givat Haim	32.396284	34.930593	kima	910	Giv'at Hayyim (Israel)	Q2776930	matched	agent	2
Hacarmel							unmatched-ambiguous	human	2
Had Stae	32.807764	34.998150	kima	21150	Hadar Hakarmel (Haifa, Israel)	Q2630079	matched	agent	2
Had. Stac	32.807764	34.998150	kima	21150	Hadar Hakarmel (Haifa, Israel)	Q2630079	matched	agent	2
Hadar HaCarmel (Haifa)	32.807764	34.998150	kima	21150	Hadar Hakarmel (Haifa, Israel)	Q2630079	matched	agent	2
Hadar Hacarmel / Haifa	32.807764	34.998150	kima	21150	Hadar Hakarmel (Haifa, Israel)	Q2630079	matched	agent	2
Herzl Street							unmatched-no-kima-entry	agent	2
Huleh							unmatched-ambiguous	human	2
Jaffa|Co. C.I.D. Jaffa	32.052222	34.753056	kima	629	Jaffa (Tel Aviv-Yafo, Israel)	Q180294	matched	auto	2
Kfar Tavor	32.687139	35.420222	kima	1666	Kefar Tavor (Israel)	Q1186956	matched	auto	2
Kfar Yehezkiel	32.567197	35.359000	kima	832	Kefar Yehezkel (Israel)	Q2890846	matched	agent	2
Khalisa	33.207500	35.569722	kima	485	Kiryat Shemona (Israel)	Q327413	matched	auto	2
Kibbutz Hashomer							unmatched-ambiguous	agent	2
Kibutz Affiking|Kibutz Affikim	32.679600	35.577800	kima	554	Afikim (Israel)	Q383280	matched	agent	2
Kineret|Kinneret							unmatched-ambiguous	human	2
Kiryat Gesher							unmatched-ambiguous	agent	2
Kurdaneh							unmatched-no-kima-entry	agent	2
Mishmar Haemek	32.609722	35.141667	kima	214	Mishmar Ha'emek (Israel)	Q1938721	matched	auto	2
Nablus	32.216111	35.266111	kima	310	Nablus (West Bank)	Q214178	matched	auto	2
Nachla							unmatched-ambiguous	agent	2
Ness Ziona	31.933333	34.800000	kima	15	Nes Tsiyyona (Israel)	Q168162	matched	agent	2
Neve Shaanan	32.790278	35.015833	kima	21497	Neve Sha'anan (Haifa, Israel)	Q2919842	matched	agent	2
Nur El Shams|Nur Shams	32.318711	35.058786	kima	76253	Nur Shams Camp (West Bank)	Q7069998	matched	agent	2
P. & P. Zichron Yacob	32.570833	34.951667	kima	8254	Zikhron Ya'akov (Israel)	Q198399	matched	agent	2
Rehovot	31.891389	34.807778	kima	562	Rehovot (Israel)	Q207350	matched	agent	2
Rosh Pinna	32.969086	35.542456	kima	14873	Rosh Pina (Israel)	Q525649	matched	agent	2
Sdedead	32.450000	34.916667	kima	858	Hadera (Israel)	Q471886	matched	human	2
Sh.Khunat Oadim							unmatched-no-kima-entry	agent	2
Shafa Amr	32.805556	35.169444	kima	261	Shefar'am (Israel)	Q990657	matched	agent	2
Tantoura	32.609400	34.917675	kima	21005	Tantura (Israel)	Q2100836	matched	agent	2
Tireh (Acre Sub District)	32.766667	34.966667	kima	756	Tirat Karmel (Israel)	Q168215	matched	human	2
Yajouj	32.741500	35.077197	kima	771	Yagur (Israel)	Q586687	matched	agent	2
Yajour|Yajur	32.741500	35.077197	kima	771	Yagur (Israel)	Q586687	matched	agent	2
Zichron Jacob|Zichron Yaakov	32.570833	34.951667	kima	8254	Zikhron Ya'akov (Israel)	Q198399	matched	agent	2
002.2							unmatched-junk	agent	1
Abu Khalil							unmatched-ambiguous	agent	1
Abu Shousheh							unmatched-ambiguous	agent	1
Acre S/D							unmatched-ambiguous	agent	1
Adel Yahud							unmatched-no-kima-entry	agent	1
Affula (Afula)	32.607778	35.289722	kima	18417	Afula (Israel)	Q152462	matched	agent	1
Affula|Affula Nugst	32.607778	35.289722	kima	18417	Afula (Israel)	Q152462	matched	auto	1
Affuleh|Afula	32.607778	35.289722	kima	18417	Afula (Israel)	Q152462	matched	auto	1
Afula|Affuleh Carea st	32.607778	35.289722	kima	18417	Afula (Israel)	Q152462	matched	auto	1
Afula|Afuleh	32.607778	35.289722	kima	18417	Afula (Israel)	Q152462	matched	auto	1
Ahava							unmatched-ambiguous	agent	1
Alliance Scool							unmatched-no-kima-entry	agent	1
Alya Street							unmatched-no-kima-entry	agent	1
Ashadot Yakov	32.658056	35.581944	kima	26521	Ashdot Yaakov (Israel)	Q2891543	matched	agent	1
Ata village	32.800000	35.100000	kima	477	Kiryat Ata (Israel)	Q152602	matched	agent	1
Aten Village	32.800000	35.100000	kima	477	Kiryat Ata (Israel)	Q152602	matched	agent	1
Athlit|Athlit C. Camps	32.687222	34.938333	kima	16036	Atlit (Israel)	Q757398	matched	auto	1
Athlit|Athlit J.L.Co. 2	32.687222	34.938333	kima	16036	Atlit (Israel)	Q757398	matched	auto	1
Athlit|Athlit Prison	32.687222	34.938333	kima	16036	Atlit (Israel)	Q757398	matched	auto	1
Athlit|Cl. Camp - Athlit	32.687222	34.938333	kima	16036	Atlit (Israel)	Q757398	matched	auto	1
Atlit|Athlit	32.687222	34.938333	kima	16036	Atlit (Israel)	Q757398	matched	auto	1
Atlit|Athlit C.R. Camp	32.687222	34.938333	kima	16036	Atlit (Israel)	Q757398	matched	auto	1
Atlit|Atlit. House of Ofman	32.687222	34.938333	kima	16036	Atlit (Israel)	Q757398	matched	auto	1
Atlit|Cl. Camp - Athlit	32.687222	34.938333	kima	16036	Atlit (Israel)	Q757398	matched	auto	1
Ayesdin							unmatched-junk	agent	1
Balad al-Sheikh	32.771606	35.042069	wikidata	21670	Balad al-Shaykh (Israel)	Q2776471	matched	agent	1
Banks St							unmatched-no-kima-entry	agent	1
Bar Galim	32.833911	34.981714	kima	21063	Bat Galim (Haifa, Israel)	Q810685	matched	agent	1
Bassa I.|Bassa				21539	Bassah (Israel)		matched	human	1
Bassa N.1 N.F.D				21539	Bassah (Israel)		matched	human	1
Bassa No 1|Bassa				21539	Bassah (Israel)		matched	human	1
Bassa No 2|Al-Bassa	33.083333	35.150000	kima	6885	Shelomi (Israel)	Q135421	matched	auto	1
Bat Shlomo near Zammaren|Bat Shlomo	32.596897	35.003197	kima	587	Bat Shelomo (Israel)	Q2889218	matched	agent	1
Bat Yalem	32.833911	34.981714	kima	21063	Bat Galim (Haifa, Israel)	Q810685	matched	agent	1
Bath Galim|Bath Galim K. H. Bldg	32.833911	34.981714	kima	21063	Bat Galim (Haifa, Israel)	Q810685	matched	agent	1
Bathelim K.butz|Bathelim							unmatched-ambiguous	agent	1
Beisan|Dept. of Police, Beisan	32.496111	35.498889	kima	613	Bet She'an (Israel)	Q152368	matched	auto	1
Beit Alfa	32.516111	35.430278	kima	563	Bet Alfa (Israel)	Q2900562	matched	auto	1
Beit Alfa / Beisan	32.516111	35.430278	kima	563	Bet Alfa (Israel)	Q2900562	matched	agent	1
Beit Alpha	32.516111	35.430278	kima	563	Bet Alfa (Israel)	Q2900562	matched	agent	1
Beit Anya	32.704830	35.565534	kima	16157	Betanyah (Israel)		matched	human	1
Beit Dagan	32.002689	34.829247	kima	9783	Bet Dagan (Israel)	Q2920214	matched	auto	1
Beit Jan	32.965278	35.379444	kima	90226	Bait Jan (Israel)	Q814900	matched	human	1
Beit Jann	32.965278	35.379444	kima	90226	Bait Jan (Israel)	Q814900	matched	human	1
Beit Olim							unmatched-no-kima-entry	agent	1
Beit tatikva							unmatched-no-kima-entry	agent	1
Beit-Zerah	32.688897	35.573397	kima	599	Bet Zera (Israel)	Q2573500	matched	agent	1
Ben Yehuda							unmatched-ambiguous	agent	1
Ben Yehuda St							unmatched-no-kima-entry	agent	1
Ben Yehuda Street							unmatched-no-kima-entry	agent	1
Beni Brak	32.080740	34.833800	kima	594	Bene Brak (Israel)	Q152467	matched	agent	1
Benjamin							unmatched-ambiguous	agent	1
Benjamina|Benyamina	32.522222	34.945000	kima	21551	Binyamina (Israel)	Q863886	matched	agent	1
Benjaminia	32.522222	34.945000	kima	21551	Binyamina (Israel)	Q863886	matched	agent	1
Benyamina. & Beit-Sacaross	32.522222	34.945000	kima	21551	Binyamina (Israel)	Q863886	matched	agent	1
Bersan|Dept. of Police, Bersan	32.496111	35.498889	kima	613	Bet She'an (Israel)	Q152368	matched	agent	1
Bet Alfa	32.516111	35.430278	kima	563	Bet Alfa (Israel)	Q2900562	matched	agent	1
Bet Alpha Huleh S/D.|Bet Alpha	32.516111	35.430278	kima	563	Bet Alfa (Israel)	Q2900562	matched	agent	1
Bet Gan							unmatched-no-kima-entry	human	1
Bet Olim							unmatched-no-kima-entry	agent	1
Beth Shearim	32.696197	35.177300	kima	616	Bet She'arim (Israel)	Q1269256	matched	agent	1
Biniamina|Binyamina	32.522222	34.945000	kima	21551	Binyamina (Israel)	Q863886	matched	auto	1
Binjamina|Binyamina	32.522222	34.945000	kima	21551	Binyamina (Israel)	Q863886	matched	auto	1
Bithania|Bethania	32.704830	35.565534	kima	16157	Betanyah (Israel)		matched	human	1
Blys							unmatched-junk	agent	1
Brene Shaanan	32.790278	35.015833	kima	21497	Neve Sha'anan (Haifa, Israel)	Q2919842	matched	agent	1
Buriq							unmatched-ambiguous	agent	1
Carmel Ahuza	32.774142	34.991325	kima	21015	Ahuza (Haifa, Israel)	Q4159159	matched	agent	1
Carmel Station							unmatched-ambiguous	agent	1
Carmiel	32.900000	35.283333	kima	162	Karmi'el (Israel)	Q152418	matched	auto	1
Churipat Hayim	32.828333	35.067222	kima	479	Kiryat Hayyim (Haifa, Israel)	Q2655674	matched	agent	1
Coastal Watch Bath-Jalim	32.833911	34.981714	kima	21063	Bat Galim (Haifa, Israel)	Q810685	matched	agent	1
Daganya	32.708100	35.574897	kima	892	Deganya Alef (Israel)	Q2371396	matched	human	1
Dantel Yahud							unmatched-no-kima-entry	agent	1
Dar Awwaj							unmatched-ambiguous	agent	1
Defna	33.230000	35.638611	kima	974	Dafna (Israel)	Q545232	matched	agent	1
Degania|Tiberias S/D	32.708100	35.574897	kima	892	Deganya Alef (Israel)	Q2371396	matched	auto	1
Deganya	32.708100	35.574897	kima	892	Deganya Alef (Israel)	Q2371396	matched	auto	1
Dejani	32.708100	35.574897	kima	892	Deganya Alef (Israel)	Q2371396	matched	human	1
Doris St							unmatched-no-kima-entry	agent	1
Drachla Tabor St							unmatched-no-kima-entry	agent	1
Ein Haron	32.560300	35.390800	kima	12370	En Harod (Israel)	Q1339887	matched	agent	1
Ein Hashofet	32.595900	35.101100	kima	91	En Hashofet (Israel)	Q2890213	matched	auto	1
Ein Shemer	32.461300	35.006700	kima	69	En Shemer (Israel)	Q166865	matched	agent	1
Emek Hayarden							unmatched-ambiguous	human	1
Emek R							unmatched-ambiguous	human	1
Emek R.|Emek							unmatched-ambiguous	human	1
Emek Zevouloun							unmatched-ambiguous	human	1
En Dor	32.656197	35.417097	kima	19136	En Dor (Israel)	Q2916646	matched	auto	1
Fot Luq							unmatched-junk	agent	1
Galil							unmatched-ambiguous	human	1
Geda							unmatched-junk	agent	1
Gisr El Majami							unmatched-ambiguous	agent	1
Giv'at Ada	32.518056	35.044444	kima	18292	Giv'at Ada (Israel)	Q7189221	matched	auto	1
Givat Adam	32.518056	35.044444	kima	18292	Giv'at Ada (Israel)	Q7189221	matched	agent	1
Hadar	32.152437	34.887839	kima	27009	Kefar Hadar (Hod Hasharon, Israel)	Q2630079	matched	auto	1
Hadar Hacarmel (Haifa)	32.807764	34.998150	kima	21150	Hadar Hakarmel (Haifa, Israel)	Q2630079	matched	agent	1
Hadar Hacarmel Haifa	32.807764	34.998150	kima	21150	Hadar Hakarmel (Haifa, Israel)	Q2630079	matched	agent	1
Hadar Hacarmel|Had. Hac	32.807764	34.998150	kima	21150	Hadar Hakarmel (Haifa, Israel)	Q2630079	matched	agent	1
Hadar [Haifa]	32.807764	34.998150	kima	21150	Hadar Hakarmel (Haifa, Israel)	Q2630079	matched	agent	1
Haddar Carmel	32.807764	34.998150	kima	21150	Hadar Hakarmel (Haifa, Israel)	Q2630079	matched	agent	1
Hadeira (Hadera)	32.450000	34.916667	kima	858	Hadera (Israel)	Q471886	matched	agent	1
Hadera|Hadera P. & P	32.450000	34.916667	kima	858	Hadera (Israel)	Q471886	matched	agent	1
Hadera|Hedera	32.450000	34.916667	kima	858	Hadera (Israel)	Q471886	matched	auto	1
Haifa (Nesher)	32.771111	35.039444	kima	20	Nesher (Israel)	Q135432	matched	agent	1
Haifa / Mount Carmel							unmatched-ambiguous	human	1
Haifa / Tel Amal							unmatched-ambiguous	agent	1
Haifa S/P							unmatched-ambiguous	agent	1
Haifa [Hadar HaCarmel]	32.807764	34.998150	kima	21150	Hadar Hakarmel (Haifa, Israel)	Q2630079	matched	agent	1
Haifa s/d							unmatched-ambiguous	agent	1
Haifa|Ardel Jahud, Haifa							unmatched-no-kima-entry	human	1
Haifa|Bassa							unmatched-ambiguous	human	1
Haifa|Bourj Billet							unmatched-ambiguous	agent	1
Haifa|Churches Ort							unmatched-ambiguous	agent	1
Haifa|Dar el Kadkany							unmatched-ambiguous	agent	1
Haifa|Had. Stac	32.807764	34.998150	kima	21150	Hadar Hakarmel (Haifa, Israel)	Q2630079	matched	human	1
Haifa|Hadar Hacarmel Haifa	32.807764	34.998150	kima	21150	Hadar Hakarmel (Haifa, Israel)	Q2630079	matched	human	1
Haifa|Hedera							unmatched-ambiguous	agent	1
Haifa|Mt. Carmel							unmatched-ambiguous	human	1
Haifa|Nesher	32.771111	35.039444	kima	20	Nesher (Israel)	Q135432	matched	human	1
Haifa|Tireh	32.766667	34.966667	kima	756	Tirat Karmel (Israel)	Q168215	matched	human	1
Haim							unmatched-junk	agent	1
Halershert							unmatched-junk	agent	1
Halisa							unmatched-no-kima-entry	agent	1
Hallesa							unmatched-no-kima-entry	agent	1
Hallisa Qrt							unmatched-no-kima-entry	agent	1
Hallissa							unmatched-no-kima-entry	agent	1
Hammeh							unmatched-ambiguous	human	1
Hanita	33.087600	35.173497	kima	799	Hanita (Israel)	Q2890402	matched	agent	1
Hart el Yahud							unmatched-no-kima-entry	agent	1
Hartel Yahud							unmatched-no-kima-entry	agent	1
Hazorea	32.644722	35.120833	kima	986	Hazore'a (Israel)	Q1000893	matched	auto	1
Heazelia	32.155556	34.842222	kima	700	Herzeliyya (Israel)	Q152491	matched	agent	1
Hittin	32.807580	35.453820	kima	21331	Hittin (Israel)	Q1246960	matched	auto	1
Irbed							unmatched-ambiguous	agent	1
Jaffa|Carmel Ahu K.bert	32.052222	34.753056	kima	629	Jaffa (Tel Aviv-Yafo, Israel)	Q180294	matched	auto	1
Jarit Nahalal	32.690000	35.196667	kima	38	Nahalal (Israel)	Q1724338	matched	agent	1
Joknan	32.653900	35.100297	kima	18301	Yokne'am (Israel)	Q2890709	matched	agent	1
Jokneam	32.653900	35.100297	kima	18301	Yokne'am (Israel)	Q2890709	matched	auto	1
Kafaratta	32.800000	35.100000	kima	477	Kiryat Ata (Israel)	Q152602	matched	agent	1
Kafata	32.800000	35.100000	kima	477	Kiryat Ata (Israel)	Q152602	matched	agent	1
Kafr Branch							unmatched-ambiguous	agent	1
Kafr Hittim	32.800278	35.502500	kima	21908	Kefar Hittim (Israel)	Q2916642	matched	agent	1
Kafr Yasin	32.954722	35.165278	kima	88951	Kafr Yasif (Israel)	Q2632879	matched	agent	1
Kefa Tabor	32.687139	35.420222	kima	1666	Kefar Tavor (Israel)	Q1186956	matched	agent	1
Kefar Ata	32.800000	35.100000	kima	477	Kiryat Ata (Israel)	Q152602	matched	auto	1
Kefar Bireim							unmatched-ambiguous	agent	1
Kenereth							unmatched-ambiguous	human	1
Kfar Baroukh	32.646500	35.189500	kima	815	Kefar Barukh (Israel)	Q2777518	matched	agent	1
Kfar Baruch	32.646500	35.189500	kima	815	Kefar Barukh (Israel)	Q2777518	matched	auto	1
Kfar Brandice	32.423878	34.922147	kima	21588	Kefar Brandeis (Israel)	Q2903275	matched	agent	1
Kfar Hahoresh	32.702100	35.274297	kima	820	Kefar Hahoresh (Israel)	Q2777455	matched	auto	1
Kfar Hasharon							unmatched-ambiguous	agent	1
Kfar Hasidim / Kfar Hanoar	32.743200	35.093497	kima	830	Kefar Hasidim (Israel)	Q135425	matched	agent	1
Kfar Horesh	32.702100	35.274297	kima	820	Kefar Hahoresh (Israel)	Q2777455	matched	agent	1
Kfar Jeladim	32.622220	35.325000	kima	21910	Kefar Yeladim (Israel)		matched	agent	1
Kfar Jeshuah	32.683597	35.153900	kima	19294	Kefar Yehoshu'a (Israel)	Q2889616	matched	agent	1
Kfar Joshua	32.683597	35.153900	kima	19294	Kefar Yehoshu'a (Israel)	Q2889616	matched	agent	1
Kfar Kasidim	32.743200	35.093497	kima	830	Kefar Hasidim (Israel)	Q135425	matched	agent	1
Kfar Khassidim	32.743200	35.093497	kima	830	Kefar Hasidim (Israel)	Q135425	matched	agent	1
Kfar Nachanesh	32.702100	35.274297	kima	820	Kefar Hahoresh (Israel)	Q2777455	matched	agent	1
Kfar Nacharish / Nazareth	32.702100	35.274297	kima	820	Kefar Hahoresh (Israel)	Q2777455	matched	agent	1
Kfar Saba	32.185783	34.907683	kima	839	Kefar Sava (Israel)	Q152436	matched	auto	1
Kfar Secta							unmatched-ambiguous	agent	1
Kfar Yadidia	32.345700	34.899500	kima	831	Kefar Yedidya (Israel)	Q2920134	matched	agent	1
Kfar Yehoshoua	32.683597	35.153900	kima	19294	Kefar Yehoshu'a (Israel)	Q2889616	matched	agent	1
Kfar Yehoshua	32.683597	35.153900	kima	19294	Kefar Yehoshu'a (Israel)	Q2889616	matched	auto	1
