city,name1,name2,n_records,_match_status,_match_method,_grade,_confidence,_sound_match,_flags,_kima_id,_kima_name_rom,_kima_name_heb,_distance_km,_candidates
Haifa,Haifa,,1999,name_ambiguous,name_ambiguous,C_review,0.5,,ambiguous_exact_name,,,,,791|15834
Athlit,Athlit,,1021,name_exact,name_exact,A_autolink,0.95,True,,16036,Atlit (Israel),עתלית (ישראל),,16036
Hadera,Hadera,,267,fuzzy,fuzzy,C_review,1.0,,,,,,,858|27009|13633|83919|13804
Tiberias,Tiberias,,142,fuzzy,fuzzy,C_review,1.0,,,,,,,807|7437|17277|5277
Acre,Acre,,90,name_ambiguous,name_ambiguous,C_review,0.5,,ambiguous_exact_name,,,,,6678|9635
Hadar Hacarmel,Hadar Hacarmel,,88,fuzzy,fuzzy,C_review,0.667,,,,,,,21150
Kiryat Haim,Kiryat Haim,,82,fuzzy,fuzzy,C_review,0.62,,,,,,,476|480
Afula,Afula,,53,name_exact,name_exact,A_autolink,0.95,True,,18417,Afula (Israel),עפולה (ישראל),,18417
Jaffa,Jaffa,,44,name_exact,name_exact,A_autolink,0.95,True,,629,"Jaffa (Tel Aviv-Yafo, Israel)","יפו (תל אביב-יפו, ישראל)",,629
Zichron Yaakov,Zichron Yaakov,,41,fuzzy,fuzzy,C_review,0.6,,,,,,,8254
Kiryat Bialik,Kiryat Bialik,,41,fuzzy,fuzzy,C_review,1.0,,,,,,,866|82858
Yajour,Yajour,,35,no_match,,C_review,0.0,,,,,,,
Affikim,Affikim,,31,fuzzy,fuzzy,C_review,0.62,,,,,,,554
Tel Aviv,Tel Aviv,,30,name_exact,name_exact,A_autolink,0.95,True,,15820,Tel Aviv (Israel : District),תל אביב (ישראל : מחוז),,15820
Karkur,Karkur,,28,name_exact,name_exact,A_autolink,0.95,True,,19149,Karkur (Israel),כרכור (ישראל),,19149
Bat Galim,Bat Galim,,27,name_exact,name_exact,A_autolink,0.95,True,,21063,"Bat Galim (Haifa, Israel)","בת גלים (חיפה, ישראל)",,21063
Safad,Safad,,27,name_exact,name_exact,A_autolink,0.95,True,,377,Tsefat (Israel),צפת (ישראל),,377
Benyamina,Benyamina,,27,fuzzy,fuzzy,C_review,1.0,,,,,,,21551
Tel Amal,Tel Amal,,27,no_match,,C_review,0.0,,,,,,,
