city,name1,name2,n_records,_match_status,_match_method,_grade,_confidence,_sound_match,_flags,_kima_id,_kima_name_rom,_kima_name_heb,_distance_km,_candidates
Kafr Yasif,Kafr Yasif,,49,fuzzy,fuzzy,C_review,1.0,,,,,,,88951|24453
Igzim,Igzim,,46,no_match,,C_review,0.0,,,,,,,
Julis,Julis,,36,fuzzy,fuzzy,C_review,1.0,,,,,,,82237|4096|7231|17850|73656
Kantara,Kantara,,34,fuzzy,fuzzy,C_review,1.0,,,,,,,22537|85270|2734
Arrabeh,Arrabeh,,31,fuzzy,fuzzy,C_review,0.8,,,,,,,21307|71763
Jaba',Jaba',,30,fuzzy,fuzzy,C_review,1.0,,,,,,,72404|70943|8187
Hawassa,Hawassa,,28,no_match,,C_review,0.0,,,,,,,
Abu Snan,Abu Snan,,23,fuzzy,fuzzy,C_review,1.0,,,,,,,80956
Jish,Jish,,23,fuzzy,fuzzy,C_review,1.0,,,,,,,88554
Umm al-Fahm,Umm al-Fahm,,22,fuzzy,fuzzy,C_review,1.0,,,,,,,743|22365
Amman,Amman,,19,fuzzy,fuzzy,C_review,1.0,,,,,,,74|74635|22019|23405|17784
Trans-Jordan,Trans-Jordan,,15,no_match,,C_review,0.0,,,,,,,
Kabri,Kabri,,15,fuzzy,fuzzy,C_review,1.0,,,,,,,869|70938|74549|17211|5190
Um el Fahm,Um el Fahm,,14,fuzzy,fuzzy,C_review,0.75,,,,,,,743
Isfiya,Isfiya,,14,no_match,,C_review,0.0,,,,,,,
Birweh,Birweh,,14,no_match,,C_review,0.0,,,,,,,
Damun,Damun,,13,fuzzy,fuzzy,C_review,1.0,,,,,,,921|17311|18528
Shaab,Shaab,,13,fuzzy,fuzzy,C_review,1.0,,,,,,,8214|22875|22958
Damoun,Damoun,,13,fuzzy,fuzzy,C_review,1.0,,,,,,,921|17311|18528|14340
Sha'ab,Sha'ab,,13,fuzzy,fuzzy,C_review,1.0,,,,,,,8214|22875|22958
Yamoun,Yamoun,,12,no_match,,C_review,0.0,,,,,,,
Ya'bad,Ya'bad,,12,fuzzy,fuzzy,C_review,1.0,,,,,,,75339
Ramel,Ramel,,12,fuzzy,fuzzy,C_review,1.0,,,,,,,2003|456|2010
Hallisa,Hallisa,,11,fuzzy,fuzzy,C_review,1.0,,,,,,,15946|8822|89590|21610|15505
Daliet el Carmel,Daliet el Carmel,,11,no_match,,C_review,0.0,,,,,,,
Tanturah,Tanturah,,10,fuzzy,fuzzy,C_review,0.833,,,,,,,21005|22251
Sileh,Sileh,,10,fuzzy,fuzzy,C_review,1.0,,,,,,,2137|72167|7919|72783
Sarafand,Sarafand,,10,fuzzy,fuzzy,C_review,1.0,,,,,,,73393
Jalameh,Jalameh,,10,fuzzy,fuzzy,C_review,0.8,,,,,,,3912
Jenin|P.M.F. Jenin,Jenin,P.M.F. Jenin,10,fuzzy,fuzzy,C_review,1.0,,,,,,,79775|10532|10559|71563|7069
Subbarin,Subbarin,,9,no_match,,C_review,0.0,,,,,,,
Eggim,Eggim,,9,no_match,,C_review,0.0,,,,,,,
Zeita,Zeita,,9,fuzzy,fuzzy,C_review,1.0,,,,,,,88094|72452
Im El Fahem,Im El Fahem,,9,fuzzy,fuzzy,C_review,0.75,,,,,,,743
Isfia,Isfia,,8,no_match,,C_review,0.0,,,,,,,
Tantourah,Tantourah,,8,fuzzy,fuzzy,C_review,0.667,,,,,,,22251|21005
Rummaneh,Rummaneh,,8,fuzzy,fuzzy,C_review,1.0,,,,,,,75571|76181|75989|22064
Ard el Yahoud,Ard el Yahoud,,8,no_match,,C_review,0.0,,,,,,,
Sabbarine,Sabbarine,,8,no_match,,C_review,0.0,,,,,,,
Sindianeh,Sindianeh,,8,no_match,,C_review,0.0,,,,,,,
Saffourieh,Saffourieh,,8,fuzzy,fuzzy,C_review,1.0,,,,,,,3544|406|85997
Stanton Street,Stanton Street,,8,fuzzy,fuzzy,C_review,0.769,,,,,,,20392
Bireh,Bireh,,7,fuzzy,fuzzy,C_review,1.0,,,,,,,351|20433
Um el Fahem,Um el Fahem,,7,fuzzy,fuzzy,C_review,0.75,,,,,,,743
Lajjoun,Lajjoun,,7,fuzzy,fuzzy,C_review,1.0,,,,,,,16127
Sabbarin,Sabbarin,,7,no_match,,C_review,0.0,,,,,,,
Wadi Rushmia,Wadi Rushmia,,7,no_match,,C_review,0.0,,,,,,,
Churches Quarter,Churches Quarter,,7,no_match,,C_review,0.0,,,,,,,
Ya'abad,Ya'abad,,7,fuzzy,fuzzy,C_review,0.62,,,,,,,75339
Balad el Sheikh|Balad al-Sheikh,Balad el Sheikh,Balad al-Sheikh,6,fuzzy,fuzzy,C_review,1.0,,,,,,,21670|26853
Eggem,Eggem,,6,no_match,,C_review,0.0,,,,,,,
Reineh,Reineh,,6,fuzzy,fuzzy,C_review,1.0,,,,,,,26609
Damascus,Damascus,,6,name_ambiguous,name_ambiguous,C_review,0.5,,ambiguous_exact_name,,,,,939|15118
Kabatich,Kabatich,,6,no_match,,C_review,0.0,,,,,,,
Sajad,Sajad,,6,fuzzy,fuzzy,C_review,1.0,,,,,,,88820
Kabatieh,Kabatieh,,6,fuzzy,fuzzy,C_review,0.714,,,,,,,19845|74014
Sasa,Sasa,,6,fuzzy,fuzzy,C_review,1.0,,,,,,,27
Yabad,Yabad,,5,fuzzy,fuzzy,C_review,1.0,,,,,,,75339
Sha'b,Sha'b,,5,fuzzy,fuzzy,C_review,1.0,,,,,,,8214|22958|22875
Kafr Qari',Kafr Qari',,5,fuzzy,fuzzy,C_review,1.0,,,,,,,20116
Iggim,Iggim,,5,no_match,,C_review,0.0,,,,,,,
Jisr el Majami,Jisr el Majami,,5,no_match,,C_review,0.0,,,,,,,
Saffurieh,Saffurieh,,5,fuzzy,fuzzy,C_review,1.0,,,,,,,3544|406|85997
Shweikeh,Shweikeh,,5,fuzzy,fuzzy,C_review,1.0,,,,,,,73073
Bineh,Bineh,,5,no_match,,C_review,0.0,,,,,,,
Kufr Kanna,Kufr Kanna,,5,fuzzy,fuzzy,C_review,1.0,,,,,,,20496
Hartel Kanayis,Hartel Kanayis,,5,no_match,,C_review,0.0,,,,,,,
Halissa,Halissa,,5,fuzzy,fuzzy,C_review,1.0,,,,,,,11825|485|139
Souk Shwam,Souk Shwam,,5,no_match,,C_review,0.0,,,,,,,
