city,name1,name2,n_records,_match_status,_match_method,_grade,_confidence,_sound_match,_flags,_kima_id,_kima_name_rom,_kima_name_heb,_distance_km,_candidates
Haifa,Haifa,,1999,name_ambiguous,name_ambiguous,C_review,0.5,,ambiguous_exact_name,,,,,791|15834
Hadera,Hadera,,267,fuzzy,fuzzy,C_review,1.0,,,,,,,858|27009|13633|83919|13804
Tiberias,Tiberias,,142,fuzzy,fuzzy,C_review,1.0,,,,,,,807|7437|17277|5277
Acre,Acre,,90,name_ambiguous,name_ambiguous,C_review,0.5,,ambiguous_exact_name,,,,,6678|9635
Hadar Hacarmel,Hadar Hacarmel,,88,fuzzy,fuzzy,C_review,0.667,,,,,,,21150
Kiryat Haim,Kiryat Haim,,82,fuzzy,fuzzy,C_review,0.62,,,,,,,476|480
Zichron Yaakov,Zichron Yaakov,,41,fuzzy,fuzzy,C_review,0.6,,,,,,,8254
Kiryat Bialik,Kiryat Bialik,,41,fuzzy,fuzzy,C_review,1.0,,,,,,,866|82858
Yajour,Yajour,,35,no_match,,C_review,0.0,,,,,,,
Affikim,Affikim,,31,fuzzy,fuzzy,C_review,0.62,,,,,,,554
Benyamina,Benyamina,,27,fuzzy,fuzzy,C_review,1.0,,,,,,,21551
Tel Amal,Tel Amal,,27,no_match,,C_review,0.0,,,,,,,
Pardess Hanna,Pardess Hanna,,25,no_match,,C_review,0.0,,,,,,,
Kiryat Motzkin,Kiryat Motzkin,,25,fuzzy,fuzzy,C_review,1.0,,,,,,,481|77346
Nahalal,Nahalal,,24,fuzzy,fuzzy,C_review,1.0,,,,,,,38|72113|22919|23061
Jerusalem,Jerusalem,,22,name_ambiguous,name_ambiguous,C_review,0.5,,ambiguous_exact_name,,,,,13560|21725|23674
Kfar Vitkin,Kfar Vitkin,,20,fuzzy,fuzzy,C_review,1.0,,,,,,,825|84431
Tulkarem,Tulkarem,,16,fuzzy,fuzzy,C_review,1.0,,,,,,,73472|81810
Zichron Jacob,Zichron Jacob,,15,fuzzy,fuzzy,C_review,0.62,,,,,,,8254
Ardel Yahud,Ardel Yahud,,14,no_match,,C_review,0.0,,,,,,,
Kfar Ata,Kfar Ata,,11,fuzzy,fuzzy,C_review,1.0,,,,,,,477|78926|81712
Nesher,Nesher,,10,fuzzy,fuzzy,C_review,1.0,,,,,,,20|87833|885
Kibutz Affikim,Kibutz Affikim,,10,fuzzy,fuzzy,C_review,0.6,,,,,,,554
Ain Harod,Ain Harod,,8,fuzzy,fuzzy,C_review,1.0,,,,,,,65|66|12370
Kfar Hassidim,Kfar Hassidim,,8,fuzzy,fuzzy,C_review,1.0,,,,,,,830|23042|24291
Dejania,Dejania,,8,no_match,,C_review,0.0,,,,,,,
Neveh Shaanan,Neveh Shaanan,,7,fuzzy,fuzzy,C_review,1.0,,,,,,,22339|21469|21497
Kineret,Kineret,,7,fuzzy,fuzzy,C_review,1.0,,,,,,,21918|22403|2268|5152|1669
Emek,Emek,,6,no_match,,C_review,0.0,,,,,,,
Netanya,Netanya,,6,fuzzy,fuzzy,C_review,1.0,,,,,,,24|16157
Benjamina,Benjamina,,6,no_match,,C_review,0.0,,,,,,,
Kinereth,Kinereth,,6,fuzzy,fuzzy,C_review,1.0,,,,,,,22403|21918|5152|1669|1670
Haifa|Hadar Hacarmel,Haifa,Hadar Hacarmel,6,name_ambiguous,name_ambiguous,C_review,0.5,,ambiguous_exact_name,,,,,791|15834
Kinneret,Kinneret,,6,name_ambiguous,name_ambiguous,C_review,0.5,,ambiguous_exact_name,,,,,1669|1670|2268|21917|25484
Kfar Atta,Kfar Atta,,6,fuzzy,fuzzy,C_review,0.667,,,,,,,78926|81712|477
Akka,Akka,,5,name_ambiguous,name_ambiguous,C_review,0.5,,ambiguous_exact_name,,,,,71|23975
Kibutz,Kibutz,,5,no_match,,C_review,0.0,,,,,,,
Nathania,Nathania,,5,fuzzy,fuzzy,C_review,1.0,,,,,,,24
Zikhron Yacov,Zikhron Yacov,,5,fuzzy,fuzzy,C_review,1.0,,,,,,,8254|71774
Bassa,Bassa,,5,fuzzy,fuzzy,C_review,1.0,,,,,,,4981|72377|86754|21539|6149
Had. Hac,Had. Hac,,4,no_match,,C_review,0.0,,,,,,,
Migdal,Migdal,,4,name_ambiguous,name_ambiguous,C_review,0.5,,ambiguous_exact_name,,,,,6904|21101
Mt. Carmel,Mt. Carmel,,4,no_match,,C_review,0.0,,,,,,,
Wadi el Hawareth,Wadi el Hawareth,,4,no_match,,C_review,0.0,,,,,,,
Sdedera,Sdedera,,4,no_match,,C_review,0.0,,,,,,,
Gedera,Gedera,,4,fuzzy,fuzzy,C_review,1.0,,,,,,,341|9525|17591|72523|858
Is,Is,,4,no_match,,C_review,0.0,,,,,,,
Tabor Street,Tabor Street,,4,fuzzy,fuzzy,C_review,0.62,,,,,,,1117
Kishon,Kishon,,4,fuzzy,fuzzy,C_review,1.0,,,,,,,14899|399|23060|984
Naharia,Naharia,,4,fuzzy,fuzzy,C_review,1.0,,,,,,,39|16865|70548|37
Beit Galim,Beit Galim,,3,fuzzy,fuzzy,C_review,1.0,,,,,,,21063
Mitzpa,Mitzpa,,3,no_match,,C_review,0.0,,,,,,,
Had. Hac.|Hadar Hacarmel,Had. Hac.,Hadar Hacarmel,3,fuzzy,fuzzy,C_review,0.667,,,,,,,21150
Beit Gan,Beit Gan,,3,fuzzy,fuzzy,C_review,0.62,,,,,,,9783
Kfar Hasidim,Kfar Hasidim,,3,fuzzy,fuzzy,C_review,1.0,,,,,,,830|23042|24291
Jenin,Jenin,,3,fuzzy,fuzzy,C_review,1.0,,,,,,,79775|10532|10559|71563|7069
Meshek Yagur,Meshek Yagur,,3,no_match,,C_review,0.0,,,,,,,
Kirjat Hayim,Kirjat Hayim,,3,fuzzy,fuzzy,C_review,0.62,,,,,,,479
[ambiguous_city],[ambiguous_city],,3,no_match,,C_review,0.0,,,,,,,
Kefutz Mizra,Kefutz Mizra,,3,no_match,,C_review,0.0,,,,,,,
Kiryat Kharoshet,Kiryat Kharoshet,,3,fuzzy,fuzzy,C_review,0.688,,,,,,,21920
Kibutz Affikim|Affikim,Kibutz Affikim,Affikim,3,fuzzy,fuzzy,C_review,0.62,,,,,,,554
Kfar Kharoshet,Kfar Kharoshet,,3,fuzzy,fuzzy,C_review,0.62,,,,,,,21749
Kiryat Naim,Kiryat Naim,,3,no_match,,C_review,0.0,,,,,,,
Sh.Khunat Oadim,Sh.Khunat Oadim,,2,no_match,,C_review,0.0,,,,,,,
Ginjar,Ginjar,,2,fuzzy,fuzzy,C_review,0.6,,,,,,,14337|929
Kineret|Kinneret,Kineret,Kinneret,2,name_ambiguous,name_ambiguous,C_review,0.5,,ambiguous_exact_name,,,,,1669|1670|2268|21917|25484
Had. Stac,Had. Stac,,2,no_match,,C_review,0.0,,,,,,,
Sdedead,Sdedead,,2,no_match,,C_review,0.0,,,,,,,
Ghedera,Ghedera,,2,fuzzy,fuzzy,C_review,0.8,,,,,,,858|341
Yajouj,Yajouj,,2,no_match,,C_review,0.0,,,,,,,
Kfar Yehezkiel,Kfar Yehezkiel,,2,fuzzy,fuzzy,C_review,1.0,,,,,,,832|78311
Kibbutz Hashomer,Kibbutz Hashomer,,2,no_match,,C_review,0.0,,,,,,,
Balfuria,Balfuria,,2,fuzzy,fuzzy,C_review,1.0,,,,,,,20640
Ness Ziona,Ness Ziona,,2,fuzzy,fuzzy,C_review,0.667,,,,,,,15
Degania B,Degania B,,2,fuzzy,fuzzy,C_review,0.714,,,,,,,892|893
Rosh Pinna,Rosh Pinna,,2,fuzzy,fuzzy,C_review,0.889,,,,,,,14873|375|4509|84577
Neve Shaanan,Neve Shaanan,,2,name_ambiguous,name_ambiguous,C_review,0.5,,ambiguous_exact_name,,,,,21469|21497|22339
Nachla,Nachla,,2,no_match,,C_review,0.0,,,,,,,
Hacarmel,Hacarmel,,2,fuzzy,fuzzy,C_review,0.667,,,,,,,88400|74435|89219|72971|24545
Ardel Yahud|Ard al-Yahud,Ardel Yahud,Ard al-Yahud,2,no_match,,C_review,0.0,,,,,,,
Rehovot,Rehovot,,2,name_ambiguous,name_ambiguous,C_review,0.5,,ambiguous_exact_name,,,,,562|3497
Shafa Amr,Shafa Amr,,2,fuzzy,fuzzy,C_review,0.62,,,,,,,261
Had Stae,Had Stae,,2,no_match,,C_review,0.0,,,,,,,
German Colony,German Colony,,2,name_ambiguous,name_ambiguous,C_review,0.5,,ambiguous_exact_name,,,,,629|21139|21140
Hadar HaCarmel (Haifa),Hadar HaCarmel (Haifa),,2,fuzzy,fuzzy,C_review,0.62,,,,,,,21150
Herzl Street,Herzl Street,,2,no_match,,C_review,0.0,,,,,,,
Bethlehem,Bethlehem,,2,name_ambiguous,name_ambiguous,C_review,0.5,,ambiguous_exact_name,,,,,556|10969|15436
P. & P. Zichron Yacob,P. & P. Zichron Yacob,,2,no_match,,C_review,0.0,,,,,,,
Bat Shlomo,Bat Shlomo,,2,fuzzy,fuzzy,C_review,1.0,,,,,,,20962|587
Hadar Hacarmel / Haifa,Hadar Hacarmel / Haifa,,2,fuzzy,fuzzy,C_review,0.62,,,,,,,21150
Yajour|Yajur,Yajour,Yajur,2,no_match,,C_review,0.0,,,,,,,
Kiryat Gesher,Kiryat Gesher,,2,no_match,,C_review,0.0,,,,,,,
Kurdaneh,Kurdaneh,,2,no_match,,C_review,0.0,,,,,,,
Givat Haim,Givat Haim,,2,fuzzy,fuzzy,C_review,0.62,,,,,,,77975
Zichron Jacob|Zichron Yaakov,Zichron Jacob,Zichron Yaakov,2,fuzzy,fuzzy,C_review,0.62,,,,,,,8254
Affikin,Affikin,,2,no_match,,C_review,0.0,,,,,,,
Kibutz Affiking|Kibutz Affikim,Kibutz Affiking,Kibutz Affikim,2,fuzzy,fuzzy,C_review,0.6,,,,,,,554
Tantoura,Tantoura,,2,fuzzy,fuzzy,C_review,1.0,,,,,,,22251|21005
Nur El Shams|Nur Shams,Nur El Shams,Nur Shams,2,fuzzy,fuzzy,C_review,0.667,,,,,,,76253
Ekron,Ekron,,2,name_ambiguous,name_ambiguous,C_review,0.5,,ambiguous_exact_name,,,,,5592|21515
Shenglia,Shenglia,,1,no_match,,C_review,0.0,,,,,,,
Dejani,Dejani,,1,no_match,,C_review,0.0,,,,,,,
