city	n_records	grade	method	confidence	kima_id	kima_name_rom	kima_lat	kima_lon	geo_audit	religion_mix	proposed_decision	your_decision	your_kima_id	note	candidates
Nahf	3	A_autolink	name_exact	0.95	26311	Naḥaf (Israel)	32.93194	35.31750	in-region	Muslim 3	matched				26311
Afula|Affuleh	3	A_autolink	name_exact	0.95	18417	Afula (Israel)	32.60778	35.28972	in-region	Christian 2, Muslim 1	matched				18417
Yanuh	3	A_autolink	name_exact	0.95	18370	Yanoah (Israel)			entry-has-no-coordinate	Not recorded 2, Muslim 1					18370
Zeitoun	3	A_autolink	name_exact	0.95	15520	Zeytun (Turkey)	28.92510	53.24560	OUT-OF-REGION	Christian 2, Muslim 1					15520
HAIFA	5	B_review	prior	0.85	791	Haifa (Israel)	32.81917	34.99917	in-region	Muslim 4, Christian 1					791|15834
Haifa|Haifa Nazareth St	4	B_review	prior	0.85	791	Haifa (Israel)	32.81917	34.99917	in-region	Muslim 4					791|15834
Haifa|German Colony Haifa	3	B_review	prior	0.85	791	Haifa (Israel)	32.81917	34.99917	in-region	Christian 3					791|15834
Kafr Yasif	49	C_review	fuzzy	1.0					no-candidate	Christian 36, Muslim 10, Not recorded 3					88951|24453
Igzim	46	C_review		0.0					no-candidate	Muslim 46					
Julis	36	C_review	fuzzy	1.0					no-candidate	Not recorded 27, Muslim 9					82237|4096|7231|17850|73656
Kantara	34	C_review	fuzzy	1.0					no-candidate	Muslim 24, Christian 10					22537|85270|2734
Arrabeh	31	C_review	fuzzy	0.8					no-candidate	Muslim 31					21307|71763
Jaba'	30	C_review	fuzzy	1.0					no-candidate	Muslim 30					72404|70943|8187
Hawassa	28	C_review		0.0					no-candidate	Muslim 28					
Abu Snan	23	C_review	fuzzy	1.0					no-candidate	Not recorded 11, Christian 10, Muslim 2					80956
Jish	23	C_review	fuzzy	1.0					no-candidate	Not recorded 16, Muslim 4, Christian 3					88554
Umm al-Fahm	22	C_review	fuzzy	1.0					no-candidate	Muslim 21, Not recorded 1					743|22365
Amman	19	C_review	fuzzy	1.0					no-candidate	Muslim 15, Christian 3, Not recorded 1					74|74635|22019|23405|17784
Trans-Jordan	15	C_review		0.0					no-candidate	Muslim 14, Not recorded 1					
Kabri	15	C_review	fuzzy	1.0					no-candidate	Muslim 14, Not recorded 1					869|70938|74549|17211|5190
Um el Fahm	14	C_review	fuzzy	0.75					no-candidate	Muslim 14					743
Isfiya	14	C_review		0.0					no-candidate	Not recorded 9, Christian 3, Muslim 2					
Birweh	14	C_review		0.0					no-candidate	Muslim 13, Christian 1					
Damun	13	C_review	fuzzy	1.0					no-candidate	Muslim 13					921|17311|18528
Shaab	13	C_review	fuzzy	1.0					no-candidate	Muslim 13					8214|22875|22958
Damoun	13	C_review	fuzzy	1.0					no-candidate	Muslim 13					921|17311|18528|14340
Sha'ab	13	C_review	fuzzy	1.0					no-candidate	Muslim 13					8214|22875|22958
Yamoun	12	C_review		0.0					no-candidate	Muslim 12					
Ya'bad	12	C_review	fuzzy	1.0					no-candidate	Muslim 12					75339
Ramel	12	C_review	fuzzy	1.0					no-candidate	Muslim 11, Christian 1					2003|456|2010
Hallisa	11	C_review	fuzzy	1.0					no-candidate	Muslim 10, Christian 1					15946|8822|89590|21610|15505
Daliet el Carmel	11	C_review		0.0					no-candidate	Not recorded 6, Muslim 3, Christian 1					
Tanturah	10	C_review	fuzzy	0.833					no-candidate	Muslim 10					21005|22251
Sileh	10	C_review	fuzzy	1.0					no-candidate	Muslim 10					2137|72167|7919|72783
Sarafand	10	C_review	fuzzy	1.0					no-candidate	Muslim 7, Christian 3					73393
Jalameh	10	C_review	fuzzy	0.8					no-candidate	Muslim 5, Christian 3, Not recorded 2					3912
Jenin|P.M.F. Jenin	10	C_review	fuzzy	1.0					no-candidate	Christian 10					79775|10532|10559|71563|7069
Subbarin	9	C_review		0.0					no-candidate	Muslim 9					
Eggim	9	C_review		0.0					no-candidate	Muslim 9					
Zeita	9	C_review	fuzzy	1.0					no-candidate	Muslim 9					88094|72452
Im El Fahem	9	C_review	fuzzy	0.75					no-candidate	Muslim 7, Not recorded 2					743
Isfia	8	C_review		0.0					no-candidate	Not recorded 7, Muslim 1					
Tantourah	8	C_review	fuzzy	0.667					no-candidate	Muslim 7, Christian 1					22251|21005
Rummaneh	8	C_review	fuzzy	1.0					no-candidate	Muslim 8					75571|76181|75989|22064
Ard el Yahoud	8	C_review		0.0					no-candidate	Muslim 7, Not recorded 1					
Sabbarine	8	C_review		0.0					no-candidate	Muslim 8					
Sindianeh	8	C_review		0.0					no-candidate	Muslim 8					
Saffourieh	8	C_review	fuzzy	1.0					no-candidate	Muslim 8					3544|406|85997
Stanton Street	8	C_review	fuzzy	0.769					no-candidate	Muslim 6, Christian 2					20392
Bireh	7	C_review	fuzzy	1.0					no-candidate	Muslim 7					351|20433
Um el Fahem	7	C_review	fuzzy	0.75					no-candidate	Muslim 7					743
Lajjoun	7	C_review	fuzzy	1.0					no-candidate	Muslim 6, Christian 1					16127
Sabbarin	7	C_review		0.0					no-candidate	Muslim 7					
Wadi Rushmia	7	C_review		0.0					no-candidate	Muslim 6, Christian 1					
Churches Quarter	7	C_review		0.0					no-candidate	Christian 4, Muslim 3					
Ya'abad	7	C_review	fuzzy	0.62					no-candidate	Muslim 6, Not recorded 1					75339
Balad el Sheikh|Balad al-Sheikh	6	C_review	fuzzy	1.0					no-candidate	Muslim 6					21670|26853
Eggem	6	C_review		0.0					no-candidate	Muslim 6					
Reineh	6	C_review	fuzzy	1.0					no-candidate	Christian 3, Muslim 3					26609
Damascus	6	C_review	name_ambiguous	0.5					no-candidate	Muslim 6					939|15118
Kabatich	6	C_review		0.0					no-candidate	Muslim 6					
Sajad	6	C_review	fuzzy	1.0					no-candidate	Muslim 5, Christian 1					88820
Kabatieh	6	C_review	fuzzy	0.714					no-candidate	Muslim 6					19845|74014
Sasa	6	C_review	fuzzy	1.0					no-candidate	Muslim 5, Christian 1					27
Yabad	5	C_review	fuzzy	1.0					no-candidate	Muslim 5					75339
Sha'b	5	C_review	fuzzy	1.0					no-candidate	Muslim 5					8214|22958|22875
Kafr Qari'	5	C_review	fuzzy	1.0					no-candidate	Muslim 5					20116
Iggim	5	C_review		0.0					no-candidate	Muslim 5					
Jisr el Majami	5	C_review		0.0					no-candidate	Muslim 3, Christian 2					
Saffurieh	5	C_review	fuzzy	1.0					no-candidate	Muslim 5					3544|406|85997
Shweikeh	5	C_review	fuzzy	1.0					no-candidate	Muslim 5					73073
Bineh	5	C_review		0.0					no-candidate	Muslim 4, Christian 1					
Kufr Kanna	5	C_review	fuzzy	1.0					no-candidate	Muslim 4, Christian 1					20496
Hartel Kanayis	5	C_review		0.0					no-candidate	Muslim 3, Christian 2					
Halissa	5	C_review	fuzzy	1.0					no-candidate	Muslim 5					11825|485|139
Souk Shwam	5	C_review		0.0					no-candidate	Muslim 5					
Saadeh	5	C_review	fuzzy	1.0					no-candidate	Muslim 5					2021|6211|11251
