city	n_records	status	conf	cand_id	cand_name	cand_qid	cand_desc	in_region
Hadera|Hadera P. & P	1	fuzzy	1.0	27009	Kefar Hadar (Hod Hasharon, Israel)			yes
Hadera|Hadera P. & P	1	fuzzy	1.0	13633	Ḥaydarah (Tunisia)	Q2358652		NO
Hadera|Hadera P. & P	1	fuzzy	1.0	83919	Hydra (Greece)	Q3791883	NULL	NO
Hadera|Hadera P. & P	1	fuzzy	1.0	13804	Ḥaḍr (Iraq)	Q466614		NO
Kharwa	1	no_match	0.0					
Ben Yehuda	1	fuzzy	1.0	13937	Bonyhád (Hungary)	Q834567		NO
Ben Yehuda	1	fuzzy	1.0	14001	Hat Yai (Thailand)	Q651286		NO
Ben Yehuda	1	fuzzy	1.0	732	Even Yehuda (Israel)	Q2915760		yes
Ben Yehuda	1	fuzzy	1.0	87984	Reḥov Ben Yehuda (Jerusalem, Israel)	Q2916849	NULL	yes
Ben Yehuda	1	fuzzy	1.0	18957	En Yaʻaḳov (Even-Yehudah, Israel)	Q2777566		yes
Ben Yehuda Street	1	fuzzy	0.733	72096	Yehuda Street (Jerusalem, Israel)	NULL	NULL	?
Drachla Tabor St	1	no_match	0.0					
Bat Shlomo near Zammaren|Bat Shlomo	1	fuzzy	1.0	20962	Ṭalbiyeh (Jerusalem, Israel)	Q2914649		yes
Bat Shlomo near Zammaren|Bat Shlomo	1	fuzzy	1.0	587	Bat Shelomo (Israel)	Q2889218	מושב בישראל	yes
Galil	1	name_ambiguous	0.5	1475	Galilee (Israel)	Q83241		yes
Galil	1	name_ambiguous	0.5	22094	Horvat Galil (Israel)	Q15225359		yes
Tirch	1	fuzzy	1.0	22136	Tarki (Russia)	Q1385112		NO
Tirch	1	fuzzy	1.0	9685	Tiruchchirāppalli (India)			NO
Tirch	1	fuzzy	1.0	6904	Migdal (Israel)	Q2916182		yes
Rumat Neshanan	1	no_match	0.0					
Tell Addashume	1	no_match	0.0					
Mizra	1	fuzzy	1.0	224	Mizra (Israel)	Q2889536		yes
Mizra	1	fuzzy	1.0	21881	Mazor (Israel)	Q2614185		yes
Mizra	1	fuzzy	1.0	21645	Mazury (Poland)			NO
Mizra	1	fuzzy	1.0	3607	Mazar, Tall al- (Jordan)	Q27122496		yes
Mizra	1	fuzzy	1.0	16166	Mazyr (Homelʹskai︠a︡ voblastsʹ, Belarus)	Q386487		NO
Kinneret (Kibbutz)	1	no_match	0.0					
Beit Jann	1	fuzzy	0.667	21856	Bait Jan Region (Israel)	Q814900		yes
Beit Jann	1	fuzzy	0.667	90226	Bait Jan (Israel)	Q814900	NULL	yes
Gisr El Majami	1	no_match	0.0					
Yavne'el / Tiberias	1	no_match	0.0					
Beit Jan	1	fuzzy	1.0	90226	Bait Jan (Israel)	Q814900	NULL	yes
Aten Village	1	no_match	0.0					
Haifa|Bassa	1	name_ambiguous	0.5	791	Haifa (Israel)	Q41621	city in Israel	yes
Haifa|Bassa	1	name_ambiguous	0.5	15834	Haifa (Israel : District)			yes
Zichron Yacov	1	fuzzy	1.0	8254	Zikhron Ya'akov (Israel)	Q198399		yes
Kafr Yasin	1	fuzzy	0.778	88951	Kafr Yasif (Israel)	Q2632879	NULL	yes
Kafr Yasin	1	fuzzy	0.778	21807	Sumei (Israel)			?
Tel Joseph	1	fuzzy	0.62	186	Tel-Yosef (Israel)	Q2917286		yes
Tel Chai	1	fuzzy	1.0	782	Tulcea (Romania)	Q16898605	locality in Tulcea County, Romania	NO
Netanya|Nathania	1	fuzzy	1.0	24	Netanya (Israel)	Q192225	city in Israel	yes
Netanya|Nathania	1	fuzzy	1.0	16157	Betanyah (Israel)			yes
Givat Adam	1	fuzzy	0.875	18292	Giv'at Ada (Israel)	Q7189221		yes
Givat Adam	1	fuzzy	0.875	23198	Giv'ot Eden (Israel)			yes
Kibbutz Hamarking	1	no_match	0.0					
Kafaratta	1	fuzzy	0.667	78926	Kufairit (West Bank)	Q6441897	NULL	yes
Kafaratta	1	fuzzy	0.667	81712	Kufeirit (West Bank)	Q28747853	NULL	yes
Kafaratta	1	fuzzy	0.667	477	Kiryat Ata (Israel)	Q152602	city	yes
Kfar Yideyah	1	no_match	0.0					
Kiriat Haroshet	1	fuzzy	1.0	21920	Kiryat Haroshet (Israel)	Q1743479		yes
Kfar Yadidia	1	fuzzy	1.0	831	Kefar Yedidya (Israel)	Q2920134	מושב בישראל	yes
Mt. Tabor	1	no_match	0.0					
Zekra Yacov	1	no_match	0.0					
Daganya	1	fuzzy	1.0	15003	Digne (France)			NO
Daganya	1	fuzzy	1.0	15142	Digoin (France)	Q475418		NO
Daganya	1	fuzzy	1.0	892	Deganya Alef (Israel)	Q2371396	קיבוץ בצפון הארץ	yes
Zichron Yaakov|Bat shlomo - Zichron Jacob	1	fuzzy	0.6	8254	Zikhron Ya'akov (Israel)	Q198399		yes
Zichron Yakov|Zichron Yaakov	1	fuzzy	0.62	8254	Zikhron Ya'akov (Israel)	Q198399		yes
Meshek Yagour	1	no_match	0.0					
Bet Alpha Huleh S/D.|Bet Alpha	1	fuzzy	0.62	563	Bet Alfa (Israel)	Q2900562		yes
Kibbutz Affikim	1	fuzzy	0.786	554	Afikim (Israel)	Q383280	human settlement	yes
Haifa|Mt. Carmel	1	name_ambiguous	0.5	791	Haifa (Israel)	Q41621	city in Israel	yes
Haifa|Mt. Carmel	1	name_ambiguous	0.5	15834	Haifa (Israel : District)			yes
Kibutz Affiking	1	no_match	0.0					
Kfar Joshua	1	no_match	0.0					
Haifa|Dar el Kadkany	1	name_ambiguous	0.5	791	Haifa (Israel)	Q41621	city in Israel	yes
Haifa|Dar el Kadkany	1	name_ambiguous	0.5	15834	Haifa (Israel : District)			yes
Kiryat Haim|Kiryat-Haim Tribune Amal	1	fuzzy	0.62	476	Kiryat Ono (Israel)	Q152501	city in Israel	yes
Kiryat Haim|Kiryat-Haim Tribune Amal	1	fuzzy	0.62	480	Kiryat Yam (Israel)	Q152387	city	yes
Kiryat-Haim Tribune Amal	1	no_match	0.0					
Sajour	1	fuzzy	1.0	75033	Sajur (Israel)	Q732433	NULL	yes
Sajour	1	fuzzy	1.0	733	Ilaniyya (Israel)	Q2916589	מושב בישראל	yes
Bassa No 1|Bassa	1	fuzzy	1.0	4981	Bassai (Extinct city)			NO
Bassa No 1|Bassa	1	fuzzy	1.0	72377	Bissau (Guinea-Bissau)	Q3739	NULL	NO
Bassa No 1|Bassa	1	fuzzy	1.0	86754	Bassar (Togo : Region)	Q810474	NULL	NO
Bassa No 1|Bassa	1	fuzzy	1.0	21539	Bassah (Israel)			?
Bassa No 1|Bassa	1	fuzzy	1.0	6149	Bassano del Grappa (Italy)	Q47094		NO
Geda	1	no_match	0.0					
Benyamina. & Beit-Sacaross	1	no_match	0.0					
Shavei Zion	1	fuzzy	1.0	21799	Shave Tsiyyon (Israel)	Q571191		yes
Ashadot Yakov	1	fuzzy	1.0	21733	Ashdot Ya'akov, Me'uhad (Israel)	Q2888752		yes
Ashadot Yakov	1	fuzzy	1.0	69927	Ashdot Ya'akov (Ihud) Region (Israel)	NULL	NULL	?
Ashadot Yakov	1	fuzzy	1.0	76088	Ashdot Ya'akov (Ihud) (Israel)	Q1853103	NULL	yes
Ashadot Yakov	1	fuzzy	1.0	83561	Ashdot Ya'akov (Me'uhad) Region (Israel)	NULL	NULL	?
Ashadot Yakov	1	fuzzy	1.0	26521	Ashdot Yaakov (Israel)	Q2891543		yes
Kfar Yehoshoua	1	fuzzy	1.0	19294	Kefar Yehoshu'a (Israel)	Q2889616		yes
Kfar Yehoshoua	1	fuzzy	1.0	6098	Kefar Hess (Israel)	Q2920307		yes
Ahava	1	fuzzy	0.75	74524	Ahavah (Tverya, Israel)	NULL	NULL	?
Kiryat Kamal	1	no_match	0.0					
Beit-Zerah	1	no_match	0.0					
Emek Hayarden	1	fuzzy	0.643	1660	Jordan Valley (Israel)	Q2463859		yes
Emek Hayarden	1	fuzzy	0.643	87167	'Emek ha-Yarden (Israel : Mo'atsah azorit)	Q1967925	NULL	yes
Nur Shams	1	fuzzy	0.667	76253	Nur Shams Camp (West Bank)	Q7069998	NULL	yes
Hadar Hacarmel Haifa	1	fuzzy	0.62	21150	Hadar Hakarmel (Haifa, Israel)	Q2630079		yes
Na'an	1	fuzzy	1.0	16	Na'an (Israel)	Q1026840	human settlement	yes
Kfar Khassidim	1	fuzzy	0.62	830	Kefar Hasidim (Israel)	Q135425	moshav	yes
Haifa / Tel Amal	1	no_match	0.0					
Roy	1	fuzzy	1.0	87492	Roy (N.M.)	Q2086695	NULL	NO
Roy	1	fuzzy	1.0	81495	Roy (Utah)	Q130167	NULL	NO
Defna	1	fuzzy	1.0	974	Dafna (Israel)	Q545232	human settlement	yes
Affula (Afula)	1	no_match	0.0					
Benjamina|Benyamina	1	fuzzy	1.0	21551	Binyamina (Israel)	Q863886		yes
Haifa|Bourj Billet	1	name_ambiguous	0.5	791	Haifa (Israel)	Q41621	city in Israel	yes
Haifa|Bourj Billet	1	name_ambiguous	0.5	15834	Haifa (Israel : District)			yes
Bet Gan	1	no_match	0.0					
Haifa s/d	1	no_match	0.0					
Joknan	1	no_match	0.0					
Acre S/D	1	no_match	0.0					
Hanita	1	fuzzy	1.0	799	Hanita (Israel)	Q2890402		yes
Hanita	1	fuzzy	1.0	14529	Hainaut (County)			?
Hanita	1	fuzzy	1.0	9799	Huanta (Peru : Province)	Q930214		NO
Hanita	1	fuzzy	1.0	19932	Hainaut (France)			NO
Hanita	1	fuzzy	1.0	9590	Hainaut (Belgium)			NO
Ras El Ein	1	fuzzy	1.0	73305	Roslyn (N.Y.)	Q2039075	NULL	NO
Ras El Ein	1	fuzzy	1.0	26622	Ras al Ain (Israel)			yes
Ras El Ein	1	fuzzy	1.0	73680	Râs el Ma (Algeria)	Q22928906	NULL	NO
Nur El Shams	1	no_match	0.0					
Kibutz Dalia	1	no_match	0.0					
Kefar Bireim	1	fuzzy	1.0	581	Bar'am (Israel)	Q1011502	human settlement	yes
Kefar Bireim	1	fuzzy	1.0	21588	Kefar Brandeis (Israel)	Q2903275		yes
Haifa (Nesher)	1	no_match	0.0					
Tiberias (Kibbutz Afikim?)	1	no_match	0.0					
Bassa N.1 N.F.D	1	no_match	0.0					
Bet Olim	1	no_match	0.0					
Benjamin	1	no_match	0.0					
Shavei Tzion / Nahariya	1	no_match	0.0					
Beit tatikva	1	no_match	0.0					
Kfar Hasidim / Kfar Hanoar	1	fuzzy	0.62	23042	Kefar Hasidim Bet (Israel)	Q135423		yes
Kfar Hasidim / Kfar Hanoar	1	fuzzy	0.62	830	Kefar Hasidim (Israel)	Q135425	moshav	yes
Kiryat Haim / Kibbutz Amal	1	no_match	0.0					
Zikron Yaacov	1	fuzzy	0.643	8254	Zikhron Ya'akov (Israel)	Q198399		yes
Tira	1	name_ambiguous	0.5	756	Tirat Karmel (Israel)	Q168215	city in Haifa District, Israel	yes
Tira	1	name_ambiguous	0.5	925	Gazit (Israel)	Q2890799	קיבוץ בישראל	yes
Tira	1	name_ambiguous	0.5	23423	Tirat Yehuda (Israel)	Q2614842		yes
Bassa I.|Bassa	1	fuzzy	1.0	4981	Bassai (Extinct city)			NO
Bassa I.|Bassa	1	fuzzy	1.0	72377	Bissau (Guinea-Bissau)	Q3739	NULL	NO
Bassa I.|Bassa	1	fuzzy	1.0	86754	Bassar (Togo : Region)	Q810474	NULL	NO
Bassa I.|Bassa	1	fuzzy	1.0	21539	Bassah (Israel)			?
Bassa I.|Bassa	1	fuzzy	1.0	6149	Bassano del Grappa (Italy)	Q47094		NO
Natamia	1	fuzzy	1.0	57	Neta'im (Israel)	Q2890382	מושב בישראל	yes
Natamia	1	fuzzy	1.0	9338	Noto (Italy)	Q487174		NO
Natamia	1	fuzzy	1.0	8964	Damietta (Egypt)	Q189383		NO
Beni Brak	1	fuzzy	1.0	594	Bene Brak (Israel)	Q152467	city in Israel	yes
Beni Brak	1	fuzzy	1.0	12767	Binbrook (England)	Q4913953		NO
Beni Brak	1	fuzzy	1.0	79711	Pine Brook (Morris County, N.J.)	Q7195076	NULL	NO
Shar Amakim	1	no_match	0.0					
Ayesdin	1	fuzzy	1.0	17672	Eijsden (Netherlands)	Q1007134		NO
Kibbutz Dalia	1	fuzzy	1.0	886	Daliyya (Israel)	Q1000997	human settlement	yes
Bathelim K.butz|Bathelim	1	fuzzy	1.0	556	Bethlehem (West Bank)	Q5776		yes
Tiberias S/D	1	fuzzy	0.6	807	Tiberias (Israel)	Q151920	city in northeast Israel	yes
Hadar [Haifa]	1	no_match	0.0					
Haifa [Hadar HaCarmel]	1	no_match	0.0					
Blys	1	fuzzy	1.0	1800	Bālis (Extinct city)	Q3634572		NO
Blys	1	fuzzy	1.0	9511	Blois (France)	Q160927		NO
Blys	1	fuzzy	1.0	75140	Bali Sea (Indonesia)	Q277014	NULL	NO
Blys	1	fuzzy	1.0	16864	Bitlis (Turkey)	Q83531		NO
Nabi Sha'man Hagelil	1	no_match	0.0					
Ramat Gan	1	fuzzy	1.0	777	Ramat Gan (Israel)	Q192807	city in the Tel Aviv District of Israel	yes
Ramat Gan	1	fuzzy	1.0	27025	HaPark HaLe'umi (Ramat Gan, Israel)	Q3738170		yes
Ramat Gan	1	fuzzy	1.0	21964	Ramat Gan Region (Israel)			?
Kiryat Eliahu	1	no_match	0.0					
Zikhron Yacob	1	fuzzy	0.667	8254	Zikhron Ya'akov (Israel)	Q198399		yes
Zikhron Yacob	1	fuzzy	0.667	71774	Zikhron Yosef (Jerusalem, Israel)	Q8071863	NULL	yes
Natsera (Nazareth)	1	no_match	0.0					
Natseria	1	fuzzy	1.0	17	Netser Sereni (Israel)	Q1011505	human settlement	yes
Natseria	1	fuzzy	1.0	18	Nazareth (Israel)	Q430776	city in the North District of Israel	yes
St. Hashomer	1	no_match	0.0					
Coastal Watch Bath-Jalim	1	no_match	0.0					
Port Mason	1	no_match	0.0					
Kuryat el Yahu	1	no_match	0.0					
Haddar Carmel	1	no_match	0.0					
Natania	1	fuzzy	1.0	24	Netanya (Israel)	Q192225	city in Israel	yes
Natania	1	fuzzy	1.0	69762	Catania (Italy : Province)	Q16154	NULL	NO
Natania	1	fuzzy	1.0	7532	Catania (Italy)	Q1903		NO
Kiryat Amal	1	no_match	0.0					
Maagan	1	fuzzy	1.0	189	Ma'agan (Israel)	Q2916656		yes
Maagan	1	fuzzy	1.0	23944	M'Goun, Ighil (Morocco)	Q3050555		NO
Maagan	1	fuzzy	1.0	144	Magen (Israel)	Q2889599		yes
Maagan	1	fuzzy	1.0	79712	Magione (Perugia, Italy)	Q20462	NULL	NO
P.T	1	fuzzy	0.62	426	Petah Tikva (Israel)	Q190828	city in Israel	yes
Haifa S/P	1	no_match	0.0					
Ben Yehuda St	1	no_match	0.0					
Ramatby	1	no_match	0.0					
Banks St	1	no_match	0.0					
Haim	1	no_match	0.0					
Kiryat Yam	1	fuzzy	1.0	480	Kiryat Yam (Israel)	Q152387	city	yes
Kiryat Yam	1	fuzzy	1.0	7211	Khartoum (Sudan)	Q1963		NO
Kiryat Yam	1	fuzzy	1.0	74910	Kiryat Yam Region (Israel)	NULL	NULL	?
Kiryat Yam	1	fuzzy	1.0	586	Bat Yam (Israel)	Q208725	city	yes
Kiryat Yam	1	fuzzy	1.0	476	Kiryat Ono (Israel)	Q152501	city in Israel	yes
Nebertz	1	no_match	0.0					
Mashmar Hyam	1	fuzzy	0.833	214	Mishmar Ha'emek (Israel)	Q1938721		yes
Mashmar Hyam	1	fuzzy	0.833	22621	Mishmar Ha'emek Region (Israel)			?
Halershert	1	no_match	0.0					
Turaan	1	fuzzy	1.0	12295	Tirana (Albania)	Q19689		NO
Turaan	1	fuzzy	1.0	17160	Muş İli (Turkey)			?
Turaan	1	fuzzy	1.0	21000	Torōnē (Greece)			NO
Turaan	1	fuzzy	1.0	23562	Trana (Italy)			NO
Turaan	1	fuzzy	1.0	779	Turin (Italy)	Q495	city in Italy	NO
Doris St	1	no_match	0.0					
Fot Luq	1	no_match	0.0					
Irbed	1	fuzzy	1.0	5842	Arbela Site (Galilee, Israel)			?
Irbed	1	fuzzy	1.0	13138	Irbid (Jordan)	Q194165		yes
Irbed	1	fuzzy	1.0	78353	Irbid (Jordan : Province)	146620654	NULL	?
Bat Yalem	1	no_match	0.0					
Alya Street	1	no_match	0.0					
Kafata	1	fuzzy	1.0	13312	Qifṭ (Egypt)	Q935454		NO
Kafata	1	fuzzy	1.0	72698	Bafatá (Guinea-Bissau : Region)	Q799791	NULL	NO
