date	pub	page_id	verdict	hospital_mentions	towns_in_range	other_haifa_hospitals	found_by
1930-01-17	dav	dav19300117-01.2.27	untowned	1			spelled
1930-01-20	dhy	dhy19300120-01.2.40	untowned	4		hadassah	
1930-01-29	dhy	dhy19300129-01.2.24	haifa	4	haifa	hadassah	
1930-01-31	dav	dav19300131-01.2.1	other	3	jaffa		abbreviated
1930-01-31	haretz	haretz19300131-01.2.3	haifa	3	haifa		
1930-02-07	kolisraeljlm	kolisraeljlm19300207-01.2.2	mixed	1	haifa,safed		
1930-02-26	bustenai	bustenai19300226-01.2.4	untowned	12		hadassah	
1930-03-02	devarenu	devarenu19300302-01.2.8	other	1	jerusalem		
1930-03-06	dav	dav19300306-01.2.40	other	2	jaffa		spelled
1930-03-20	dav	dav19300320-01.2.13	other	4	jerusalem		
1930-03-27	dav	dav19300327-01.2.25	untowned	3			abbreviated
1930-04-10	dhy	dhy19300410-01.2.27	haifa	2	haifa		
1930-04-11	haretz	haretz19300411-01.2.3	other	2	telaviv	hadassah	
1930-04-17	dhy	dhy19300417-01.2.6	untowned	1			spelled
1930-04-20	dhy	dhy19300420-01.2.33	haifa	1	haifa	hadassah	
1930-04-21	dhy	dhy19300421-01.2.34	other	1	jaffa		
1930-04-29	dav	dav19300429-01.2.25	other	2	acre		
1930-04-30	dav	dav19300430-01.2.20	mixed	6	haifa,jaffa,jerusalem,telaviv		
1930-05-05	haretz	haretz19300505-01.2.16	other	1	gaza,safed	hadassah	
1930-05-14	dhy	dhy19300514-01.2.38	untowned	1		hadassah	
1930-05-14	haretz	haretz19300514-01.2.1	untowned	1			
1930-06-08	haretz	haretz19300608-01.2.17.2	untowned	1			
1930-06-15	misharvetaasiyah	misharvetaasiyah19300615-01.2.6	haifa	2	haifa		
1930-06-15	misharvetaasiyah	misharvetaasiyah19300615-01.2.9	other	1	telaviv	hadassah	
1930-06-24	dav	dav19300624-01.2.30	haifa	3	haifa	hadassah,rothschild	
1930-06-27	hadoar	hadoar19300627-01.2.9	mixed	13	haifa,jaffa,jerusalem,telaviv	hadassah	
1930-07-11	dav	dav19300711-01.2.45	haifa	1	haifa		
1930-07-24	dav	dav19300724-01.2.33	other	3	jaffa,jerusalem		spelled
1930-07-30	dav	dav19300730-01.2.20	mixed	20	haifa,jaffa,jerusalem,tiberias	hadassah	
1930-08-14	dav	dav19300814-01.2.8	other	5	jerusalem,safed		
1930-09-22	dav	dav19300922-01.2.50.1	other	1	telaviv		
1930-09-28	dhy	dhy19300928-01.2.44.3	other	1	jerusalem		
1930-09-28	haretz	haretz19300928-01.2.49.1	other	1	telaviv		
1930-10-12	haretz	haretz19301012-01.2.49.2	untowned	1			
1930-10-28	dav	dav19301028-01.2.23.1	haifa	1	haifa		
1930-10-28	dav	dav19301028-01.2.4	mixed	1	haifa,jerusalem		
1930-11-06	dav	dav19301106-01.2.33	other	6	telaviv		
1930-11-12	dhy	dhy19301112-01.2.28	other	2	jerusalem		
1930-12-01	haretz	haretz19301201-01.2.36	untowned	1			
1930-12-15	heatid	heatid19301215-01.2.11	other	2	jaffa,safed,tiberias		
1930-12-23	dav	dav19301223-01.2.25	haifa	1	haifa		
1931-01-21	dav	dav19310121-01.2.5	untowned	1			spelled
1931-01-28	dav	dav19310128-01.2.12	mixed	14	haifa,jaffa,telaviv	hadassah	
1931-02-04	dav	dav19310204-01.2.37	other	1	telaviv		
1931-02-06	haretz	haretz19310206-01.2.24.1	untowned	1			
1931-02-09	dhy	dhy19310209-01.2.34	untowned	1		english,rothschild	
1931-02-13	dav	dav19310213-01.2.20	other	13	jerusalem,safed,telaviv,tiberias	hadassah	
1931-02-22	dhy	dhy19310222-01.2.40	untowned	1			
1931-02-23	dav	dav19310223-01.2.48.2	untowned	1		hadassah	
1931-02-26	dav	dav19310226-01.2.40.4	untowned	1			
1931-03-01	dhy	dhy19310301-01.2.41	haifa	1	haifa		abbreviated
1931-03-08	dhy	dhy19310308-01.2.33	untowned	1			abbreviated
1931-03-27	dav	dav19310327-01.2.29.1	other	2	jaffa,jerusalem,telaviv		
1931-04-07	haretz	haretz19310407-01.2.11	untowned	4			spelled
1931-04-10	dav	dav19310410-01.2.31.2	mixed	1	haifa,jerusalem	hadassah	
1931-04-10	haretz	haretz19310410-01.2.18.1	haifa	1	haifa	hadassah	
1931-04-14	dav	dav19310414-01.2.29.3	haifa	1	haifa	hadassah	
1931-04-16	haretz	haretz19310416-01.2.41.2	haifa	1	haifa	hadassah	
1931-04-17	dhy	dhy19310417-01.2.11	untowned	2			spelled
1931-04-20	haretz	haretz19310420-01.2.18.1	haifa	1	haifa	hadassah	
1931-04-23	dav	dav19310423-01.2.34	other	3	jaffa		abbrev_short
1931-04-23	haretz	haretz19310423-01.2.34	untowned	2		hadassah	
1931-04-24	dav	dav19310424-01.2.30.1	other	1	jaffa,jerusalem		
1931-05-08	dav	dav19310508-01.2.54	untowned	1			
1931-05-28	haam	haam19310528-01.2.40	haifa	2	haifa	hadassah	
1931-05-29	haam	haam19310529-01.2.38	untowned	2			
1931-06-05	dhy	dhy19310605-01.2.62	mixed	2	haifa,jaffa,jerusalem		
1931-06-05	haam	haam19310605-01.2.1	other	1	nablus		spelled
1931-06-18	haretz	haretz19310618-01.2.34	other	3	jerusalem,safed,telaviv,tiberias	hadassah	
1931-06-22	dav	dav19310622-01.2.5	haifa	3	haifa		
1931-06-25	misharvetaasiyah	misharvetaasiyah19310625-01.2.9	other	10	jaffa		
1931-06-26	dav	dav19310626-01.2.41.1	other	1	jaffa,jerusalem		
1931-06-30	haretz	haretz19310630-01.2.46.1	other	2	jaffa,telaviv		
1931-07-01	has	has19310701-01.2.11	other	2	jaffa		
1931-07-03	dav	dav19310703-01.2.35.1	untowned	1			
1931-07-21	haretz	haretz19310721-01.2.23	mixed	11	haifa,jaffa,tiberias	hadassah	
1931-07-24	dav	dav19310724-01.2.28	mixed	3	haifa,jerusalem,safed		
1931-08-09	haretz	haretz19310809-01.2.15	haifa	1	haifa	hadassah	
1931-08-12	haretz	haretz19310812-01.2.45.2	other	1	jaffa		
1931-08-14	haretz	haretz19310814-01.2.40	mixed	2	haifa,nablus		
1931-08-16	dhy	dhy19310816-01.2.48.1	untowned	1			
1931-08-21	dav	dav19310821-01.2.22	haifa	2	haifa	hadassah	
1931-08-21	haretz	haretz19310821-01.2.31	haifa	3	haifa	hadassah	
1931-08-24	dhy	dhy19310824-01.2.14	mixed	4	haifa,jerusalem	hadassah	
1931-08-25	haretz	haretz19310825-01.2.13.4	untowned	1			
1931-08-27	dav	dav19310827-01.2.23	haifa	1	haifa		
1931-08-28	haretz	haretz19310828-01.2.16.1	untowned	1			
1931-08-31	dav	dav19310831-01.2.12	mixed	3	haifa,jaffa	hadassah	
1931-09-01	dav	dav19310901-01.2.39	haifa	2	haifa		
1931-09-01	dhy	dhy19310901-01.2.30	haifa	1	haifa	hadassah	
1931-09-07	dav	dav19310907-01.2.37.3	other	1	telaviv		
1931-09-09	dav	dav19310909-01.2.8	untowned	1			spelled
1931-09-11	dav	dav19310911-01.2.45.1	untowned	1			
1931-09-24	dav	dav19310924-01.2.35.1	other	2	jerusalem	hadassah	
1931-09-24	haretz	haretz19310924-01.2.33	haifa	2	haifa	hadassah	
1931-09-27	dhy	dhy19310927-01.2.29	mixed	2	haifa,jerusalem,nablus,nazareth	hadassah	
1931-09-27	haretz	haretz19310927-01.2.35	haifa	1	haifa	hadassah	
1931-09-29	haretz	haretz19310929-01.2.33	haifa	3	haifa	hadassah	
1931-10-07	haretz	haretz19311007-01.2.30	haifa	1	haifa	hadassah	
1931-10-08	dav	dav19311008-01.2.30	mixed	6	haifa,safed		
1931-10-08	dav	dav19311008-01.2.37	haifa	1	haifa		spelled
1931-10-23	haretz	haretz19311023-01.2.18.2	other	2	jerusalem,telaviv	rothschild	
1931-10-29	haretz	haretz19311029-01.2.16	mixed	2	haifa,jaffa,jerusalem,nablus,safed	hadassah	
1931-10-29	kolisraeljlm	kolisraeljlm19311029-01.2.2	untowned	1			
1931-11-25	dav	dav19311125-01.2.53	other	1	jaffa		
1931-11-25	dhy	dhy19311125-01.2.41	other	1	jaffa		
1931-12-06	haretz	haretz19311206-01.2.19	other	1	jerusalem		indefinite
1931-12-23	haretz	haretz19311223-01.2.33	other	6	jaffa	hadassah	
1931-12-27	dav	dav19311227-01.2.38	other	2	acre		
1931-12-30	dav	dav19311230-01.2.27	mixed	12	haifa,jerusalem	hadassah,rothschild	
1931-12-30	dav	dav19311230-01.2.35	other	2	jaffa		
1932-01-05	dav	dav19320105-01.2.27	other	2	jerusalem		
1932-01-05	dav	dav19320105-01.2.37	untowned	1			
1932-01-10	dhy	dhy19320110-01.2.41	untowned	1			
1932-01-11	dav	dav19320111-01.2.24	other	4	safed,telaviv	hadassah	
1932-01-11	dav	dav19320111-01.2.37.3	mixed	2	haifa,jaffa,jerusalem	hadassah	
1932-01-14	dav	dav19320114-01.2.37.2	haifa	2	haifa	hadassah	
1932-01-14	dhy	dhy19320114-01.2.13.1	haifa	2	haifa	hadassah	
1932-01-17	dav	dav19320117-01.2.35.4	haifa	3	haifa	hadassah	
1932-01-17	dhy	dhy19320117-01.2.38	other	1	jaffa		
1932-01-18	haretz	haretz19320118-01.2.54.1	untowned	1			
1932-01-26	dav	dav19320126-01.2.31.2	other	1	jaffa		
1932-01-26	haretz	haretz19320126-01.2.19.2	mixed	2	haifa,jerusalem	hadassah	
1932-01-27	haretz	haretz19320127-01.2.26.1	mixed	1	haifa,jerusalem		
1932-01-31	haretz	haretz19320131-01.2.16.1	mixed	1	haifa,jerusalem		
1932-02-08	haretz	haretz19320208-01.2.21	mixed	1	haifa,jerusalem,telaviv	hadassah	
1932-02-09	dav	dav19320209-01.2.32	mixed	4	haifa,jaffa		
1932-02-16	dhy	dhy19320216-01.2.34	haifa	1	haifa		
1932-02-16	haretz	haretz19320216-01.2.38.1	other	2	jaffa,telaviv		
1932-02-18	dhy	dhy19320218-01.2.23	haifa	2	haifa		
1932-02-19	haretz	haretz19320219-01.2.35.1	other	1	telaviv,tiberias		
1932-02-24	haretz	haretz19320224-01.2.37.1	other	1	telaviv		
1932-02-29	dav	dav19320229-01.2.33	mixed	8	haifa,jaffa,jerusalem,safed,telaviv,tiberias	rothschild	
1932-03-02	dav	dav19320302-01.2.39	mixed	4	haifa,safed		
1932-03-15	hzam	hzam19320315-01.2.22	haifa	1	haifa	hadassah	
1932-03-18	hzam	hzam19320318-01.2.15	haifa	3	haifa	hadassah	
1932-04-14	dav	dav19320414-01.2.38	haifa	3	haifa		
1932-04-20	bustenai	bustenai19320420-01.2.3	other	4	jaffa,jerusalem,telaviv	hadassah	maqaf
1932-04-24	dav	dav19320424-01.2.35.1	no_hospital_term	0			
1932-04-28	haretz	haretz19320428-01.2.45	haifa	2	haifa		
1932-05-11	dav	dav19320511-01.2.43.2	haifa	2	haifa		
1932-05-11	dhy	dhy19320511-01.2.15.2	haifa	1	haifa		
1932-05-20	dav	dav19320520-01.2.41	untowned	1			
1932-05-20	dav	dav19320520-01.2.43.1	haifa	1	haifa		
1932-05-23	dav	dav19320523-01.2.43	untowned	2			
1932-05-25	dav	dav19320525-01.2.36	other	5	jerusalem		spelled
1932-06-05	dav	dav19320605-01.2.38	mixed	14	haifa,jaffa,nablus,telaviv		
1932-06-06	dhy	dhy19320606-01.2.35	other	2	jerusalem	english	spelled
1932-06-12	dhy	dhy19320612-01.2.31	other	1	jaffa		abbreviated
1932-06-15	dav	dav19320615-01.2.70	no_hospital_term	0			
1932-06-20	dav	dav19320620-01.2.11	haifa	2	haifa		
1932-06-22	dav	dav19320622-01.2.32	other	8	jaffa,jerusalem		abbrev_short
1932-06-23	dhy	dhy19320623-01.2.33	untowned	1			spelled
1932-07-05	dav	dav19320705-01.2.29	mixed	14	gaza,haifa,jaffa,telaviv		
1932-07-06	dav	dav19320706-01.2.14	haifa	7	haifa		
