n	id	date	publication	title	snippet
1	hbkr19400610-01.2.69	10 June 1940	hbkr	"ביה""ח האיטלקי בחיפה"	"<div class=""txtsearchsnippet""><b class=""highlightcolor"">ביה""ח</b> האיטלקי <b class=""highlightcolor"">בחיפה</b></div>"
2	hbkr19410817-01.2.43	17 August 1941	hbkr	ראשית בנית ביה''ח רוטשילד בחיפה	"<div class=""txtsearchsnippet"">ראשית בנית <b class=""highlightcolor"">ביה''ח</b> רוטשילד <b class=""highlightcolor"">בחיפה</b></div>"
3	khm19480126-01.2.57	26 January 1948	khm	"עובדי ביה""ח הממשלתי בחיפה עזבו ™ העמדה באשמת הממשלה"	"<div class=""txtsearchsnippet"">עובדי <b class=""highlightcolor"">ביה""ח</b> הממשלתי <b class=""highlightcolor"">בחיפה</b> עזבו ™ העמדה באשמת הממשלה</div>"
4	hmf19480428-01.2.57	28 April 1948	hmf	"ביה""ח הממשלתי בחיפה לרשות העיריה"	"<div class=""txtsearchsnippet""><b class=""highlightcolor"">ביה""ח</b> הממשלתי <b class=""highlightcolor"">בחיפה</b> לרשות העיריה</div>"
5	haretz19450617-01.2.54	17 June 1945	haretz	"בעית הנרעון של ביה""ח רוטשילד בחיפה"	"<div class=""txtsearchsnippet"">בעית הנרעון של <b class=""highlightcolor"">ביה""ח</b> רוטשילד <b class=""highlightcolor"">בחיפה</b></div>"
6	hmf19450614-01.2.56	14 June 1945	hmf	"כיצד יאוזן תקציבו של ביה""ח רוטשילד בחיפה"	"<div class=""txtsearchsnippet"">כיצד יאוזן תקציבו של <b class=""highlightcolor"">ביה""ח</b> רוטשילד <b class=""highlightcolor"">בחיפה</b></div>"
7	khm19470818-01.2.53	18 August 1947	khm	"שביתת הרעב של אהיות ביה""ח! הממשלתי בחיפה הסתיימה"	"<div class=""txtsearchsnippet"">שביתת הרעב של אהיות <b class=""highlightcolor"">ביה""ח!</b> הממשלתי <b class=""highlightcolor"">בחיפה</b> הסתיימה</div>"
8	hbkr19421027-01.2.56	27 October 1942	hbkr	"קנ1ינ העליון יחנוך את ביה""ח רוטשילד בחיפה"	"<div class=""txtsearchsnippet"">קנ1ינ העליון יחנוך את <b class=""highlightcolor"">ביה""ח</b> רוטשילד <b class=""highlightcolor"">בחיפה</b></div>"
9	haretz19450123-01.2.18	23 January 1945	haretz	הגרעוןבביודה בחיפה-מגין? ן	"<div class=""txtsearchsnippet"">... לינואר) את המאמר על. ו . גדעון בביה""ח רוטשילד <b class=""highlightcolor"">בחיפה,</b> שבו :יתנה הסברה כה חד־צדדית' ואף מסולפת, ו צאנו ...</div>"
10	yomyom19480802-01.2.41	2 August 1948	yomyom	"(על ""המשמר"") הסדר חדש בבתי• החולים בחיפה"	"<div class=""txtsearchsnippet"">(על ""המשמר"") הסדר חדש בבתי• החולים <b class=""highlightcolor"">בחיפה</b></div>"
11	hmf19460619-01.2.12	19 June 1946	hmf	&#8237;mrm rim &#8236;	"<div class=""txtsearchsnippet"">אתמול בבוקר יצאו חמשה אנשים מחברה קדישא <b class=""highlightcolor"">בחיפה,</b> בראשותו של היו""ר מר תורן היבלר, לאזור עזיב, במקום ...</div>"
12	tsohorayimhaifa19460430-01.2.19	30 April 1946	tsohorayimhaifa	יובל ה־6o לדר ברוך ניסגבוים	"<div class=""txtsearchsnippet"">היום מלאו ששים שנה לרופא ברוך ניסנבוים. הישוב העברי <b class=""highlightcolor"">בחיפה׳</b> ללא הבדל מעמד או מפלגה, משתתף בחגיגת המשפחה׳ ושולח ...</div>"
