n	id	date	publication	title	snippet
1	itonamami19471226-01.1.1	26 December 1947	itonamami	Page 1	"<div class=""txtsearchsnippet"">... נפלו: יצהק גרובר, בן 21, וכרמי רבינוביץ בן 19. <b class=""highlightcolor"">בחיפה</b> נפלו: בכורה באחבוט, בת 32, וישראל וורדי רוזנבדג, בן ...</div>"
2	amudimaliya19450824-01.1.12	24 August 1945	amudimaliya	Page 12	"<div class=""txtsearchsnippet"">... עין ורד קבלו 53 ילדים פליטים מיון באפוטרופסות. — <b class=""highlightcolor"">בית החולים הממשלתי</b> למושבות בתל־אביב יורחב בקרוב. —מספר העדות בירושלים ...</div>"
3	hzh19480428-01.1.2	28 April 1948	hzh	Page 2	"<div class=""txtsearchsnippet"">לד <b class=""highlightcolor"">בחיפה</b></div>"
4	hed19460215-01.1.11	15 February 1946	hed	Page 11	"<div class=""txtsearchsnippet"">יוגדל בית התולים למושבות הממשלה החליטה להרחיב את <b class=""highlightcolor"">בית החולים הממשלתי</b> למושבות ""הירקון"" בתל-אביב על ידי הוספת מספר ...</div>"
5	mivrak19480425-01.1.2	25 April 1948	mivrak	Page 2	"<div class=""txtsearchsnippet"">חיפה (יו.פי.) — שקט מוחלט שורר <b class=""highlightcolor"">בחיפה.</b> שוטרים עברים מזוינים משוטטים בעיר. השלטונות</div>"
6	haretz19381116-01.1.6	16 November 1938	haretz	Page 6	"<div class=""txtsearchsnippet"">... • כל עבודות הטיח בחזיתות של בית החורים הממשלתי <b class=""highlightcolor"">בחיפה</b> נעשו עם טיח;""מרמורוט"" ? ? ? ? י םדרגזת ...</div>"
7	ytlv19390115-01.1.13	15 January 1939	ytlv	Page 13	"<div class=""txtsearchsnippet"">... 12. 38‬ נפתח רשמית. על־ידי ה. מ. הנציב העליון, <b class=""highlightcolor"">בית החולים הממשלתי</b> החדש <b class=""highlightcolor"">בחיפה.</b> לפתיחת בית ההולים באו מוזמנים ...</div>"
8	dav19381116-01.1.3	16 November 1938	dav	Page 3	"<div class=""txtsearchsnippet"">ו. חוג ים הממשלתי החד ש <b class=""highlightcolor"">בחיפה</b></div>"
9	dav19381208-01.1.4	8 December 1938	dav	Page 4	"<div class=""txtsearchsnippet"">... 5עוטת זאת תצויי נסיגה ניכרת ; של הישוב העברי <b class=""highlightcolor"">בחיפה</b> בשניה זו. עמדות, אשר בחלקן יש קהו ערך היסטורי ...</div>"
10	amudimaliya19441229-01.1.8	29 December 1944	amudimaliya	Page 8	"<div class=""txtsearchsnippet"">... במושבות ובקבוצית פיקוח העיריה על מפעלי אספקת המים הונהג <b class=""highlightcolor"">בחיפה.</b> מפעלים קואופרטיביים כגון מפעל המים על הדר הכרמל יהיו ...</div>"
11	mar19480504-01.1.1	4 May 1948	mar	Page 1	"<div class=""txtsearchsnippet"">ביהי'ח הממשלתי <b class=""highlightcolor"">בחיפה</b> - לרשות _דייריה</div>"
12	hmf19480504-01.1.4	4 May 1948	hmf	Page 4	"<div class=""txtsearchsnippet"">הצבא תפס עמדות חדשות <b class=""highlightcolor"">בחיפה</b></div>"
13	itonmeyuhad19440630-01.1.7	30 June 1944	itonmeyuhad	Page 7	"<div class=""txtsearchsnippet"">... או, כמו שקראנו בע־ תונכם לפני שבועיים על המקרה <b class=""highlightcolor"">בחיפה</b> של אשת פקיד — היא מוכרחה למכור את גופה ...</div>"
14	dav19300117-01.1.4	17 January 1930	dav	Page 4	"<div class=""txtsearchsnippet"">... את עתתו איברחים חדדיז. אחריו העיר הד""ד _קששואן. רופא <b class=""highlightcolor"">בית החולים הממשלתי,</b> אשר בדק את הערבי שנהרג על יד ...</div>"
15	dav19380814-01.1.6	14 August 1938	dav	Page 6	"<div class=""txtsearchsnippet"">... שהמלצרים יוצאים ונכנסים תכיפות. התובע מיור קולדויל, מביה""ד הצבאי <b class=""highlightcolor"">בחיפה</b> (בא למל* זמן מת את מקומו של מר _ואטםון ...</div>"
