n	id	date	publication	title	snippet
1	pls19370411-01.2.50	11 April 1937	pls	Foundation Stone	"<div class=""txtsearchsnippet"">CEREMONY IN <b class=""highlightcolor"">HAIFA</b> <b class=""highlightcolor"">HAIFA</b> , Saturday . — The laying -of the ...</div>"
2	pls19361127-01.2.12	27 November 1936	pls	T w aiia Hosital _Comforfs Fvm < _t p	"<div class=""txtsearchsnippet"">... that time there were upwards of 200 patients in <b class=""highlightcolor"">hospital</b> in the Peninsular Barrack , - ? , and ...</div>"
3	plb19280801-01.2.7	1 August 1928	plb	PALESTINE FROM DAY TO DAY	"<div class=""txtsearchsnippet"">... Order in Council of His Ma- ! Administering the <b class=""highlightcolor"">Government</b> of ! Palestine . 3 Sy His Excellency Marry ...</div>"
4	pls19341011-01.2.22	11 October 1934	pls	lican Church Ang Plans	"<div class=""txtsearchsnippet"">THE BISHOPS PROPOSALS The disposal of <b class=""highlightcolor"">St</b> . <b class=""highlightcolor"">Luke</b> s property at <b class=""highlightcolor"">Haifa</b> is now under ...</div>"
5	pls19400804-01.2.21	4 August 1940	pls	FIGHTER AIRCRAFT FUND	"<div class=""txtsearchsnippet"">... Mr and Mrs J . Mou &lt; chli , <b class=""highlightcolor"">Haifa</b> . LP . 75 . - Palestine Building Syndicate ...</div>"
6	pls19371014-01.2.38	14 October 1937	pls	UNKNOWN	"<div class=""txtsearchsnippet"">... d an interview with the Officer Administ ering the <b class=""highlightcolor"">Government</b> regarding . - current affairs . J * * ...</div>"
7	pls19380425-01.2.25	25 April 1938	pls	Police Memorial Service at Haifa	"<div class=""txtsearchsnippet"">Police Memorial Service at <b class=""highlightcolor"">Haifa</b></div>"
8	pls19331214-01.2.46	14 December 1933	pls	Social and 'Prr _^ ftnat	"<div class=""txtsearchsnippet"">... His Highness ) , all member- oi the new <b class=""highlightcolor"">Government</b> of Ibrahim Pasha Hashemi , the Mayor of Amman ...</div>"
9	pls19391019-01.2.23	19 October 1939	pls	AIR RAID TEST FOR ALL HAIFA MILITARY AND R . A . F . MAY COOPERATE	"<div class=""txtsearchsnippet"">AIR RAID TEST FOR ALL <b class=""highlightcolor"">HAIFA</b> MILITARY AND R . A . F . MAY ...</div>"
10	plb19300601-01.2.20	1 June 1930	plb	bir John Simpson In Haifa	"<div class=""txtsearchsnippet"">bir John Simpson In <b class=""highlightcolor"">Haifa</b></div>"
11	pls19391016-01.2.22	16 October 1939	pls	GERMAN _BIISSIONARY ACTIVITY IN PALESTINE ANGLICAN BISHOP ASSUMES MORAL RESPONSIBILITY	"<div class=""txtsearchsnippet"">... for many years in charge of the English Mission <b class=""highlightcolor"">Hospital</b> , in charge of the German Deaconess <b class=""highlightcolor"">Hospital</b> , ...</div>"
12	plb19311006-01.2.11	6 October 1931	plb	Appeal Dismissed	"<div class=""txtsearchsnippet"">... of stones in 11 . Saha . Karaman oi <b class=""highlightcolor"">Haifa</b> was charged with by thc Stiprciito Court in the ...</div>"
13	pls19380825-01.2.14	25 August 1938	pls	HAIFA , Wednesday . — While	"<div class=""txtsearchsnippet""><b class=""highlightcolor"">HAIFA</b> , Wednesday . — While</div>"
14	plb19281105-01.2.6	5 November 1928	plb	PALESTINE FROM DAY TO DAY	"<div class=""txtsearchsnippet"">After threedays in Jerusalem we went to <b class=""highlightcolor"">Haifa</b> for tbe week-end and were greatly pleased to see ...</div>"
15	pls19380512-01.2.27	12 May 1938	pls	SOCIAL AND-PERSONAL ]|| i ! ll ! l ! l ! llilll !!! ll !! fl ! l ! il !!! ltl ! tl ! H	"<div class=""txtsearchsnippet"">Wedding in <b class=""highlightcolor"">Haifa</b> KEWIN . — ROBERTSHAW</div>"
16	pls19351103-01.2.41	3 November 1935	pls	Social and Persona	"<div class=""txtsearchsnippet"">... November 2 , 1935 . The Officer Administering the <b class=""highlightcolor"">Government</b> and Mrs . Hathorn Hal ? gave a dinner ...</div>"
17	plb19290311-01.2.7	11 March 1929	plb	PALES _1 W F _1 ( M MY W MY	"<div class=""txtsearchsnippet"">... to inspect the British War Cemeteries in ing at <b class=""highlightcolor"">Government</b> House . The purpose of his thor , arrived ...</div>"
18	pls19401227-01.2.59	27 December 1940	pls	UNKNOWN	"<div class=""txtsearchsnippet"">... soldprayer iers ) . _rRaniat Oan Synagogue ( Arlosoroff <b class=""highlightcolor"">St</b> . Beth Wald _. -rinann ) —Tonight , 5 ...</div>"
19	plb19290913-01.2.6	13 September 1929	plb	UNKNOWN	"<div class=""txtsearchsnippet"">... philanthropy will remain of enduring value vices to the <b class=""highlightcolor"">Government</b> in law ,, in conciliation , Louis Marshall _pjassed ...</div>"
20	pls19370222-01.2.8	22 February 1937	pls	On the Air Thin _P-JW * f ?	"<div class=""txtsearchsnippet"">... f Haii * . &gt; . , FTett of <b class=""highlightcolor"">Haifa</b> , A . Ycliin of _Mh-usalem and Dr , ...</div>"
21	plb19291122-01.2.15	22 November 1929	plb	Under The Turks Counsel IPaints Rosy Picture _QfAiiabs _: _^	"<div class=""txtsearchsnippet"">... In reply to further question _^ , Mr . <b class=""highlightcolor"">Luke</b> said that — Yes . weresupplied by Jews and ...</div>"
22	plb19281216-01.2.9	16 December 1928	plb	Untitled	"<div class=""txtsearchsnippet"">... the Bishop _-4 &gt; f Jerusalem . Mr , <b class=""highlightcolor"">Luke</b> introduced Lady Chancellor in a . short speech in ...</div>"
23	plb19290522-01.2.6	22 May 1929	plb	PALESTINE FROM DAY TO DAY	"<div class=""txtsearchsnippet"">... By His Excellency s Command , H . C <b class=""highlightcolor"">LUKE</b> , Chief Secretary . LAND SETTLEMENT OF PALESTINE Notification ...</div>"
24	plb19290611-01.2.9	11 June 1929	plb	PALESTINE FROM DAY TO DAY	"<div class=""txtsearchsnippet"">... held at Tel Aviv . PRESS INTERVIEW WITH MR <b class=""highlightcolor"">LUKE</b> ON JUNE 20 th . We are requested to ...</div>"
25	pls19350927-01.2.73	27 September 1935	pls	Passport Forgery	"<div class=""txtsearchsnippet"">... various terms of imprisonment by the District Court of <b class=""highlightcolor"">Haifa</b> . on being- found guilty of forgery of <b class=""highlightcolor"">Government</b> ...</div>"
26	plb19280903-01.2.7	3 September 1928	plb	PALESTINE FROM DAY TO DAY	"<div class=""txtsearchsnippet"">... Palestine and Commander-in-Chie ( , _| _1 Harry Chanles <b class=""highlightcolor"">Luke</b> , Officer Administering the _s . ] • jpropriation ...</div>"
27	plb19291225-01.2.1	25 December 1929	plb	Allegations Against The Mufti . Sir Boyd Merriman _' s Amazingly Outspoken	"<div class=""txtsearchsnippet"">... s of the Official _bulletins to to Mr . <b class=""highlightcolor"">Luke</b></div>"
28	newpalestine19300725-01.2.7	25 July 1930	newpalestine	SECOND SESSION	"<div class=""txtsearchsnippet"">... A. Goldenberg, Minneapolis; Isidore Hassin, Brooklyn; J. B. Kalmenson, <b class=""highlightcolor"">St.</b> Paul; Morris Keller, New York; Simon J. Levin, Baltimore; ...</div>"
