n	id	date	publication	title	snippet
22	hadoar19470509-01.1.5	9 May 1947	hadoar	Page 5	"<div class=""txtsearchsnippet"">... של אצ״ל, שנדונה למאסר שבע שנים והצליחה לברוח מתוך <b class=""highlightcolor"">בית־החולים הממשלתי</b> שבתוך ""מצודת ירושלים"", המוקפת שערי־ תייל וגדרי־תייל ומכוניות ...</div>"
23	hayomjlm19481122-01.1.1	22 November 1948	hayomjlm	Page 1	"<div class=""txtsearchsnippet"">... לא להעברת ציודו. הנימוק של השלטונות היהודים הוא כי <b class=""highlightcolor"">בית־החולים הממשלתי</b> חייב להשאר במצבו הקודם כדי למסור אותו, בבוא ...</div>"
24	haolam19480108-01.1.13	8 January 1948	haolam	Page 13	"<div class=""txtsearchsnippet"">... מלוך, שנהרג מן היריות בשיך נ'ראח. במו כן נמצאת <b class=""highlightcolor"">בית־החולים הממשלתי</b> גופת ערבי שלא זוהתה וערבי כשם ג'אבר סלימן ...</div>"
25	ahr19470321-01.1.10	21 March 1947	ahr	Page 10	"<div class=""txtsearchsnippet"">... בידי יהודי שנפצע ונאסף אל בית־חולים צבאי ומשם אל <b class=""highlightcolor"">בית־החולים הממשלתי.</b> המקרה קרר, ברח' םירקין. הפצצה התפוצצה בידי בחור ...</div>"
26	haretz19470423-01.1.6	23 April 1947	haretz	Page 6	"<div class=""txtsearchsnippet"">... של קדושי תרצ""ו—תרצ""ם. הלוית השלושה יצאה מחדר המתים של <b class=""highlightcolor"">בית־החולים הממשלתי</b> בירושלים תחת משמר חזק ביותר של צבא ומשטרה, ...</div>"
27	hegeh19470212-01.1.1	12 February 1947	hegeh	Page 1	"<div class=""txtsearchsnippet"">... הצבור ?השתתף בהלויה. ב־l o לפני הצהרים נתאספו לפני <b class=""highlightcolor"">בית־החולים הממשלתי</b> בבת־גלים משלחות מטעם הסוכנות היהודית, הקהילה העברית בחיפה, ...</div>"
28	dav19330512-01.1.4	12 May 1933	dav	Page 4	"<div class=""txtsearchsnippet"">... שאר סוגי התושבים חוש‭ - . -‬שים לפנות אל <b class=""highlightcolor"">בית־החולים הממשלתי‭,</b> (‬ ובינתים הולך ?ורב בישוב, טםפר: ד‭&gt;'‬מ_?רים של ...</div>"
29	hegeh19460916-01.1.1	16 September 1946	hegeh	Page 1	"<div class=""txtsearchsnippet"">""א־דיפאע"" מודיע, כי על <b class=""highlightcolor"">ביתהחולים הממשלתי</b> הושם משמר חזק מחשש שיתקיפוהו כדי להוציא את ...</div>"
30	dav19480125-01.1.4	25 January 1948	dav	Page 4	"<div class=""txtsearchsnippet"">לפני -שלינה שטעית עזבו גל העלב־ דים _הימורים את <b class=""highlightcolor"">בית־החולים הממשלתי</b> בחיפה ועד עתה לא נעשו שם כל סידורי ...</div>"
31	tsohorayimhaifa19460502-01.1.1	2 May 1946	tsohorayimhaifa	Page 1	"<div class=""txtsearchsnippet"">... משלם המסים היהודי נודע לנו, כי הספק לחלב של <b class=""highlightcolor"">בית־החולים הממשלתי</b> בחיפה — הסוחר מר בוטג׳י, ממציא לבית חולים ...</div>"
32	itonmeyuhad19340814-01.1.1	14 August 1934	itonmeyuhad	Page 1	"<div class=""txtsearchsnippet"">... את] רטרגדיה הנוראה של מיתת בני. מקים הטרגדיה : <b class=""highlightcolor"">בית־החולים הממשלתי</b> ביפי. הזמן ; יולי־איגוסש 4כ19• המשתתפים : אחיות ...</div>"
33	hashaharerev19401227-01.1.1	27 December 1940	hashaharerev	Page 1	"<div class=""txtsearchsnippet"">... הפלאים ־המתרחשים רק לעתים רחוקות, נלקחו למחלקת היולדות של <b class=""highlightcolor"">בית־החולים הממשלתי</b> בחיפה. לשניהם גוסית שלמים ושום אבר אינו נעדר ...</div>"
34	hayomjlm19480903-01.1.4	3 September 1948	hayomjlm	Page 4	"<div class=""txtsearchsnippet"">... השירות הרפואי לשעבר, ביניהם קצין הרפואה הראשי, ומנהלים את <b class=""highlightcolor"">בית־החולים הממשלתי</b> ביפו המשמש בעיקר את שבויי המלחמה הערביים. המו״מ ...</div>"
35	ahr19480504-01.1.3	4 May 1948	ahr	Page 3	"<div class=""txtsearchsnippet"">... המדינה היהודית, חידוש ואירגון בשירותי הדואר, הטלפון והרכבת, העברת <b class=""highlightcolor"">בית־החולים הממשלתי</b> לרשות עיריית חיפה.</div>"
36	haretz19430708-01.1.3	8 July 1943	haretz	Page 3	"<div class=""txtsearchsnippet"">... ולמה אין הממשלה פו־ I תחת כבר כעת את <b class=""highlightcolor"">בית־החולים הממשלתי</b> י בתל־אביב (הכוונה לביה""ח ""הירקון"") — כפ־ שהובטח ...</div>"
37	dav19360824-01.1.10	24 August 1936	dav	Page 10	"<div class=""txtsearchsnippet"">רי8ליסטי1ת י1תר מדאי. המישל הבטיח לעץ בךרישה להרחיב את <b class=""highlightcolor"">_בית־החולים _הממשלתי</b> החן_^ש קזהול: מ בדיך _ןתח־תקוה ולהעביר ?שם את ...</div>"
38	haretz19381223-01.1.1	23 December 1938	haretz	Page 1	"<div class=""txtsearchsnippet"">חנוכת <b class=""highlightcolor"">בית־החולים הממשלתי</b> בחיפה</div>"
39	hayomjlm19480426-01.1.1	26 April 1948	hayomjlm	Page 1	"<div class=""txtsearchsnippet"">דגל הצלב האדום הונף אתמול מעל לחמשת הבניינים של <b class=""highlightcolor"">בית־החולים הממשלתי</b> (שבמגרש הרוסים) בירושלים. הנהלת בית־החולים נימסרה להסתדרות הרופאים ...</div>"
40	ahr19470720-01.1.1	20 July 1947	ahr	Page 1	"<div class=""txtsearchsnippet"">... 1832 גברים‭1602, ‬ נשים‭955, ‬ ילדים. החולים שנשלחו אל <b class=""highlightcolor"">בית־החולים הממשלתי</b> הם ל1 גברים' 0נ נשים וילד אחד‭22. ‬ ...</div>"
41	ahr19440920-01.1.4	20 September 1944	ahr	Page 4	"<div class=""txtsearchsnippet"">... _זורבעה חד לי דבר הובאו בימים תץ. הרוניפ אל <b class=""highlightcolor"">בית־החולים הממשלתי</b> בחיפה. 2 מהם מתו. מיםפו מתי הדבר עד ...</div>"
42	ahr19430903-01.1.7	3 September 1943	ahr	Page 7	"<div class=""txtsearchsnippet"">... , ירו בו ופצעוהו. הפצוע ד. ־ בל אד <b class=""highlightcolor"">בית־החולים הממשלתי.</b></div>"
43	ahr19451202-01.1.4	2 December 1945	ahr	Page 4	"<div class=""txtsearchsnippet"">... ו' בקטר בשטח הנמל. ד חיילים שנפצעו, נאספו אל <b class=""highlightcolor"">_בית־החולים הממשלתי.</b> הנהג, יתודי , שנפצע אף הוא, נעצר לצורכי ...</div>"
44	haretz19460925-01.1.8	25 September 1946	haretz	Page 8	"<div class=""txtsearchsnippet"">... נתן כהן בן ‭, 20‬ נשאר במחלקה הכירורגית של <b class=""highlightcolor"">בית־החולים הממשלתי</b> בחיפה. יש מקווים, כי ל־4 המעפילים האלו יורשה ...</div>"
45	haretz19430820-01.1.5	20 August 1943	haretz	Page 5	"<div class=""txtsearchsnippet"">... צבורית ע רבית מקו מס' 5 (חיפה המזרחית — <b class=""highlightcolor"">בית־החולים הממשלתי)</b> ברחוב יפו. היה בן ‭, 68‬ מיוצאי באר ...</div>"
46	hbkr19391012-01.1.5	12 October 1939	hbkr	Page 5	"<div class=""txtsearchsnippet"">... וכל הייחיות 6 0 בבית חדש שבפרדס־כץ (תל־אפדיםז מאחר־ <b class=""highlightcolor"">בית־החולים הממשלתי,</b> % 6 בשכר של 2 לא""י לחודש X ...</div>"
47	hmf19431223-01.1.4	23 December 1943	hmf	Page 4	"<div class=""txtsearchsnippet""><b class=""highlightcolor"">בית־החולים הממשלתי</b> למושבות יופעל באמצע יבואר</div>"
48	hmf19390423-01.1.4	23 April 1939	hmf	Page 4	"<div class=""txtsearchsnippet"">אסופי בליל ששי נמצא ליד <b class=""highlightcolor"">בית־החולים הממשלתי</b> ילד בן 3 חדשים. זהותו טרם נקבעה‭-. ‬- ...</div>"
49	itonmeyuhad19340728-01.1.2	28 July 1934	itonmeyuhad	Page 2	"<div class=""txtsearchsnippet"">... מות -אין ביה״ח ""הדסה"" מקבל את החולה הזה ואפילו <b class=""highlightcolor"">בית־החולים הממשלתי</b> מסרב לקבל את החולה, שכן שחפני הנהי. ומה ...</div>"
50	ahr19480606-01.1.2	6 June 1948	ahr	Page 2	"<div class=""txtsearchsnippet"">... מיסות ציבוריות. לאוד עובדה זאת גדול מאוד ערכו של <b class=""highlightcolor"">_בית־החולים הממשלתי</b> אשר הוחזק ע""י השלטון הבריטי בשפל המדרגה, משום ...</div>"
51	dav19360818-01.1.7	18 August 1936	dav	Page 7	"<div class=""txtsearchsnippet"">... ‭"" "" ?!:‬ כי בשעה ששתי צעירות עמדו :צער <b class=""highlightcolor"">בית־החולים הממשלתי</b> ביפו נפי. ע_$ ביריות. אחת נהרגה ואחת נפצעה ...</div>"
52	haretz19461101-01.1.6	1 November 1946	haretz	Page 6	"<div class=""txtsearchsnippet"">... שונים בעיר. ביהוד הוגברה השמירה על מגרש־הרוסים בו נמצא <b class=""highlightcolor"">בית־החולים הממשלתי.</b> נערכו חיפושים ונבדקו תעו־ מת הזהות אצל כל ...</div>"
53	haretz19380627-01.1.1	27 June 1938	haretz	Page 1	"<div class=""txtsearchsnippet"">... שבת, סכ־וך ?חצות, חדרו עני ערבים מזוינים באקדחים למסדרון <b class=""highlightcolor"">בית־החולים הממשלתי</b> הסמוך ?רחוב ההר, וירו דרך אחד החיצונות ?תוך ...</div>"
54	hbkr19460714-01.1.1	14 July 1946	hbkr	Page 1	"<div class=""txtsearchsnippet"">הועבר למתלקה הבריטית של <b class=""highlightcolor"">בית־החולים הממשלתי</b> ?</div>"
55	hmf19470516-01.1.7	16 May 1947	hmf	Page 7	"<div class=""txtsearchsnippet"">... מן המושבות הסמוכות לתל אביב תיפתח בעוד שבועיים ב־ <b class=""highlightcolor"">_בית־החולים הממשלתי</b> ""הירקון"" בת""א. מטרת המחלקה החדשה היא להקל על ...</div>"
56	ahr19461128-01.1.4	28 November 1946	ahr	Page 4	"<div class=""txtsearchsnippet"">... ""הברא קדיש‭""*‬ בחי ־ פה ודרשו מהם ללכת אל <b class=""highlightcolor"">בית־החולים הממשלתי</b> , כדי לקבור את שני החללים מבין המעפילים. ...</div>"
57	ahr19470209-01.1.4	9 February 1947	ahr	Page 4	"<div class=""txtsearchsnippet"">... ‬ מהנפגעים הם ילדים — מוסרת לשכת המודיעין הממשלתית. <b class=""highlightcolor"">_בית־החולים הממשלתי</b> בחיפה מוסר על ארבע תאונות דרכים שאירעו היום, ...</div>"
58	ahr19470122-01.1.4	22 January 1947	ahr	Page 4	"<div class=""txtsearchsnippet"">ד""ר שמעון כמש מנהל <b class=""highlightcolor"">בית־החולים הממשלתי</b> ""הירקון"" _בתל־אביב הועלה בדרגה ונשלח לאנגליה להשתלם במקצוע ...</div>"
59	ahr19470416-01.1.1	16 April 1947	ahr	Page 1	"<div class=""txtsearchsnippet"">קהל, ביניהם _מבתי־החרושת, נהרו אל <b class=""highlightcolor"">בית־החולים הממשלתי'</b> שמשם יצאה ההלווייה. הגי ודיית, שהיו עטופות דגלי ...</div>"
60	ahr19460726-01.1.8	26 July 1946	ahr	Page 8	"<div class=""txtsearchsnippet"">וקרובים צפופים ליו <b class=""highlightcolor"">בית־החולים הממשלתי,</b> שהנר מהוד המטרד. לחללים המובאים במכוניות _הצלב־האדופ. הקבובים ...</div>"
61	ahr19460616-01.1.4	16 June 1946	ahr	Page 4	"<div class=""txtsearchsnippet"">... _ברחרב טבריה. קצין המחוז נפצע בירייה בצווארו ונאסף אל <b class=""highlightcolor"">_בית־החולים הממשלתי.</b> מצבו אינו קשר, ליד _מקוס ההתנקשות נמצא אקווה.</div>"
62	ahr19470918-01.1.3	18 September 1947	ahr	Page 3	"<div class=""txtsearchsnippet"">... דקרו 3 דקירות בגבו‭2. ‬ הפצועים נאספו אל ו <b class=""highlightcolor"">בית־החולים הממשלתי</b> בחיפה. מצבם I אינו מסוכן. כוועדת התרבות שליד ...</div>"
63	ahr19470722-01.1.4	22 July 1947	ahr	Page 4	"<div class=""txtsearchsnippet"">... מוחמד, בן ‭, 23‬נפצע ביריד. בירך. הס הובאו אל <b class=""highlightcolor"">_בית־החולים הממשלתי</b> ומצבם משי חפר. בםטלדי מאריס נהרםר בניינים. לשני ...</div>"
64	ahr19471106-01.1.3	6 November 1947	ahr	Page 3	"<div class=""txtsearchsnippet"">... 2 ערבים, שנדקרו בסכינים בקטטות, הובאו ביום ג' אל <b class=""highlightcolor"">בית־החולים הממשלתי</b> בחיפה. שכד דל‭. _/, ‬גנב ונעצר פקודת־מעצר לשבועיים ...</div>"
65	ahr19480114-01.1.4	14 January 1948	ahr	Page 4	"<div class=""txtsearchsnippet"">... 1 בצהריים, מ""הדסה‭. ""‬ הערב התקיפו ערבים ביריות את <b class=""highlightcolor"">_בית־החולים הממשלתי</b> לחולי־רוח בחולון. ההתקפה ארכה זמן ממושר.</div>"
66	ahr19431011-01.1.3	11 October 1943	ahr	Page 3	"<div class=""txtsearchsnippet"">התנגשות והפלה אמבולנס של <b class=""highlightcolor"">_בית־החולים הממשלתי</b> נתחלק והתנגש במכונית טאקסי. בהו־ רה שעמדה לשכור ...</div>"
67	ahr19430817-01.1.3	17 August 1943	ahr	Page 3	"<div class=""txtsearchsnippet"">... שי פישט־ יד ערבי. זהותו לא נקבעה הועבר אל <b class=""highlightcolor"">בית־החולים הממשלתי.</b> בסביבות עכי פגעה מכונית צבאית בחםן אחמד _שהאדה, ...</div>"
68	dav19370618-01.1.19	18 June 1937	dav	Page 19	"<div class=""txtsearchsnippet"">סופרנו בחיפה מודיע: התחילו העבודות בבנין <b class=""highlightcolor"">בית־החולים הממשלתי</b> בבת גלים. העבודה ־ נמסרה, כידוע, ל "" ...</div>"
69	dav19350818-01.1.6	18 August 1935	dav	Page 6	"<div class=""txtsearchsnippet"">... ה' אחת""צ על אליאש פאל־ס מירושלים, שהובא פצוע אל <b class=""highlightcolor"">בית־החולים הממשלתי‭..</b> ‬הנהג ועוזרו י הערבי מונים נאסרו והוצאו בערבז-ת. ...</div>"
70	haretz19390912-01.1.4	12 September 1939	haretz	Page 4	"<div class=""txtsearchsnippet"">... ומכונות הכיבוי של העיריה. עברו בר־ הובות מכוניות של <b class=""highlightcolor"">בית־החולים הממשלתי</b> ופג ד. א. , בדי לתת עזרה לנפגעים• ...</div>"
