date	admissions	injuries	died	baseline	ratio	religions	sexes	age_range	diagnoses	press
1933-10-28	16	13	2	1.1	11.4	Muslim:13	Male:13	8-70	Bullet Wound of Right Chest and Abdomen | Bullet Wound of Left Leg and Right Thigh | Bullet wound Lt. ankle | Contusion of Right Lower Jaw (No Fracture) | Bullet Wound of Left Foot | Bullet Wound of Left Leg, Amputation of Foot (Gas Gangrene,  | Bullet Wound of Right Thigh | Bullet Wound of Right Elbow Joint, Right Arm	[1933-10-30 falastin] …ابها مجمع الاعانات لعائلات المصابين نابلس - حلق في سماء نابلس ثلاث طيارات وكان لزيزها يعم الاذان تا بلس - زرت الجرحى في المستشفى الوطني ووجدت ان صحة السيد عزمي قرقش غير حسنة ودرجة الحرارة اربعون وحال
1938-07-06	46	34	1	1.4	25.1	Muslim:28, Christian:3, ?:3	Male:33, Female:1	9-55	Multiple Shrapnel wounds of body×2 | Gunshot wounds. Left leg & wound | Comp. fract. Septic Multiple wounds Pleurisy | Bullet wound. Left Shoulder Penetrating Through Bronchial | Penetrating wound of Abdomen - Laparatomy|Penetrating Abdomi | Bruises & wounds of legs. | Penetrating Wound of abdomen | Wounds ankles & Rt head	[1938-07-07 difaa] …رات ناريه في الساعة الواحده من صباح اليوم بالقرب من جسر المصراره بالقرب من صارونا . السباعية الأخيرة اخر احصاء عن فاجعة حيفا ١ - في مستشفى الحكومة : ٣٣ مصاباً بينهم ٧ في حالة خطرة . ٢ - في المستشفى ا || [1938-07-07 difaa] …البحث عنه خلال الايام القليلة الماضية . وجود الجنة وقد وجد معلقاً من عنقه في شجرة وأطلقت عليه العيارات النارية ونقل الى المستشفى في حيفا . في الساعة الثانية وفيها بلي نروي آخر احصاء تمكنا عن الوصول ا || [1938-07-07 difaa] …ها بوكر ... انه يعتقد أنه من المساحين قد قتلوا وجرح آخرون . وقد أصيب جندي بريطاني وخفير يهودي بجراح خفيفة ، فادخلوا الى المستشفى الحكومي بحيفا وفيها لي البيان الذي أصدرته الحكومة عن هذا الحادث : اشتب || [1938-07-07 falastin] …غه في رأسه وكذلك اصيب صاحب السيارة واسمه حاييم يلوم بجراح بسيطه وقد ضاعف السائق السرعه وذهب الى العفولة حيث ادخل الجرحى المستشفى هناك السائق العربي .. العثور عليه مشنوقا قرب مستعمرة حيفا في ٦ تموز ، 
1938-07-25	25	25	6	1.1	21.9	Muslim:20, ?:3, Christian:2	Male:24, Female:1	11-50	Penetrating wound of Abdomen×2 | Lacerated wound of body | Compound fracture of Right Femur, amputation | Compound comminuted fracture of Right Femur and Pulmonary Tu | Compound fracture of Right Femur | Compound fracture of Right Humerus | Shrapnel Wounds of Right arm and leg | Compound fracture of left thigh and leg	[1938-07-26 difaa] … الى حيفا لتطبيق نظام منم التجول هناك نهاراً طلب محمد ضات وطلب من مستشفى الحكومة بيافا ارسال عدد من الممرضات الى مستشفى حيفا للمساعدة على خدمة الجرحى الذين غص بهم المستشفى هناك المنشية الفرقا وزار فض || [1938-07-26 difaa] … والبوليس والجند كما اشتركت عدة سيارات تابعة لشركات الباصات الوطنية والسيارات الخاصة وكانت هذه السيارات تنقل الجرحى إلى المستشفيات الثلاثة في حيفا وهي الالماني والايطالي والحكومي ٤٨ قتيلا وكما ذكرت س || [1938-07-26 difaa] …عبود من شفا عمرو ، صالح سعيد عوده من طولكرم ، حسن مصطفى ت ستيتية من هكا ، يوسف ابو جاموس من الطيره : محمود احمد عباس من حيفا. المستشفى الايطالى ونقل الى المستشفى الايطالي كل من عزام عبد الله شوفان من || [1938-07-26 difaa] …بلس ، احمد محمود عرابه من حرب الرمل ، علي حسين الصفوري من عكا ، عبد الله كامل هدهد من نابلس المستشفى الاطالى ب ونقل الى المستشفى الالماني كل من رامز استيتية من عكا ، ابراهيم صالح من مكا ، مومى الحاج 
1938-09-30	26	9	1	2.5	3.5	Christian:5, Muslim:4	Male:8, Female:1	12-47	Penetrating Wound Lung Left | Penetrating Bullet Wound Right Elbow | Fracture Osteomyelitis Tarsal Bones Right Foot | Compound fracture right side skull | Bruises face | Drug Poisoning | Gent. Bullet wound of abdomen | Bruises and Abrasions	
1939-02-27	35	30	5	1.8	16.5	Muslim:27, Christian:3	Male:24, Female:6	7-57	Penetrating Bomb Wound of Abdomen×3 | Compound Comminuted fracture /Left leg | Bomb Wounds of Lower Extremities and Ankylosis | Penetrating Bomb Wound, Right Leg | Bomb Wound, Right Side of Neck, Operation | Shrapnel Wound, Right Thigh, Operation | Bomb Wound, Left Knee and Right Shoulder, Operation | Penetrating Bomb Wound of Right Flank and Thigh	
1939-06-19	14	14	3	0.5	26.1	Muslim:11, Christian:3	Male:12, Female:2	12-52	Cerebral Concussion | Fracture of Left Carpal Bones | Penetrating shrapnel wounds. of abdomen & Injury to the Bowe | Penetrating Shrapnel Wound of the abdomen. Operation. | Shrapnel Wounds of Chest and Head | Compound Depressed Skull Fracture | Bomb Wounds of Left Thigh | Shrapnel Wound Chest and Abdomen	[1939-06-20 falastin] …يل ابراهيم خليل . بلد الشيخ - وعزيز منصور - يافا ومحمد حسن سليمان - اجزم - ومطلق خليل فويتر - غزة - وصالح علي الناطور - حيفا - وخديجه مراد - سمسم - محمد ، ام وفاطمة علي ، الياجور ، ومريم الزينات - وم || [1939-06-20 falastin] …بقية المنشور على الصفحة الاولى المطورة ، خضر حامد اشتيه من حمام فى المستشفى الاطالى وفي المستشفى الالماني السادة : محمود الاسود - حيفا وعلي احمد اشته من حيفا فى البلاغ الرسمي وقد جاء في بلاغ مكتب الا || [1939-06-20 falastin] …ن نابلس ومريم بنت حسن من سمع یهودی مستطلع و بعد حادث الانفجار دخل يهودي يدعى الفرد كو من غرفة الموتي في مستشفى الحكومة بحيفا والاعتقد أن زيارة هذه كانت للاستطلاع فهاجمه النساء العربيات و او سمنه ضربا
1944-10-31	24	11	0	1.1	9.6	Muslim:9, Christian:2	Male:8, Female:3	18-50	Fracture Rt. Clavicle×2 | Chilblains×2 | Bruises of Body | Concussion, Head Injury | Concussion Legs | Bruises: Left Chest and Bladder | Fracture Left Humerus | Fracture Tibia & Fibula Amoebic Hepatitis	
1946-06-18	33	14	1	2.0	7.0	Jewish:10, Muslim:4	Male:11, Female:3	11-74	Wound back Bullet & other L. L. | Compound fracture of wrist and Fall | Compou fract foot (Bullet) | Multiple Wounds + Rt. Femur | Large Lac Wd Rt. Thigh | Lac. Wds + fract. skull + pellet | B. Concussion B. Wds Chest | Multiple Lacerated Wounds of both knees	[1946-06-20 falastin] …عد ۲۰ مترا عن خط السكة عند الكيلو ٩٦ والمظنون ان الغرض منها كان اشعال النار في قطار يحمل بنزينا جريح جديد من الارهابيين حيفا في ١٩ حزيران - لمراسل فلسطين الخاص - نقل اليوم إلى مستشفى الحكومة سجين من  || [1946-06-21 falastin] …ن الادارية | سقوط خفير عن السطح سقط احد الخفراء عن سطح معسكر للبوليس فاصيب بجراح استدعت نقله الى مستشفى الحكومة قائمقام حيفا - . حيفا في ٢٠ حزيران - لمراسل فلسطين الخاص - ينتظر ان يغادر السيد رفيق بي || [1946-06-21 falastin] …لة الملك عبد الله . وقد القى فضيلة رئيس الغرفة بين يديه كلمة تناسب المقام و شمل جلالته الوفد برعايته جرحى الارهابيين فى المستشفى . حيفا في ٢٠ حزيران - لمراسل فلسطين الخاص - نقل اليوم الى مستشفى الحكو
1947-05-05	36	16	1	3.5	4.5	Jewish:11, Muslim:4, Christian:1	Male:15, Female:1	2-33	Phot. W.S. Both Thighs. | Phot.W.S.Abdomen Lt. Shoulder Rt. Forearm Lt. Wrist Lt. Butt | Comp. Shattered Fract. of Rt Elbow | Gun shot W.S. of Chest | Phot. W.S. Rt. Buttock Lt. Forearm. | Phot. W.S. Lt. Leg & Rt. Thighs. | Phot. W.S. Rt. Thigh. | Punc. W. Abdomen (Oper.) Bowel Injury	[1947-05-08 falastin] … المجاورة ولم ينجح الجنديان اللذان طارداه في اعتقاله واسكن القى القبض على جودي اخر كان في السيارة المسروقة. وقد نقل الى المستشفى الحكومي بحيفا للمعالجة تحت الحراسه والتحقيق معه حين تتحسري حالته الخطو
1947-06-05	30	8	1	1.9	4.3	Muslim:8	Male:6, Female:2	6-40	Bruises, Head Injury | Chilblains N. | Fracture, Injured Right Leg | Deep Burn L.Thigh. | Cont. L. Thigh Aut | Tenches. Stab W. Back | Contusion Right Thigh and Foot | Bruise Right Leg	"[1947-06-06 falastin] …ادث وضع الالغام و نسف هذا الخط ، وقد عادت قطارات بين يافا والله حتى البضائع يوم أمس إلى حركتها المعتادة "" اصابة عربي في حيفا D قالت ( البوست (في الساعة السابعة من مساء امس - الاربعاء - اصيب المدعو جم || [1947-06-09 difaa] …ا من قرية الطيرة ، قضاء حيفا ، بقضيب حديدي على رأسه ثم طعن الثاني الاول بسكين في ظهره و نقل الشخصان الى مستشفى الحكومة بحيفا وعرف ان حالة محمد عبد الله سعد خطرة أما الجريح فقد غادر المستشفى بعد تضميد"
