id	date	pub	title	gap	nearest	rivals	chars	band	new	forms
haretz19360923-01.2.18	1936-09-23	haretz	"מאשש ברצח יהי־ סולר לני־""־ לsשעיפ חמורים"	20	haifa		930	near	seen	spelled
dav19360925-01.2.33	1936-09-25	dav	"""וכול"" ישראל את חלליו,קדושי תרצ""ו בארק-ישראל"	730	jaffa	hadassah	22551	far	new	spelled
haretz19361016-01.2.59.3	1936-10-16	haretz	Page 8 Advertisements Column 3	20	haifa	rothschild	2152	near	seen	spelled
haretz19361023-01.2.53	1936-10-23	haretz	בתי־פה	80	haifa		4264	near	seen	spelled
haretz19370214-01.2.17	1937-02-14	haretz	רצח ושוד בכל הארץ	118	haifa		2337	near	seen	maqaf
dav19370307-01.2.11	1937-03-07	dav	התפוצצות בבית מ&#8237;_8?&#8236;כה לפצצות	339	haifa		475	far	seen	spelled
dav19370330-01.2.3	1937-03-30	dav	פצצות בשכם וסביבתה	456	nablus		1122	far	new	spelled
haretz19370408-01.2.84	1937-04-08	haretz	בירושלים	279	jerusalem		658	far	new	spelled
dav19370412-01.2.55.4	1937-04-12	dav	Page 5 Advertisements Column 4	127	jerusalem	rothschild	2769	near	seen	spelled
haretz19370425-01.2.52	1937-04-25	haretz	בחיפה	15	haifa		5312	near	seen	abbreviated
haolam19370617-01.2.10	1937-06-17	haolam	.באדךיסזדאל	20	haifa		13265	near	seen	maqaf
dav19370618-01.2.93	1937-06-18	dav	התחלת עבודה	33	haifa		179	near	seen	maqaf
dav19370621-01.2.36	1937-06-21	dav	חי פ ה - ע י ר ה מ ם ר ?	512	acre		9698	far	seen	spelled
dav19370625-01.2.25	1937-06-25	dav	ן התווה הממשלה הבריטית בקני ?חבה'ל ע7 המאורעות39 הערבים תרח נענו מיד _	6448	jaffa		17285	far	new	spelled
haolam19370715-01.2.12	1937-07-15	haolam	המצב הכלכלי וענייני העבודה	187	telaviv		8132	far	new	maqaf
dav19370729-01.2.76	1937-07-29	dav	מוחים	24	haifa	english	622	near	seen	maqaf
dav19370905-01.2.129	1937-09-05	dav	מתור העתונות הערבית הורעה חושה על פוס 500 לא''י נרפא	20	haifa		3191	near	seen	spelled
dav19370905-01.2.71	1937-09-05	dav	"ה ה סתדרותבשנת תר צ"" ז"	120	jaffa		33629	near	seen	spelled
dav19370910-01.2.77	1937-09-10	dav	"ההסתדרות בשנת תרצ""ז"	248	jerusalem		28709	far	new	spelled
dav19370930-01.2.91	1937-09-30	dav	ח י פ ה	645	haifa		1563	far	new	spelled
dav19371003-01.2.42	1937-10-03	dav	על דוכי הביקורת מבפנים	171	acre		4260	far	new	spelled
haolam19371111-01.2.6	1937-11-11	haolam	באדךיסזדאל	21	haifa	english,hadassah	34574	near	seen	maqaf
dav19371117-01.2.67.2	1937-11-17	dav	Page 5 Advertisements Column 2	15	haifa		158	near	seen	abbreviated
