n	id	date	publication	title	snippet
1	hzh19381113-01.2.50	13 November 1938	hzh	בית החולים הממשל_^תי החדש	"<div class=""txtsearchsnippet""><b class=""highlightcolor"">בית החולים הממשל_^תי</b> החדש</div>"
2	hegeh19460916-01.2.16	16 September 1946	hegeh	משמד על בית החולים הממשלתי	"<div class=""txtsearchsnippet"">משמד על <b class=""highlightcolor"">בית החולים הממשלתי</b></div>"
3	omer19390625-01.2.9	25 June 1939	omer	בית החולים הממשלתי למחלות מידבקות ניחעליס	"<div class=""txtsearchsnippet""><b class=""highlightcolor"">בית החולים הממשלתי</b> למחלות מידבקות ניחעליס</div>"
4	hegeh19461101-01.2.11	1 November 1946	hegeh	משמרות על בית החולים הממשלתי בירושלים	"<div class=""txtsearchsnippet"">משמרות על <b class=""highlightcolor"">בית החולים הממשלתי</b> בירושלים</div>"
5	hbkr19381118-01.2.28	18 November 1938	hbkr	בית החולים הממשלתי בחיפה ן י	"<div class=""txtsearchsnippet""><b class=""highlightcolor"">בית החולים הממשלתי</b> בחיפה ן י</div>"
6	hbkr19381223-01.2.57	23 December 1938	hbkr	! טכס הנוכת בית החולים הממשלתי בחיפה ו	"<div class=""txtsearchsnippet"">! טכס הנוכת <b class=""highlightcolor"">בית החולים הממשלתי</b> בחיפה ו</div>"
7	dav19480620-01.2.42	20 June 1948	dav	ת י .פ ה י . בית החולים הממשלתי בחיפה מתארגז מחדש	"<div class=""txtsearchsnippet"">ת י . פ ה י . <b class=""highlightcolor"">בית החולים הממשלתי</b> בחיפה מתארגז מחדש</div>"
8	haretz19431028-01.2.49	28 October 1943	haretz	בית החולים הממשלתי למושבות בתל אביב ייפתח בדצמבר	"<div class=""txtsearchsnippet""><b class=""highlightcolor"">בית החולים הממשלתי</b> למושבות בתל אביב ייפתח בדצמבר</div>"
9	itonmeyuhad19340814-01.2.10	14 August 1934	itonmeyuhad	"מוראות בית■ החולים הממשלתי ביפו ילד חולה עבר גדי בקפיצה להמלט מפני אכזריות האחות הרחמניה ש״טיפולה"" קירב את מותו אנו דורשים חקירה נמרצת"	"<div class=""txtsearchsnippet"">מוראות <b class=""highlightcolor"">בית■ החולים הממשלתי</b> ביפו</div>"
10	hmf19480810-01.2.35	10 August 1948	hmf	_הובטחה הכשרות בבתי חולים _ובבתי־עולימ	"<div class=""txtsearchsnippet"">... הלאה לעזרה לרבנות הראשית בסידור עניני הכשרות ועניני הדת. <b class=""highlightcolor"">בית החולים הממשלתי</b> למחלות מידבקות בפרדם כץ הוכשר כדין, ועכשיו ...</div>"
11	itonmeyuhad19480213-01.2.4	13 February 1948	itonmeyuhad	היספקו דם יהודי לריפוי רוצחי עמנו	"<div class=""txtsearchsnippet"">... גונבה שמועה שהבהלת בית החולים ""הדסה"" בירושלים בענתה לבקשת <b class=""highlightcolor"">בית החולים הממשלתי</b> בנידון תרומת דם. השאלה היא: האם ■הנהלת ...</div>"
12	hzh19480809-01.2.73	9 August 1948	hzh	כשרות בבתי החולים הממשלתיים ובבת יי העול ם	"<div class=""txtsearchsnippet"">... לרבנות‭/, ‬ ־ראשית בסידור ענייני הכשרות . וענייני הדת <b class=""highlightcolor"">בית החולים הממשלתי</b> למחלות מדבקות בפר־ דס כץ, הוכשר כדין, ...</div>"
13	yomyom19480805-01.2.55	5 August 1948	yomyom	אין מחלות מדבהרת ביפר	"<div class=""txtsearchsnippet"">... א. קצנלסון וד״ר שטרנברג, ביקרו בלווית המושל הצבאי את <b class=""highlightcolor"">בית החולים הממשלתי</b> ביפו שבו נמצאים חולים ופצועים מהצבא המצרי ...</div>"
14	hmf19480425-01.2.70	25 April 1948	hmf	2 יהודים נהרגו ביום ר בירושלים	"<div class=""txtsearchsnippet"">... ירו מבשק קל ותותחים על ""צלפים יהודיים"" באזור שייך־ג'ירח. <b class=""highlightcolor"">בית החולים הממשלתי</b> בירושלים - לידי הצלב האדום ההל מהיום ...</div>"
15	hmf19420802-01.2.59	2 August 1942	hmf	200 _$לף זרל!ות נגד טיפוס	"<div class=""txtsearchsnippet"">... הזריקות תעשינה תיבם אין כסף. במקומות דלהלן : בירושלים: <b class=""highlightcolor"">בית החולים הממשלתי</b> , הקליניקה לגברים בכל שעות יום ד. ...</div>"
16	hzh19480428-01.2.24	28 April 1948	hzh	ההגנה קוראת ו לע נ יי חיפה לשוב לבתיהם	"<div class=""txtsearchsnippet"">היישוב מעוניין בהמשכת קיומו של <b class=""highlightcolor"">בית החולים הממשלתי</b> בחיפה מנהל מחלקת הבריאות של הוועד הלאומי, ...</div>"
17	ahr19470725-01.2.70	25 July 1947	ahr	Untitled	"<div class=""txtsearchsnippet"">... לםאויקה סלים בא־ וואן, בת ‭. 18‬הפצועות נאספו אל <b class=""highlightcolor"">בית־ החולים הממשלתי</b> בחיפה. מכונית פוגעת מכונית אזרחית פגעה ביום ...</div>"
18	dav19381222-01.2.83	22 December 1938	dav	הנציב העליון בחיפה	"<div class=""txtsearchsnippet"">אתמול אחה""צ הגיע הנציב העליון לחיפה. הבוקר ישתתף בפתיחת <b class=""highlightcolor"">בית־ החולים הממשלתי</b> החדש בבת גלים.</div>"
19	mar19480504-01.2.7	4 May 1948	mar	ביהי'ח הממשלתי בחיפה - לרשות _דייריה	"<div class=""txtsearchsnippet""><b class=""highlightcolor"">בית החולים הממשלתי</b> בחיפה עבר לרשות עידית חיפה — בחסות ...</div>"
20	haretz19330504-01.2.38	4 May 1933	haretz	נסגר בית זזחן?ים הממשלתי בעכו	"<div class=""txtsearchsnippet""><b class=""highlightcolor"">בית החולים הממשלתי</b> בעכו נסגר לרגלי םירוב תעידיה המקומית לש ...</div>"
21	ahr19470716-01.2.18	16 July 1947	ahr	Untitled	"<div class=""txtsearchsnippet"">... השמאלית, וי ש חשש לשבר בגולגולת. הפצועים נאספו אל <b class=""highlightcolor"">בית־ החולים הממשלתי.</b> זו בקומקום, וזו _בפדימוס ? ילדה בת ...</div>"
22	haretz19471022-01.2.65.3	22 October 1947	haretz	Page 5 Advertisements Column 3	"<div class=""txtsearchsnippet"">... הצעות אפשר לקבל לפי בקשה מאת מנהל המשק של <b class=""highlightcolor"">בית החולים הממשלתי</b> "" בתל־אביב י בין השעות ‭14. 00—8. ...</div>"
23	hbkr19470518-01.2.48	18 May 1947	hbkr	התינוקת הגנובה מחיפה נמצאה בחיק אשר? צועניה גנבה אותה ומכרה בשתי לאיי לעקרה	"<div class=""txtsearchsnippet"">... כי האשד, אינח חאם. בחםוש נתנלו נם החיתולים של <b class=""highlightcolor"">בית החולים הממשלתי.</b> מול הוכחות חותכות</div>"
