n	id	date	publication	title	snippet
22	hbkr19460901-01.2.33	1 September 1946	hbkr	"כל בית־אב - להשלמת לו* ם במצור"" """	"<div class=""txtsearchsnippet"">... וינשטיין הועברה אתמול ממחנה המעפיליפ בעתלית למחלקת האיזולציה של <b class=""highlightcolor"">ביה""ח הממשלתי</b> בחיפה.</div>"
23	hmf19450719-01.2.33	19 July 1945	hmf	&#8237;_ .. &#8236;	"<div class=""txtsearchsnippet"">... וחתך את צוארו בסכין. הפצוע הועבר במצב קשה ?ל' <b class=""highlightcolor"">ביה""ח הממשלתי</b> בחיפה. המתנקש ‭???? ? ??‬ נעל ם־</div>"
24	hmf19450213-01.2.47	13 February 1945	hmf	דןיר &#8237;_) 55 &#8236;	"<div class=""txtsearchsnippet"">... שמו אוסקר הרץ, מרח' אחד־ העם ‭. 11‬אמבולנס של <b class=""highlightcolor"">ביה""ח הממשלתי</b> העבירו במצב של חוסר הכרה לביה""ה. באגודה להשתלמות ...</div>"
25	ahr19481121-01.2.14	21 November 1948	ahr	22 ערבים עברו לעיר־העתיקה ירושלים יום וי היום בצה	"<div class=""txtsearchsnippet"">‭'— ., ‬ ריים עברו 22 ערביפ וערביות, עובדי <b class=""highlightcolor"">ביה""ח הממשלתי,</b> מהאיזור היהודי , דרך בתי מנדלבוים, לעיר־העתיקה. עם ...</div>"
26	hmf19470620-01.2.77	20 June 1947	hmf	פוטרו הרופאים היהודים &#8237;ח''בביה&#8236; הממשלתי	"<div class=""txtsearchsnippet"">... טיהור מחלקות הממשלה מעובדים יהודים קבלו השבוע שני רופאי <b class=""highlightcolor"">ביה""ח הממשלתי</b> בירושלים — הד""ר קא־ האן והד""ר אסטרייכר — ...</div>"
27	hmf19471020-01.2.67	20 October 1947	hmf	אסירים ערביים שוחררו בכוח מידי המשטרה	"<div class=""txtsearchsnippet"">... מחמוד עלי אסאווה, בן ‭, 66‬שהועבר במצב קל ל־ <b class=""highlightcolor"">ביה""ח הממשלתי</b> בחיפה.</div>"
28	hrt19481220-01.2.94	20 December 1948	hrt	התנגשות בין קרונית ! ומכונית ו ו	"<div class=""txtsearchsnippet"">... דרכים אירעה ב־‭12. 30‬ אתמול, ליד מעבר! הרכבת שעי"" <b class=""highlightcolor"">ביה""ח הממשלתי.</b> , קרינ'־. ־:נינד התנגשה במכונית צכאיי;, ובדיצאר. מבן־ ...</div>"
29	hbkr19381227-01.2.17	27 December 1938	hbkr	הועד הלאומי מזוזה	"<div class=""txtsearchsnippet"">... עירית חיפה ביזם ה' ‭22‬ ח""ז בפתיחה החגיגית של <b class=""highlightcolor"">ביה""ח הממשלתי</b> לא תורגמו לעברית. . העובדה יעיל — נאמר ...</div>"
30	hmf19470514-01.2.74	14 May 1947	hmf	_חלקי־גופה של חווני נמצאו בחיפה	"<div class=""txtsearchsnippet"">... המזרחי של _חיפח. חלקי הגוף הועברו להדר המתים של <b class=""highlightcolor"">ביה""ח הממשלתי</b> ושם קבעו כי החלקים האלה הורדו מגופה לפני ...</div>"
31	ahr19470507-01.2.79	7 May 1947	ahr	ברה נהג מכונית גנובה ת אז	"<div class=""txtsearchsnippet"">... ראובן בן יקותיאל סטאן מתי'א — נפצע ונאסף אל <b class=""highlightcolor"">ביה""ח הממשלתי</b> בחיפה, מצבו אינר קשה. הפצוע נעצר לצורכי חקירה. ...</div>"
