n	id	date	publication	title	snippet
23	dav19351208-01.1.1	8 December 1935	dav	Page 1	"<div class=""txtsearchsnippet"">... רבים חם החולים בשכבות הדלות הנשארים בלי עזדת רפואית. <b class=""highlightcolor"">בית החולים</b> החדש שעומדים להתחיל בבנינו לא ייגמר, גם אם ...</div>"
24	dav19360219-01.1.6	19 February 1936	dav	Page 6	"<div class=""txtsearchsnippet"">... בערב אחד בלט _פנטומימה . ביום שלישי‭-25. 2. 36-‬ <b class=""highlightcolor"">בחיפה</b> , יי י נלפ _פנטומימה שתי הצגות בערב אחר</div>"
25	dav19360325-01.1.40	25 March 1936	dav	Page 40	"<div class=""txtsearchsnippet"">־ רומא‭. 23, ‬מבחי'טים רשמית את היריעה על _הניצבת <b class=""highlightcolor"">בית החולים</b> האנגלי ' _ביעילנ'ה‭?, .,. ‬ ט‭. *‬ אדים ...</div>"
26	dav19360601-01.1.2	1 June 1936	dav	Page 2	"<div class=""txtsearchsnippet"">מנהלת <b class=""highlightcolor"">בית החולים</b> הצרפת* ביפו פנתה אל השלטונות בדבר היריות בקרבת ...</div>"
27	dav19360626-01.1.17	26 June 1936	dav	Page 17	"<div class=""txtsearchsnippet"">... הכתב של העתונות הערבית, לקסרקטיט גרושים צבא, את הרוג <b class=""highlightcolor"">בית החולים</b> הספיד עבד א־לטיו_* סלאח. הגופה הועברה לקבא־ טיח ...</div>"
28	dav19360714-01.1.4	14 July 1936	dav	Page 4	"<div class=""txtsearchsnippet"">... קירת _, וו. _יט. ליס‭—., ‬ קובל‭., ‬העובד. על <b class=""highlightcolor"">בית החולים‭..,</b> ‬על העישון. או . על טכשירי</div>"
29	dav19360811-01.1.9	11 August 1936	dav	Page 9	"<div class=""txtsearchsnippet"">... ע""י המועצה לשם החשת העבודות ביהוד לעבודות הגדולות: בני] <b class=""highlightcolor"">בית החולים</b> "" הדסה"" ואפ""ק על פנית מוסרות המועצה לנותני-עכו־ ...</div>"
30	dav19360906-01.1.7	6 September 1936	dav	Page 7	"<div class=""txtsearchsnippet"">... ביריות. ההתקפה נמשכה -שעה ממושכת. זותי ההתקפה השניה על <b class=""highlightcolor"">בית החולים</b> "" משגב לדך‭. ""‬ לאחר שהצבא הח_?להאיר את ...</div>"
31	dav19361018-01.1.7	18 October 1936	dav	Page 7	"<div class=""txtsearchsnippet"">... ואנוווו ‭--‬ך‭--‬ לבני - ן י מא נגשים ל3ני_1 <b class=""highlightcolor"">בית־החולים</b> האוניברסיטאי בירושלים</div>"
32	dav19361110-01.1.3	10 November 1936	dav	Page 3	"<div class=""txtsearchsnippet"">... בי מר ‭;;‬ צימרמן לבין האיגוד למען תוצרת הארץ <b class=""highlightcolor"">בחיפה</b> ולפי זח התחייב לחדול מהזמנות הטרי בנין מחו""ל מאותם ...</div>"
33	dav19370812-01.1.5	12 August 1937	dav	Page 5	"<div class=""txtsearchsnippet"">... , רד כרטיסים _תיאטרוני במחיר _גינזבורג ‭200 — 50‬ <b class=""highlightcolor"">בחיפה</b> מא""י ובהדר בטש־ ן| ‭8 | | | \^‬ ...</div>"
34	dav19371111-01.1.3	11 November 1937	dav	Page 3	"<div class=""txtsearchsnippet"">... הראשונים שהובאו לבית הזח. הוא היה _ממניחי היסוד של <b class=""highlightcolor"">בית החולים</b> והוא נמצא בו ביומו האחרון. המוםד הזה ישמש ...</div>"
35	dav19371220-01.1.3	20 December 1937	dav	Page 3	"<div class=""txtsearchsnippet"">... עבודה ו, ־‭, !‬יטאינג נופל מיתר _ע־. פי הכיבוש <b class=""highlightcolor"">בחיפה.</b> בשעה שמהוסרי עבוד ־ מהלכים בתוכני ואין בידי לשכת ...</div>"
36	dav19380602-01.1.3	2 June 1938	dav	Page 3	"<div class=""txtsearchsnippet"">... עסק "" בשטח יפו, ויעצוני לפנות להדסה. התקשרתי עם <b class=""highlightcolor"">בית החולים</b> ביפו, עם משרר הבריאות ביפו, ענ1 <b class=""highlightcolor"">בית החולים</b> ...</div>"
37	dav19380725-01.1.1	25 July 1938	dav	Page 1	"<div class=""txtsearchsnippet"">... השומרים הארץ ישראליים, אברהם שפירא וקהל מפועלי פ""ת, ליד <b class=""highlightcolor"">בית החולים</b> הספידו קצרות החי וינ־ שטוק. עד הכביש נישא ...</div>"
38	dav19390303-01.1.3	3 March 1939	dav	Page 3	"<div class=""txtsearchsnippet"">הודעות — הגברת, ששבחה <b class=""highlightcolor"">בחיפה,</b> ב־‭27. 2‬ באוטו הפרטי, שהובילה מהדר הכרמל : ‭'. ...</div>"
39	dav19390314-01.1.3	14 March 1939	dav	Page 3	"<div class=""txtsearchsnippet"">... ל־132 אלף לירה לעומת 103 אלף _ב־ד־‭. 1936‬ הוצאות <b class=""highlightcolor"">בית החולים</b> עלו בשנת האחרונה ל־52 אלף לירה. העזרה הסוציאלית ...</div>"
40	dav19390419-01.1.1	19 April 1939	dav	Page 1	"<div class=""txtsearchsnippet"">... במשך החדשים הרבים שטולטלו על פני הים, הישוב העברי <b class=""highlightcolor"">בחיפה,</b> אשר אליו מגיעות הידיעות המחרידות, מזועזע _מי‭-_^‬יר־ת לב זו ...</div>"
41	dav19390525-01.1.3	25 May 1939	dav	Page 3	"<div class=""txtsearchsnippet"">... הנעלים איטה ילין נשיאת חברת ‭,, ‬עזית נשים'־' מייסדת <b class=""highlightcolor"">בית החולים</b> לחולי דור ; ונשיאת _הנניד לאגורת בנות־ ברית ...</div>"
