n	id	date	publication	title	snippet
22	kolisraeljlm19380818-01.1.4	18 August 1938	kolisraeljlm	Page 4	"<div class=""txtsearchsnippet"">... לא״י על בית שאן, חיטין ונמרין. - הקצבים הערכים <b class=""highlightcolor"">בחיפה</b> דרשו מהעיריה לפדר זמנים מיוחדים לשחיטה עבור יהודים וערבים, ...</div>"
23	hmf19470721-01.1.1	21 July 1947	hmf	Page 1	"<div class=""txtsearchsnippet"">קפריסין. עוד ביום השבת נפוצו שמועות <b class=""highlightcolor"">בחיפה</b> שאניות הגירוש יחזירו את המעפילים /נמל המוצא בצרפת. סופרו ...</div>"
24	haolam19480923-01.1.12	23 September 1948	haolam	Page 12	"<div class=""txtsearchsnippet"">... לאחיות ליד ביה־ח הירקון בתל־אביב ובית הטםר לאחיות ליד <b class=""highlightcolor"">ביה""ח הממשלתי</b> <b class=""highlightcolor"">בחיפה.</b> מסםר התלמידות בשני בתי־הסםר הוא ‭. 70 ...</div>"
25	itonmeyuhad19340114-01.1.4	14 January 1934	itonmeyuhad	Page 4	"<div class=""txtsearchsnippet"">... גם בתור אסיסטנט במקרי נתוחים במחלקה החירור־ גיח של <b class=""highlightcolor"">ביה״ח הממשלתי</b> ביפו. כלומר: גם באיזמל הנתוח אחזה ידו של ...</div>"
26	ahr19480102-01.1.4	2 January 1948	ahr	Page 4	"<div class=""txtsearchsnippet"">לא נשכח אותך י' ‭11 1 I‬ _דינגל חבריך <b class=""highlightcolor"">בחיפה</b> _ובקריות: ארנםט, בתיה, אנשי , רוזל, ארטור, אנה, וורנד, ...</div>"
27	ahr19471214-01.1.4	14 December 1947	ahr	Page 4	"<div class=""txtsearchsnippet"">... -'‬ ־דים ביהוד ב""יר ו‭::‬י־ה ביר‭_7u, ‬־u ובבית יי־־י־ים <b class=""highlightcolor"">בחיפה</b> גיום _בני־־נוער ביישוב נמעך ואי־פ• צעירים התייצבו עד־ כה ...</div>"
28	hazmantlv19431208-01.1.4	8 December 1943	hazmantlv	Page 4	"<div class=""txtsearchsnippet"">... .של' 8 : 2 ביים ד׳. 1 לח״ז, היתה <b class=""highlightcolor"">בחיפה</b> הח־ חרות כתר רגל בין קב׳ ■של"" לבין קב׳ ...</div>"
29	haretz19340125-01.1.4	25 January 1934	haretz	Page 4	"<div class=""txtsearchsnippet"">... אביב י• ‭. 9‬ לדרבדגז אלסר נדינבדגז האחים רבינוביץ• <b class=""highlightcolor"">בחיפה</b> ביום מיגץ ובגוז יוסף קוםאליז מ• אורוסשאס.</div>"
30	hazmantlv19440327-01.1.4	27 March 1944	hazmantlv	Page 4	"<div class=""txtsearchsnippet"">... וביד תקיפה""• הדם שנשפך ""הדם שנשפך זה עת•“ בתל־אביב, <b class=""highlightcolor"">בחיפה</b> ובירושלים — על ראש סי יפול ?״ — שואל ...</div>"
31	hbkr19410829-01.1.7	29 August 1941	hbkr	Page 7	"<div class=""txtsearchsnippet"">... ?*?‭????4X11141 מ1""3‬ תכנית הלמדים מתאמת לתכנית ביודס הריאלי העברי <b class=""highlightcolor"">בחיפה,</b> ^‭|]/1ג | £1#1 = I 3 1‬ אש־ א־. ...</div>"
32	hmf19460222-01.1.8	22 February 1946	hmf	Page 8	"<div class=""txtsearchsnippet"">... כינורות!מוצארט: םימפוניה סול־מי־ נור, מנרלסון: קונצרט לכינור. תיאטרון חדש <b class=""highlightcolor"">בחיפה</b> במוצאי שבת 2 הצגות ב־‭6. 30‬ וב־9 ב""מכבי"" חיפה ...</div>"
33	khm19480126-01.1.4	26 January 1948	khm	Page 4	"<div class=""txtsearchsnippet"">נמשכים _החיפועוים אהד' ‭IMI _PIVJ‬ <b class=""highlightcolor"">בחיפה</b></div>"
34	hmf19480108-01.1.1	8 January 1948	hmf	Page 1	"<div class=""txtsearchsnippet"">... אחד הנמלטים שגופתו המנוקבת כדורים . נמצאה על הגדר. <b class=""highlightcolor"">_!ביה""ח הממשלתי</b> זוהה אמרי כן כנסים בן :חיים בן ‭. ...</div>"
35	hbkr19381227-01.1.1	27 December 1938	hbkr	Page 1	"<div class=""txtsearchsnippet"">שני עונים <b class=""highlightcolor"">בחיפה</b> זוהו כרוצחים</div>"
36	hmf19460626-01.1.4	26 June 1946	hmf	Page 4	"<div class=""txtsearchsnippet"">... 20‬מת""א, מפצועות ההתקפה על בתי המלאכה של מסילות הברזל <b class=""highlightcolor"">בחיפה,</b> עזבה אתמול את <b class=""highlightcolor"">ביה""ח הממשלתי</b> והועברה לבית הסוהר הארעי</div>"
37	hmf19470511-01.1.4	11 May 1947	hmf	Page 4	"<div class=""txtsearchsnippet"">... שנידונו למוות בעד השתתפות בהתקפה על בתי־המלאכה של הרכבת <b class=""highlightcolor"">בחיפה</b> ודינם הוחלף למאסר־ עולם ויתרם הם אנשי אצ""ל ולח‭, ...</div>"
38	hmf19471103-01.1.4	3 November 1947	hmf	Page 4	"<div class=""txtsearchsnippet"">... במסיבות דומות, עורר גל של זעם בקרב צבור הנהגים <b class=""highlightcolor"">בחיפה.</b> מיהו הנרצח הנרצח, יליד עירק, מותיקי הנהגים <b class=""highlightcolor"">בחיפה,</b> הניח ...</div>"
39	hmf19471026-01.1.4	26 October 1947	hmf	Page 4	"<div class=""txtsearchsnippet"">... נפצעו בהתנגשות שתיו מכ נ י ו ת צבאיות <b class=""highlightcolor"">בחיפה</b></div>"
40	hazmantlv19440914-01.1.2	14 September 1944	hazmantlv	Page 2	"<div class=""txtsearchsnippet"">... לאחר שנידונו ביום 27.8.43 למיתה בתליה ע״י ביה״ד המחוזי <b class=""highlightcolor"">בחיפה</b> בעוון רצח הדרוזי יוסוף צלאח מכפר אוסיפיה שבמורדות הכרמל ...</div>"
