n	id	date	publication	title	snippet
31	pls19461028-01.1.3	28 October 1946	pls	Page 3	"<div class=""txtsearchsnippet"">... l \ mm ? m _&lt; i _h Palestine <b class=""highlightcolor"">HAIFA</b> I MCA VERA</div>"
32	pls19410401-01.1.3	1 April 1941	pls	Page 3	"<div class=""txtsearchsnippet"">regular weekly _services Ha if a-Trans-Jordan leaving <b class=""highlightcolor"">Haifa</b> every</div>"
33	pls19471230-01.1.3	30 December 1947	pls	Page 3	"<div class=""txtsearchsnippet"">AT 8 PJM . ENTERTAINMENT LTD BAT GALIM , <b class=""highlightcolor"">HAIFA</b> — TEL . 3222</div>"
34	pls19471221-01.1.3	21 December 1947	pls	Page 3	"<div class=""txtsearchsnippet"">... * * Thirty-seven passengers dds _&gt; - ombarked at <b class=""highlightcolor"">Haifa</b> ! _rc : n tire _« s . _Rossya ...</div>"
35	pls19470402-01.1.3	2 April 1947	pls	Page 3	"<div class=""txtsearchsnippet"">... a scaffolding at the Or . a Cinema in <b class=""highlightcolor"">Haifa</b> yesterday , 17-year-old Arthur Boxer of Kiryat Haim , ...</div>"
36	pls19470818-01.1.3	18 August 1947	pls	Page 3	"<div class=""txtsearchsnippet"">... s morning are 218 immigrants from Belsen The Bergen <b class=""highlightcolor"">Haifa</b> _Engineering Works have riot , undertaken to do an ...</div>"
37	pls19440601-01.1.2	1 June 1944	pls	Page 2	"<div class=""txtsearchsnippet"">... I GARDEN BAR ; . : Tel . 4983 <b class=""highlightcolor"">Haifa</b> fi &gt; J IJ</div>"
38	pls19461027-01.1.3	27 October 1946	pls	Page 3	"<div class=""txtsearchsnippet"">... . Cana _ ai . it ] i 41 <b class=""highlightcolor"">Haifa</b> 25 . 1 77 * Beisan 32 , 8 ...</div>"
39	pls19460617-01.1.3	17 June 1946	pls	Page 3	"<div class=""txtsearchsnippet"">27 Herzl St ., <b class=""highlightcolor"">Haifa</b></div>"
40	pls19440227-01.1.3	27 February 1944	pls	Page 3	"<div class=""txtsearchsnippet"">... bo able to ive its g usual services in <b class=""highlightcolor"">Haifa</b> from tomorrow at its _nefw offices : 61 Kingsway ...</div>"
41	pls19441102-01.1.2	2 November 1944	pls	Page 2	"<div class=""txtsearchsnippet"">... with sails . Good fishing equipment . l : <b class=""highlightcolor"">Haifa</b> 1944 P . O . B . Appy , ...</div>"
42	pls19440903-01.1.3	3 September 1944	pls	Page 3	"<div class=""txtsearchsnippet""><b class=""highlightcolor"">Haifa</b> s largest Photo Shop</div>"
43	pls19440606-01.1.3	6 June 1944	pls	Page 3	"<div class=""txtsearchsnippet"">... by overland route via Turkey and the Lebanon in <b class=""highlightcolor"">Haifa</b> on Sunday An exhibition and bazaar in aid of ...</div>"
44	pls19460211-01.1.3	11 February 1946	pls	Page 3	"<div class=""txtsearchsnippet"">... . ) P . O . B . 768 <b class=""highlightcolor"">Haifa</b> .</div>"
45	pls19471022-01.1.4	22 October 1947	pls	Page 4	"<div class=""txtsearchsnippet"">... _J _^^ CE _^ Mary , , \ ! <b class=""highlightcolor"">Haifa</b> : 41 Kingsway , \ _^ _fv Tl _^ ...</div>"
46	pls19471217-01.1.3	17 December 1947	pls	Page 3	"<div class=""txtsearchsnippet""><b class=""highlightcolor"">HAIFA</b> TCFH is mm ftaganah Foils Plans Ganq</div>"
47	pls19460813-01.1.2	13 August 1946	pls	Page 2	"<div class=""txtsearchsnippet""><b class=""highlightcolor"">HAIFA</b> : ARMON Tomorrow at 9 . m . p</div>"
48	pls19410325-01.1.3	25 March 1941	pls	Page 3	"<div class=""txtsearchsnippet"">... -cle along the Jerusalemoad yesterday . He was taken <b class=""highlightcolor"">Government Hospital</b> in</div>"
49	pls19440908-01.1.2	8 September 1944	pls	Page 2	"<div class=""txtsearchsnippet"">PflVW u UUiii <b class=""highlightcolor"">HAIFA</b> TWO PIG D ! FFEf ? EWT FLOOR SHOWS ...</div>"
50	pls19420203-01.1.3	3 February 1942	pls	Page 3	"<div class=""txtsearchsnippet"">... and engineering innovations , the Hebrew _Tecniiaai institute at <b class=""highlightcolor"">Haifa</b> will offer some surprises for the annual Students Ball ...</div>"
51	pls19441229-01.1.3	29 December 1944	pls	Page 3	"<div class=""txtsearchsnippet"">BAT-GALIM , <b class=""highlightcolor"">HAIFA</b> , TEL . 3222 _&lt;• SATURDAY and SUNDAY TEA ...</div>"
52	pls19421006-01.1.3	6 October 1942	pls	Page 3	"<div class=""txtsearchsnippet"">... is planned by the Palestine Arab Labour Society of <b class=""highlightcolor"">Haifa</b> , The Palestine Post learns The Society represents a ...</div>"
53	pls19460913-01.1.3	13 September 1946	pls	Page 3	"<div class=""txtsearchsnippet"">SALOMON , LEVIN &amp; ELSTEIN _, LTD JERUSALEM , <b class=""highlightcolor"">HAIFA</b> , TE _» L AVIV</div>"
54	pls19440306-01.1.3	6 March 1944	pls	Page 3	"<div class=""txtsearchsnippet"">Tel Aviv , Jerusalem , <b class=""highlightcolor"">Haifa</b></div>"
55	pls19451028-01.1.3	28 October 1945	pls	Page 3	"<div class=""txtsearchsnippet"">18-20 . Herzl St ., <b class=""highlightcolor"">Haifa</b> Technical School Bldg</div>"
56	pls19430823-01.1.3	23 August 1943	pls	Page 3	"<div class=""txtsearchsnippet"">... PRAFF .. &amp; _:-Co . Ltd . _. , <b class=""highlightcolor"">Haifa</b> Bay - ¦¦ . jFIRE P _^ TCKS FACTORY ...</div>"
57	pls19441212-01.1.3	12 December 1944	pls	Page 3	"<div class=""txtsearchsnippet"">* * » The Income Tax Office at <b class=""highlightcolor"">Haifa</b> is moving to its new premises at 39 Sahyoun ...</div>"
58	pls19480206-01.1.3	6 February 1948	pls	Page 3	"<div class=""txtsearchsnippet""><b class=""highlightcolor"">HAIFA</b> : Pardess Bldg . Tel . 2138 &amp; 4809 ...</div>"
59	pls19450819-01.1.3	19 August 1945	pls	Page 3	"<div class=""txtsearchsnippet"">... yesterday . A sub-acute ice shortage was felt in <b class=""highlightcolor"">Haifa</b> during the weekend , for the first time this ...</div>"
60	pls19471010-01.1.3	10 October 1947	pls	Page 3	"<div class=""txtsearchsnippet"">... _stn io i * 04 . 0 , vi <b class=""highlightcolor"">Haifa</b> _IH . 4 iM . _ft 77 o _B-is-ifi ...</div>"
61	pls19420219-01.1.3	19 February 1942	pls	Page 3	"<div class=""txtsearchsnippet"">... _between the Acre crossroads and the Shell Bridge in <b class=""highlightcolor"">Haifa</b> , Oudeh Ahmed ( 40 ) of Yitmah village ...</div>"
62	pls19451127-01.1.2	27 November 1945	pls	Page 2	"<div class=""txtsearchsnippet"">Armon Theatre , <b class=""highlightcolor"">Haifa</b> . Thursday , Nov . 29 , 9 p ...</div>"
63	pls19460610-01.1.3	10 June 1946	pls	Page 3	"<div class=""txtsearchsnippet"">PALESTINE RUBBER &amp; PLASTIC INDUSTRIES LTD . <b class=""highlightcolor"">HAIFA</b></div>"
64	pls19410527-01.1.3	27 May 1941	pls	Page 3	"<div class=""txtsearchsnippet"">... it doirn JW . 40 _PALESTINIAN CADETS COMPLETE COURSE <b class=""highlightcolor"">HAIFA</b> , Sunday . — Forty casts , including 32 ...</div>"
65	pls19430126-01.1.3	26 January 1943	pls	Page 3	"<div class=""txtsearchsnippet"">... _Tvtew bus stop 1 * in Herzl Street , <b class=""highlightcolor"">Haifa</b> have _-. Iees : i : ribuled , greay ...</div>"
66	pls19440102-01.1.3	2 January 1944	pls	Page 3	"<div class=""txtsearchsnippet"">12 Nordau St . <b class=""highlightcolor"">HAIFA</b> Also UTILITY wear</div>"
67	pls19441208-01.1.2	8 December 1944	pls	Page 2	"<div class=""txtsearchsnippet"">11 Balfour St ., <b class=""highlightcolor"">Haifa</b> NIGHTLY the</div>"
68	pls19450816-01.1.3	16 August 1945	pls	Page 3	"<div class=""txtsearchsnippet"">SEA O , LIGHT IN <b class=""highlightcolor"">HAIFA</b> ON V-J NIGHT</div>"
69	pls19420226-01.1.3	26 February 1942	pls	Page 3	"<div class=""txtsearchsnippet""><b class=""highlightcolor"">Haifa</b> Office : 47 Kingsway , Tel . 2002</div>"
70	pls19470922-01.1.3	22 September 1947	pls	Page 3	"<div class=""txtsearchsnippet"">3 . ia Arlosoroft St , <b class=""highlightcolor"">Haifa</b></div>"
71	pls19440924-01.1.3	24 September 1944	pls	Page 3	"<div class=""txtsearchsnippet"">... from [ Balkan countries and from Yemen arrived in <b class=""highlightcolor"">Haifa</b> on Friday Some 11 , 000 visitors saw the ...</div>"
