date	pub	page_id	disease	term	haifa	dateline	hospital	epidemic_words	soft_term	window	reg_before	reg_after	reg_deaths_before	reg_coverage	surge	days_after_surge	lead_lag
1936-04-14	difaa	difaa19360414-01.1.6	smallpox	والجدري	page					…الجنون عواقب الادمان ان للغول في المدمن نفسه عواقب وخيمه جدا اذ تنقص مقاومه البدن مطلقا ولا سيما الامراض الساريه وذات الريه تكون اشد خطرا في المدمنين والجدري يكون فيهم نزفيا وهكذا تكون اكثر الامراض كالحمره والحمي التيفيه والرعن وضربه الشمس » ..…							
1936-09-23	difaa	difaa19360923-01.1.4	measles	الحصبه	other:Jerusalem	Jerusalem		y		…من الخضيره ونقلت الطيارين بامان قضيه فلسطين امام عصبه الامم تقول الاخبار الوارده من جنيف ان سكرتيريه عصبه الامم قررت طرح قضيه فلسطين لا بحث امام جلسه الحصبه في يوم الخميس القادم ( غدا ) حاله فلسطين في الصحف التركيه جاء في بريد تركيا ان جريده اقشام لسان حال رييس الجمهوريه عقدت مقالا طويلا عن الحاله في فلسط…							
1937-03-09	difaa	difaa19370309-01.1.4	dysentery	والدوسنطاريا	dateline	Haifa		y		…حماسه . لكنهم اخذوا يشكون الحاله السييه التي وصلوا اليها في هذا المخيم وعدم وجود الفراش الكافي الذي كان من نتيجته اصابه اكثرهم بالروماتزم والانفلونزا والدوسنطاريا، وقد فهمت ان مدير المخيم المسءول خابر الجهات المختصه بضروره ارسال فراش لهم ، فلم ياخذ جوابا حتي الان . وقد زرت اخي يوم الجمعه الماضي فشكا ان الروماتز…	1	10	0	open			register admitting, no surge
1937-03-09	difaa	difaa19370309-01.1.4	influenza	والانفلونزا	dateline	Haifa		y		…نوا يتوقدون حماسه . لكنهم اخذوا يشكون الحاله السييه التي وصلوا اليها في هذا المخيم وعدم وجود الفراش الكافي الذي كان من نتيجته اصابه اكثرهم بالروماتزم والانفلونزا والدوسنطاريا، وقد فهمت ان مدير المخيم المسءول خابر الجهات المختصه بضروره ارسال فراش لهم ، فلم ياخذ جوابا حتي الان . وقد زرت اخي يوم الجمعه الماضي فشك…	12	6	0	open	1936-11-14(peak 13/30d)	115	lags 115d
1937-03-18	difaa	difaa19370318-01.1.1	diphtheria	خناق	page				y	…وك الصغيره لم تصب بايه خساره ، بل هي الاخري ساهمت في الربح واستثمار المال . ذلك في الوقت الذي لم تترك الازمه الاقتصاديه تاجرا او ملاكا ، الا وعضت علي خناقه ولعل خير دليل علي ما ذكرنا ايراد بضعه ارقام واحصاءات . فقد بلغ مقدار الودايع التي في البنوك ، الاجنبيه منها وغير الاجنبيه ١٤،٠٠٠،٠٠٠ جنيه . هذه الود…							
1937-05-25	difaa	difaa19370525-01.1.3	diphtheria	الخناق	page			y	y	… فهمنا ان شركات الكاز كانت تعطي اصحاب البيارات الكاز بموجب كمبيا وجب كمبيالات وعند الاستحقاق تعمد الي الحجز علي ممتلكاتهم دون اعتبار الازمه التي ضيقت الخناق علي الجميع . والحاله التي ذكرناها لا تقتصر علي زرنوقه بل تشمل قري كثيره . والغريب ان الحكومه لم تتقدم قط لانقاذ المديونين ، ولم تتخذايه اجراءات لتخفي…							
1937-05-30	difaa	difaa19370530-01.1.3	diphtheria	بخناق	other:Jerusalem	Jerusalem		y	y	… من اكبر الشركات اليهوديه لتسيير البصات في فلسطين ، ومركزها القدس . وبصات هذه الشركه تسير علي ١٤ خط ضمن الاحياء اليهوديه . وقد اخذت الازمه الاقتصاديه بخناقها لموقف العرب منها فقررت توقيف ۲۸ باصا اي انها اوقفت في كل خط سيارتين . وقد اخذ عمال وموظفو الشركه في عقد اجتماعات متواليه للنظر في حاله زملايهم الذي…							
1937-06-20	difaa	difaa19370620-01.1.3	diphtheria	الخناق	dateline	Haifa			y	…هم وينفي اقاربهم الي سيبيريا . وتستجوب السلطات الشيوعيه زوجتي المارشال توخاشفسكي والجنرال بوثنا استجوابا دقيقا ، ولا يعرف ماذا يكون مصيرهما بعد تضييق الخناق عليهما. وشوارع موسكو تعج بالقوات المسكريه من خيال ومشاه. والغيت اجازات الضباط . وسيارات البوليس في حركه دايمه تذهب الي السجن مملوءه بالمعتقلين وتعود …	0	3	0	open			register admitting, no surge
1937-09-05	difaa	difaa19370905-01.1.3	measles	الحصبه	page			y		…تمع اقوال بعض الشهود اجل ليه ليوم الثلاثاء في ٧ الجاري وحكم علي شخص ارمني يدعي ران انالیل با لسجن ١٥ يوه او با بعاده فلسطين لوجوده فيها بصوره غير مرض الحصبه اتصل بنا ان عده اصابات بمرض صبه قد وقعت في قريه عنابه بسبب هذا المرض بين الاطفال. ويستغرب في القريه كيف لا تنشط اداره الصحه الرمله الدفع هذا المرض. ف…							
1937-11-11	difaa	difaa19371111-01.1.6	typhus	بالتيفوس	page			y		…رل - ستار وب . ز اسراييل ليكون عضوا ثانيا غير موظف في اللجنه المذكوره الامراض الساريه وقعت خلال الاسبوع الماضي عشر اصابات بالامراض الساريه ثلاثه منها بالتيفوس في تل ابيب وقد نقات واحده منها من كفريونا التابعه لقضاء طولكرم. واربع اصابات اخري بالتيف وس في حينا نقلت واحده منها من الرمله واصابتين بالتهاب السحاي…							
