n	id	date	publication	title	snippet
1	haolam19480122-01.1.1	22 January 1948	haolam	Page 1	"<div class=""txtsearchsnippet"">... מכון לחקר הקהלות: המתקת מים מלוחים: שוד לעיני שוטרים: <b class=""highlightcolor"">בית חולים ממשלתי</b> לערבים: משלהת רפואית סורית לארץ: ‭24‬ מטוסי ...</div>"
2	hegeh19430419-01.1.4	19 April 1943	hegeh	Page 4	"<div class=""txtsearchsnippet"">... ״E x emptar אחד אל האךכיון של תנועת העבודה. <b class=""highlightcolor"">בית חולים ממשלתי</b> למושבות מוסרים, שדגוךמים המסמכים דגים בשאלת פתיסת ...</div>"
3	ytlv19411215-01.1.1	15 December 1941	ytlv	Page 1	
4	hadashott19400115-01.1.2	15 January 1940	hadashott	Page 2	"<div class=""txtsearchsnippet"">... החולם 26 חולים בלתי מסוכנים כביכול... — הקיים בארץ <b class=""highlightcolor"">בית חולים ממשלתי</b> לחולי רוחז — קיים <b class=""highlightcolor"">בית חולים ממשלתי</b> ...</div>"
5	dhy19351008-01.1.7	8 October 1935	dhy	Page 7	"<div class=""txtsearchsnippet"">... רפין, סוריקוב, סיירוב, סטיפנוב, צ'כונין, אייבזובסקי, ארביפוב, נויגוגרוב, ועוד. <b class=""highlightcolor"">בית חולים ממשלתי</b> בכפר פלשטין"" מודיע כי הממשלח חפ־ "" ...</div>"
6	haolam19480122-01.1.12	22 January 1948	haolam	Page 12	"<div class=""txtsearchsnippet""><b class=""highlightcolor"">בית חולים ממשלתי</b> — לערבים בית החולים הממשלתי כביתיצפםה נפטר ...</div>"
7	hrte19480130-01.1.2	30 January 1948	hrte	Page 2	"<div class=""txtsearchsnippet"">... העיר העתיקה בירושלים. הוא הובא אל מערת הפריצים הנקראת <b class=""highlightcolor"">""בית חולים ממשלתי""</b> בירושלים ונמסר לטיפולם של אוכלי־ אדם הקוראים ...</div>"
8	ytlv19440915-01.1.4	15 September 1944	ytlv	Page 4	"<div class=""txtsearchsnippet"">... קשה מאד, באה בשנה האחרונה הקלה פורתא עם פתיחת <b class=""highlightcolor"">בית־ חולים ממשלתי,</b> המכיל שמונים מיטות, . בשביל תושבי המושבות ...</div>"
9	haolam19420319-01.1.4	19 March 1942	haolam	Page 4	"<div class=""txtsearchsnippet"">... מופרז והממשלה עוסקת זה עשר שנים בתכנית של הקמת <b class=""highlightcolor"">בית חולים ממשלתי.</b> הקימונו כפר עבוד־, . לנערים בגבת. ויש ...</div>"
10	yarden19350208-01.1.4	8 February 1935	yarden	Page 4	"<div class=""txtsearchsnippet"">... בתול־כרם' העוזר לנהג מחמר י&lt;1סי! מתול־כרם נהרג, הנהג נאסר. <b class=""highlightcolor"">בית חולים ממשלתי</b> בתול-כרם כפי שמודיעים מתוליכרם' אומרת חממשלח להקים ...</div>"
