n	id	date	publication	title	snippet
23	dav19390711-01.1.7	11 July 1939	dav	Page 7	"<div class=""txtsearchsnippet"">... של הנהלת הדואר? זכור לנו, כי בזמן שבנו את <b class=""highlightcolor"">בית החולים הממשלתי בחיפה</b> שמרו בקפדנות :של‭1&lt;‬ תקיפה זכות . ...</div>"
24	hzh19460705-01.1.1	5 July 1946	hzh	Page 1	"<div class=""txtsearchsnippet"">... הודיעו שלושה מעולי ""בי־ ־ייה"" למשלחת הרפואית שביקרה אצלם <b class=""highlightcolor"">:בית החולים הממשלתי בחיפה.</b> בדיקה יסודית הוכיחה כי אין זד, ...</div>"
25	hazmantlv19440131-01.1.4	31 January 1944	hazmantlv	Page 4	"<div class=""txtsearchsnippet"">... המלכים גוויתו של שלמה יעקב חלבי. הגוויה באספה אל <b class=""highlightcolor"">בית החולים הממשלתי בחיפה</b> ולפי הסימנים סבורים, כי בדרם למות ...</div>"
26	itonamami19471229-01.1.2	29 December 1947	itonamami	Page 2	"<div class=""txtsearchsnippet"">... שרר שקט יחסי בחיפה ובסביבותיה. ממקור ערבי מוסײם, כי <b class=""highlightcolor"">בית החולים הממשלתי בחיפה</b> מלא על גדותיו מפצועים ערבים. 5 ...</div>"
27	ahr19470713-01.1.3	13 July 1947	ahr	Page 3	"<div class=""txtsearchsnippet"">... בהתפוצצה ברמה לו המציאה פצעים קשים והוא נאסף אל <b class=""highlightcolor"">בית־ החולים הממשלתי בחיפה•</b> מצב העבודה מספר מבקשי־העבודה גול מחודש ...</div>"
28	ahr19480827-01.1.5	27 August 1948	ahr	Page 5	"<div class=""txtsearchsnippet"">... הממשלתי , היפה ‭j |‬ כית־חפפר לאחיות : j <b class=""highlightcolor"">בית החולים הממשלתי בחיפה</b> מכריז בזה על הרשמת מועפ-ות! !לבית-הםפר ...</div>"
29	dav19360217-01.1.1	17 February 1936	dav	Page 1	"<div class=""txtsearchsnippet"">נת המשטרה בערטוף, האשת הועברה באוטו של <b class=""highlightcolor"">בית החולים הממשלתי בחיפה.</b> בבית החולים הוגש־ לה העזרה הראשונה. ...</div>"
30	dav19380627-01.1.1	27 June 1938	dav	Page 1	"<div class=""txtsearchsnippet"">... בשעה מאותרת ירו שני אנשים מזוינים והרגו -ערבי בשטח <b class=""highlightcolor"">בית החולים הממשלתי בחיפה.</b> — הבוקר בשעות המקודמות ;דקר יהודי ...</div>"
31	dav19380704-01.1.1	4 July 1938	dav	Page 1	"<div class=""txtsearchsnippet"">ירחיב ההר בשכונת הרצליה ליד <b class=""highlightcolor"">בית החולים הממשלתי בחיפה</b> נזרקת אמש ב־‭6. 45‬ פצצת אל ...</div>"
32	dav19390620-01.1.1	20 June 1939	dav	Page 1	"<div class=""txtsearchsnippet"">... נכנס יהודי בשפ אלפדד כהן לתוך הדר המתים של <b class=""highlightcolor"">בית החולים הממשלתי ? בחיפה</b> שבו שכבו קרבנות, ההתפוצצות. סבורים, ...</div>"
33	dav19470827-01.1.6	27 August 1947	dav	Page 6	"<div class=""txtsearchsnippet"">... מנצרת ז8ט8נטורה הל-יא י השבר! ילדים _חולי־אסכריי (דיפטרי־) אל <b class=""highlightcolor"">בית־ החולים הממשלתי בחיפה.</b> אחד מהם תינוק בן 6 חדשים, ...</div>"
34	dav19480620-01.1.3	20 June 1948	dav	Page 3	"<div class=""txtsearchsnippet"">ת י . פ ה י . <b class=""highlightcolor"">בית החולים הממשלתי בחיפה</b> מתארגז מחדש</div>"
35	haretz19441117-01.1.8	17 November 1944	haretz	Page 8	"<div class=""txtsearchsnippet"">... שניהם, גבר ואשה, הוכנסו למחלקה למחלות מידבקות שעל יד <b class=""highlightcolor"">בית־ החולים הממשלתי בחיפה.</b> עם המקרים הג""ל מגיע מספר מקרי ...</div>"
36	hmf19471008-01.1.4	8 October 1947	hmf	Page 4	"<div class=""txtsearchsnippet"">בבדיקה הסופית במעבדת <b class=""highlightcolor"">בית החולים הממשלתי בחיפה</b> נקבע כי הערבי הזקן שהו בא ...</div>"
37	hbkr19470518-01.1.4	18 May 1947	hbkr	Page 4	"<div class=""txtsearchsnippet"">... כסי שנמסר לנו עמד אבי התינוקת להניש משפט נגד <b class=""highlightcolor"">בית החולים הממשלתי בחיפה.</b> ד ר ו 'ט בשביל חברת ...</div>"
38	hazmantlv19440427-01.1.3	27 April 1944	hazmantlv	Page 3	"<div class=""txtsearchsnippet"">... 9 — שומן (תקליטים)! 8 תכנית ""כבקשתך"" מיוחדת לאחיות <b class=""highlightcolor"">בית החולים הממשלתי בחיפה:</b> 8.25 שיחה על מאורעות היום! 8.30 ...</div>"
39	dav19380209-01.1.6	9 February 1938	dav	Page 6	"<div class=""txtsearchsnippet"">... על פיבת מותח. הגופה נבדקה ע""י ד""ר מלחי רופא <b class=""highlightcolor"">בית החולים הממשלתי בחיפה</b> \ד""ר ג‭.. ‬_עביאד‭—. ‬ מודיעים ל:ו, ...</div>"
40	haretz19470612-01.1.4	12 June 1947	haretz	Page 4	"<div class=""txtsearchsnippet"">... לאופר, לשעבר מנתח ראשי בחבש' נתמנה לרופא מנתח וסגךמנהל <b class=""highlightcolor"">בית־ החולים הממשלתי בחיפה.</b> הגיע לארץ ה' נימן דזניק, אחד ...</div>"
41	haretz19480106-01.1.4	6 January 1948	haretz	Page 4	"<div class=""txtsearchsnippet"">... חיפה נצרת. כל ;פגיעים, בהט נהג אחת המכוניות, הובאו <b class=""highlightcolor"">בית החולים הממשלתי בחיפה.</b> מוכרים, כי היריות על האומובוםים ערבים ...</div>"
42	hmf19480504-01.1.4	4 May 1948	hmf	Page 4	"<div class=""txtsearchsnippet"">... לב מיוחדת הוקדשה לבעיות מדואר. דיון על גורלו של <b class=""highlightcolor"">בית החולים הממשלתי בחיפה</b> ד""ר א. כצנלםון מטעם מחלקת הבריאות ...</div>"
43	hbkr19460703-01.1.1	3 July 1946	hbkr	Page 1	"<div class=""txtsearchsnippet"">... ששלשה התולים החשודים נפקרי דבר הועברו למחלקה מיוחדת של <b class=""highlightcolor"">בית החולים הממשלתי בחיפה,</b> החלה העברת העולים בסיחת ל. פקפ ...</div>"
44	hbkr19420624-01.1.4	24 June 1942	hbkr	Page 4	"<div class=""txtsearchsnippet"">... בכללה. ב) כל האת בכללה. חוץ מחיפה, ג) בשב-ל <b class=""highlightcolor"">בית החולים הממשלתי בחיפה</b> בלבד. ההצעות לא תגענה לעיון. אלא ...</div>"
45	hzh19480428-01.1.2	28 April 1948	hzh	Page 2	"<div class=""txtsearchsnippet"">היישוב מעוניין בהמשכת קיומו של <b class=""highlightcolor"">בית החולים הממשלתי בחיפה</b> מנהל מחלקת הבריאות של הוועד הלאומי, ...</div>"
46	haretz19360923-01.1.2	23 September 1936	haretz	Page 2	"<div class=""txtsearchsnippet"">... ב־l s בפרואר ש. ז. העיד ד״ר מלבי, רופא <b class=""highlightcolor"">בית החולים הממשלתי בחיפה,</b> שבדק את גוית הנרצחת למחרת הרצח. ...</div>"
47	dav19470813-01.1.5	13 August 1947	dav	Page 5	"<div class=""txtsearchsnippet"">... מגפת טיפוס‭25. ‬ מאנשי הכפר הועברו למחלקה מיוחדת של <b class=""highlightcolor"">בית החולים הממשלתי בחיפה.</b> על הכפר הוטל הסגר. זכר""ן־יעקב. הערב ...</div>"
48	dav19470817-01.1.3	17 August 1947	dav	Page 3	"<div class=""txtsearchsnippet"">... ביום ו' שופט חשלום . הראשי ד""ר דל""צויו. אל <b class=""highlightcolor"">בית החולים הממשלתי בחיפה</b> כדי להוציא פקודת מאטד ל־15 יום ...</div>"
49	haretz19470807-01.1.4	7 August 1947	haretz	Page 4	"<div class=""txtsearchsnippet"">... ההלימו הולי הדפד פהיפה כל הוא הדבר יצאו את <b class=""highlightcolor"">בית החולים הממשלתי בחיפה</b> פרס ל־3 חולים שהועב־ ת לפני ...</div>"
50	haretz19480123-01.1.8	23 January 1948	haretz	Page 8	"<div class=""txtsearchsnippet"">... בביה""ח הממשלתי בחיטה. נמצאה גוויה ערופה בחדר המתים של <b class=""highlightcolor"">בית החולים הממשלתי בחיפה</b> מוגחת זה כמה ימים גוויה בלי ...</div>"
51	haretz19430604-01.1.6	4 June 1943	haretz	Page 6	"<div class=""txtsearchsnippet"">... השרון, בית חולים חדש ברמלה, יהיח צורך להרחיב את <b class=""highlightcolor"">בית החולים הממשלתי בחיפה</b> ולדאוג להטבת התנאים בבתי הסוהר. לפי ...</div>"
52	hbkr19400110-01.1.2	10 January 1940	hbkr	Page 2	"<div class=""txtsearchsnippet"">... יבוש חביצה בבייכת ימת ‭1300‬ ליתת, •ייחוט *ציוד של <b class=""highlightcolor"">בית החולים הממשלתי בחיפה</b> ‭4913‬ •ל. המשתמש הישוב ואפוי במיפאות ...</div>"
53	hmf19481220-01.1.4	20 December 1948	hmf	Page 4	"<div class=""txtsearchsnippet"">... דרכים אירעה אתמול בצהרים ליד הצטלבות פסי הרכבת בקירבת <b class=""highlightcolor"">בית החולים הממשלתי בחיפה.</b> קרונית קטנה התנגשה במכונית צבאית וכתוצאה ...</div>"
54	hbkr19440601-01.1.3	1 June 1944	hbkr	Page 3	"<div class=""txtsearchsnippet"">... מת השוו במחלת אבעבועות אתמול מת בבית ההסגר ליד <b class=""highlightcolor"">בית החולים הממשלתי בחיפה</b> אליעזר ''כשהאח. בן ‭. 32‬ חוששים ...</div>"
55	haretz19330703-01.1.2	3 July 1933	haretz	Page 2	"<div class=""txtsearchsnippet"">... כלליות מספיק לצרבי תושבי ירושלים והאזור הדרומי. מפני שהרחבת <b class=""highlightcolor"">בית החולים הממשלתי בחיפה</b> נדחתה, נעשה שם המצב קשה בעונת ...</div>"
56	dav19380203-01.1.5	3 February 1938	dav	Page 5	"<div class=""txtsearchsnippet"">... של _בני־‭§§‬ נים גדולים, כבנין תחנת _ריר־ננ בת‭§|?‬ אביב, <b class=""highlightcolor"">בית החולים הממשלתי בחיפה‭|||‬</b> בנין ברקליס בנק בחיפה. לו כל, ...</div>"
57	dav19480114-01.1.1	14 January 1948	dav	Page 1	"<div class=""txtsearchsnippet"">... גויות שלא זוהו בביה""ה הממשלתי כהיפה בחדר המתים של <b class=""highlightcolor"">בית החולים הממשלתי בחיפה</b> מוטלות שתי גויות, האחת נמצאה ביום ...</div>"
58	dav19480809-01.1.3	9 August 1948	dav	Page 3	"<div class=""txtsearchsnippet"">... נציגי הממשלה, באיכות עירית היפה יועד קהילת חיפה יועבר <b class=""highlightcolor"">בית החולים הממשלתי בחיפה</b> -אשר באופן זמני היה בהנהלת העירית ...</div>"
59	haretz19470119-01.1.3	19 January 1947	haretz	Page 3	"<div class=""txtsearchsnippet"">... ?ופקידיו. עזב• את פית החוליפ' ביום ו' עזבו את <b class=""highlightcolor"">בית החולים הממשלתי בחיפה</b> עת 2 נוטרים ערבים, שנפצעו בהתפוצצות ...</div>"
60	haretz19471125-01.1.3	25 November 1947	haretz	Page 3	"<div class=""txtsearchsnippet"">... קפה -האז"" בחיפה־ ב‭12‬ בנו־ בכבד, החלים ויצא את <b class=""highlightcolor"">בית החולים הממשלתי בחיפה.</b> גדרות התיל פרה' המלביפ - נזק ...</div>"
61	haretz19451118-01.1.3	18 November 1945	haretz	Page 3	"<div class=""txtsearchsnippet"">... דבר ב־4 השבועות האחרונים הובאו למחלקה למחלות מדבקות של <b class=""highlightcolor"">בית החולים הממשלתי בחיפה</b> 5 ערבים ' נגועי דבר. אחד ...</div>"
62	dav19471209-01.1.3	9 December 1947	dav	Page 3	"<div class=""txtsearchsnippet"">... עבודות שיכון נרחבות בת''א, קרית ~ עבודה, קרית חיים, <b class=""highlightcolor"">בית החולים הממשלתי בחיפה.</b> הקמת נ8ל ת""א בשיתוף המש־ רד ...</div>"
63	dav19450911-01.1.1	11 September 1945	dav	Page 1	"<div class=""txtsearchsnippet"">... _ו־17 מבין הפועלים נפצעו. _הפצו־ עיפ קשה נאטפו אל <b class=""highlightcolor"">בית החולים הממשלתי בחיפה.</b> _חמר3ז החקלאי מודיע: ישיבת הועדה לקליטת ...</div>"
64	haretz19470619-01.1.3	19 June 1947	haretz	Page 3	"<div class=""txtsearchsnippet"">... בבוקר ליד קלוב הסירות בנמל. ניצל ונאסף ל י <b class=""highlightcolor"">בית החולים הממשלתי בחיפה.</b> מת מפצעיו הפועל יצחק עומר, בן ...</div>"
65	haretz19450710-01.1.2	10 July 1945	haretz	Page 2	"<div class=""txtsearchsnippet"">... הדבר. המחלקה הקימה ב־1942 מחלקה מיוחדת לנגועי דבר ליד <b class=""highlightcolor"">בית החולים הממשלתי בחיפה,</b> ובאותה שנה — הוקם גם ביתן ...</div>"
