n	id	date	publication	title	snippet
87	ahr19470608-01.2.48	8 June 1947	ahr	3 פצועי קטטדת _אחמד _מותמד אברהים בן 35 הרכה	"<div class=""txtsearchsnippet"">... בכית־קפה, נגרם שבר ברגל בשעת קטטה. הפצועים נאםפי אל <b class=""highlightcolor"">בית־החולים הממשלתי.</b> _םכסדך כין _מלהימ פצעים קשים נגרמו למוצטפה אחמו ...</div>"
88	ahr19470416-01.2.3	16 April 1947	ahr	&#8237;8 ct'ii aran ,&#8236; אהדו!דוב קרבנ_1ת הר » ע 3 לה 1	"<div class=""txtsearchsnippet"">קהל, ביניהם _מבתי־החרושת, נהרו אל <b class=""highlightcolor"">בית־החולים הממשלתי'</b> שמשם יצאה ההלווייה. הגי ודיית, שהיו עטופות דגלי ...</div>"
89	ahr19480317-01.2.113	17 March 1948	ahr	"&#8237;&' _m a_'_juxa wm _srwro 01"" &#8236;"	"<div class=""txtsearchsnippet"">... ערבי נפצע קל חיום אחה""צ בשדרות הכרמל והובא אל <b class=""highlightcolor"">בית־החולים הממשלתי.</b> רוכב אופניים יחודי, מנחם פ ל ץ, הוכל ...</div>"
90	haretz19460911-01.2.25	11 September 1946	haretz	ו נ:חח*ח	"<div class=""txtsearchsnippet"">... במחנה עת־ ליס, הועברו אאתמול למחלק*־ , 'הפגימית של <b class=""highlightcolor"">בית־החולים הממשלתי</b> בחיפה. שתיהן יוצאות פולין. מהזור כ""ז של כיה""ס ...</div>"
91	haretz19460527-01.2.67	27 May 1946	haretz	רצח והתאבדות במחנה המשטרה בשרובה פרג'נט פריטי הרג את ידיד תו היהודיה והתאפד פיריה	"<div class=""txtsearchsnippet"">... הפסיקה לעביד. גופתה של הנרצחת היעברה לחדר־ המתים של <b class=""highlightcolor"">בית־החולים הממשלתי</b> ביפו.</div>"
92	ahr19460310-01.2.29	10 March 1946	ahr	נרצח •הוד־ היד _הידק! _8 ב ב שבת פנחס	"<div class=""txtsearchsnippet"">... ביום א' (היום) תועבר גוויית הנרצח לצורך _בדיקת־דמוות, אל <b class=""highlightcolor"">בית־החולים . הממשלתי</b> בפרדם כ""ץ.</div>"
93	ahr19470918-01.2.38	18 September 1947	ahr	Untitled	"<div class=""txtsearchsnippet"">... דקרו 3 דקירות בגבו‭2. ‬ הפצועים נאספו אל ו <b class=""highlightcolor"">בית־החולים הממשלתי</b> בחיפה. מצבם I אינו מסוכן. כוועדת התרבות שליד ...</div>"
94	ahr19470321-01.2.115	21 March 1947	ahr	בכמה שווות	"<div class=""txtsearchsnippet"">... יצאו חברי _, _חברא קדישא"" מרחובות ותל־ אביב אל <b class=""highlightcolor"">_בית־החולים הממשלתי</b> בעזה לוהות את הגופה שנפלטה בחוף אשדוד. אחרי ...</div>"
95	ahr19471106-01.2.41	6 November 1947	ahr	Untitled	"<div class=""txtsearchsnippet"">... 2 ערבים, שנדקרו בסכינים בקטטות, הובאו ביום ג' אל <b class=""highlightcolor"">בית־החולים הממשלתי</b> בחיפה. שכד דל‭. _/, ‬גנב ונעצר פקודת־מעצר לשבועיים ...</div>"
96	dav19460917-01.2.24	17 September 1946	dav	התנפלות חיילים על בהורות יהודיות ־	"<div class=""txtsearchsnippet"">... ‭. 16‬מכונית המשטרה י אספת אותם והעבירה אותפ אל <b class=""highlightcolor"">בית־החולים הממשלתי.</b></div>"
