n	id	date	publication	title	snippet
1	ytlv19371115-01.1.39	15 November 1937	ytlv	Page 39	"<div class=""txtsearchsnippet"">... בני־ברק, הוקל במדת־מה המצב בבית־ החולים העירוני בשטה זה. <b class=""highlightcolor"">ביה""ח הממשלתי</b> התרחב במשך הזמן' מספר המטות שלו הוגדל עד ...</div>"
2	ytlv19360615-01.1.24	15 June 1936	ytlv	Page 24	"<div class=""txtsearchsnippet"">... ביפו. בראש המחלקה עומד הד""ר ד""טלר, רופא יהודי של <b class=""highlightcolor"">ביה""ח הממשלתי</b> ביפו, ועל ידו תעזורנה אחיות יהודיות. לאחד רצח ...</div>"
3	hed19481217-01.1.13	17 December 1948	hed	Page 13	"<div class=""txtsearchsnippet"">... סקוטי , חובב יהודים, שממלא תפקידים אחראיים, הוא מנהל <b class=""highlightcolor"">ביה""ח הממשלתי</b> ואחראי לדיור. הוא עזר לי בפתיחת בית החולים. ...</div>"
4	ytlv19391115-01.1.50	15 November 1939	ytlv	Page 50	"<div class=""txtsearchsnippet"">... וכולם נקלטו בביה""ח. כמה מן החולים במחלות מדבקות קולט <b class=""highlightcolor"">ביה""ח הממשלתי</b> בבני־ ברק. לעומת זה גדל בהרבה מספר החולים ...</div>"
5	itonmeyuhad19470627-01.1.6	27 June 1947	itonmeyuhad	Page 6	"<div class=""txtsearchsnippet"">עובדי <b class=""highlightcolor"">ביה״ח הממשלתי</b> בפרדם כ״ץ הכריזו שביתת רעב נגד מנהלת המשק ...</div>"
6	tsohorayimhaifa19460502-01.1.1	2 May 1946	tsohorayimhaifa	Page 1	"<div class=""txtsearchsnippet"">... שרוב תושביה עצורים מאז פרוץ המלחמה האחרונה. כשנשאלה הנהלת <b class=""highlightcolor"">ביה״ח הממשלתי</b> אם ידוע לה הדבר, ניתנה תשובה, כי מה ...</div>"
7	itonmeyuhad19470822-01.1.3	22 August 1947	itonmeyuhad	Page 3	"<div class=""txtsearchsnippet"">... מסרו חוות־ דעתם האחידה הועבר הבר־מינן לחדר המתים של <b class=""highlightcolor"">ביה״ח הממשלתי</b> ביפו. מה שמפליא בכל הענין אינה טעותו של ...</div>"
8	hbkr19400528-01.1.8	28 May 1940	hbkr	Page 8	"<div class=""txtsearchsnippet"">... תושבי צפת. במקום שם שמש וזד""ר ט. ש. מנהל <b class=""highlightcolor"">ביה''ח הממשלתי.</b> יודעים לספר רבות על פעולותיו בעזרה 'לנל נצרך. ...</div>"
9	ahr19471207-01.1.4	7 December 1947	ahr	Page 4	"<div class=""txtsearchsnippet"">... פצעים בבטנו ובידיו. במצב קשה נאספו ל1ני הפצועים אל <b class=""highlightcolor"">ביה""ח הממשלתי.</b></div>"
10	itonmeyuhad19340412-01.1.1	12 April 1934	itonmeyuhad	Page 1	"<div class=""txtsearchsnippet"">... הדלת. במטתו שכב הרופא בלי ניע וזיע. הובהלה מרכבת <b class=""highlightcolor"">ביה״ח הממשלתי</b> והובילה את הד״ר מאיר להתם. כל הנסיו־ נות ...</div>"
11	hmf19460619-01.1.1	19 June 1946	hmf	Page 1	"<div class=""txtsearchsnippet"">... המשתתפים הוסעו בשעה ‭5. 30‬ אהה""צ מחדר המתים של <b class=""highlightcolor"">ביה""ח הממשלתי</b> בחיפה גופותיהם של 11 ההרוגים (שנפלו בהתקפות על ...</div>"
12	haolam19390316-01.1.11	16 March 1939	haolam	Page 11	"<div class=""txtsearchsnippet"">... הצלב האדום בצפת, שבה נסע ד""ד ט. שטרנברג, ריפא <b class=""highlightcolor"">ביה""ח הממשלתי</b> בצפת בלויית אחות נוצריה ונהג ערבי. ד""ד שטדנבדג ...</div>"
13	hmf19480108-01.1.1	8 January 1948	hmf	Page 1	"<div class=""txtsearchsnippet"">... אחד הנמלטים שגופתו המנוקבת כדורים . נמצאה על הגדר. <b class=""highlightcolor"">_!ביה""ח הממשלתי</b> זוהה אמרי כן כנסים בן :חיים בן ‭. ...</div>"
14	haolam19480923-01.1.12	23 September 1948	haolam	Page 12	"<div class=""txtsearchsnippet"">... לאחיות ליד ביה־ח הירקון בתל־אביב ובית הטםר לאחיות ליד <b class=""highlightcolor"">ביה""ח הממשלתי</b> בחיפה. מסםר התלמידות בשני בתי־הסםר הוא ‭. 70 ...</div>"
15	hmf19430616-01.1.4	16 June 1943	hmf	Page 4	"<div class=""txtsearchsnippet""><b class=""highlightcolor"">ביה'ח הממשלתי</b> _בבני־בול. יוגדל פ י ארבעה</div>"
16	hmf19451225-01.1.4	25 December 1945	hmf	Page 4	"<div class=""txtsearchsnippet"">... ובין בת גלים והעיר, עד לתחנת הרכבת המזרחית ורחבת <b class=""highlightcolor"">ביה""ח הממשלתי.</b> שיפורים אלה היו כצננים בעיני שרות האוטובוסים הערבי ...</div>"
17	ahr19471221-01.1.4	21 December 1947	ahr	Page 4	"<div class=""txtsearchsnippet"">... בן ‭. 19‬ מצבו קשה. כול אלה נאספו אל <b class=""highlightcolor"">ביה""ח הממשלתי.</b> *לד ששיחק בכדור תחמושת י לד בן ד, ...</div>"
18	yomyom19480802-01.1.4	2 August 1948	yomyom	Page 4	"<div class=""txtsearchsnippet"">... על במי החולים בחיפה — נודע לנו שביה״ח העירוני <b class=""highlightcolor"">(ביה״ח הממשלתי</b> לשעבר, שהועבר לעירית חיפה) יועבר לממשלת ישראל, פרט ...</div>"
19	hbkr19420625-01.1.5	25 June 1942	hbkr	Page 5	"<div class=""txtsearchsnippet"">ביליג. שהוא חוליה קשה. 'הובא לביה""ד בבגדי <b class=""highlightcolor"">ביה''ח הממשלתי.</b> היא היחידי מבין הבאשמים שהופיע בלי עמד. העד ...</div>"
20	tsohorayimhaifa19460109-01.1.1	9 January 1946	tsohorayimhaifa	Page 1	"<div class=""txtsearchsnippet"">... אניס אלחורי ועלי אל כליל׳ הד״ר אברהים עיטאיים, מנהל <b class=""highlightcolor"">ביה״ח הממשלתי,</b> נג׳יב מנסור, מוכתר הדרוזים בעוספיה, מכאל תומה, חג׳ ...</div>"
21	kolisraeljlm19380818-01.1.4	18 August 1938	kolisraeljlm	Page 4	"<div class=""txtsearchsnippet"">... ע״י תל אביב נפצעו שני יהודים. — ע״י בנין <b class=""highlightcolor"">ביה״ח הממשלתי</b> החרש נמצאה פצצה טורקית בארך 40 מ״ט. — ...</div>"
22	dav19480620-01.1.3	20 June 1948	dav	Page 3	"<div class=""txtsearchsnippet"">בקשר _לידיעות בלתי מדויקות, שפורסמו בעתונות על גורלו של <b class=""highlightcolor"">ביה''ח הממשלתי</b> בהיפה, מביאה מחלקת הבריאות לידיעת הציבור את הדבריט ...</div>"
23	haolam19480219-01.1.12	19 February 1948	haolam	Page 12	"<div class=""txtsearchsnippet"">... גהרגו. וגם מספר ערבים נפצעו. ערבים מזמינים התקיפו את <b class=""highlightcolor"">ביה""ח הממשלתי</b> בצפח והוציאו משם מפקד כנופיה פצוע אמיר. חיפה ...</div>"
24	mar19480310-01.1.4	10 March 1948	mar	Page 4	"<div class=""txtsearchsnippet""><b class=""highlightcolor"">ביה""ח הממשלתי</b> ביפו - לידי הערבים ז ד""ר יוסוף הייכל ...</div>"
25	itonmeyuhad19340114-01.1.4	14 January 1934	itonmeyuhad	Page 4	"<div class=""txtsearchsnippet"">... גם בתור אסיסטנט במקרי נתוחים במחלקה החירור־ גיח של <b class=""highlightcolor"">ביה״ח הממשלתי</b> ביפו. כלומר: גם באיזמל הנתוח אחזה ידו של ...</div>"
26	ahr19470326-01.1.3	26 March 1947	ahr	Page 3	"<div class=""txtsearchsnippet"">... סטאגטרן על־ידי מבינית־מניא‭. -‬גגרם לו שבר בזרוע וגאסף אל <b class=""highlightcolor"">ביה""ח הממשלתי.</b> נחש הכישו בווץריו אי סרים (מחוז חיכה) הכיש ...</div>"
27	hmf19470518-01.1.4	18 May 1947	hmf	Page 4	"<div class=""txtsearchsnippet"">התינוקת שנעלמה בשבת שעברה מחדר הילדים של <b class=""highlightcolor"">ביה""ח הממשלתי</b> בחיפה נמצאה אתמול בריאה והוחזרה להוריה. התינוקת, שנולדה ...</div>"
28	dav19371117-01.1.5	17 November 1937	dav	Page 5	"<div class=""txtsearchsnippet"">מנהלת סולל _בוגה חברי!בבנין <b class=""highlightcolor"">ביה""ח הממשלתי</b> בחיפה</div>"
29	hmf19470716-01.1.4	16 July 1947	hmf	Page 4	"<div class=""txtsearchsnippet"">... מפקח משטרת הדר־הכרמל, י שגבה עדות מפי הנאשם ב־ <b class=""highlightcolor"">ביה""ח הממשלתי,</b> עדותי שלא נחתמה ע""י הנאשם מאחר שהוא לא ...</div>"
30	hmf19480205-01.1.3	5 February 1948	hmf	Page 3	"<div class=""txtsearchsnippet"">... אם כי חמשה ימים עבריו מאז מתה מפצעיה ב־ <b class=""highlightcolor"">ביה""ח הממשלתי.</b> בגלל צלב שנמצא עליה נרשמה בשעתו כנוצריה, אולם ...</div>"
31	hmf19470511-01.1.4	11 May 1947	hmf	Page 4	"<div class=""txtsearchsnippet"">... — לכיה""ד הצכאי יצחק בוזגלו, בן ‭, 29‬עזב את <b class=""highlightcolor"">ביה""ח הממשלתי</b> בחיפה והובא בשבת לפני השופט דאוד יוסף כששתי ...</div>"
32	hmf19431029-01.1.6	29 October 1943	hmf	Page 6	"<div class=""txtsearchsnippet"">בדצמבר ייפתח <b class=""highlightcolor"">ביה""ח הממשלתי</b> לחולי המושבות</div>"
