date	pub	page_id	verdict	hospital_mentions	towns_in_range	other_haifa_hospitals	found_by
1935-01-14	dav	dav19350114-01.1.2	untowned	2			indefinite
1935-02-06	dav	dav19350206-01.1.5	other	4	jerusalem		spelled
1935-02-08	yarden	yarden19350208-01.1.4	other	1	jerusalem		indefinite
1935-02-11	dav	dav19350211-01.1.4	other	3	jaffa		spelled
1935-03-04	yarden	yarden19350304-01.1.1	other	9	acre,jaffa,jerusalem,telaviv	hadassah	indefinite
1935-03-07	dav	dav19350307-01.1.3	other	36	jaffa		spelled
1935-03-08	dhy	dhy19350308-01.1.4	other	1	jerusalem		spelled
1935-03-12	haretz	haretz19350312-01.1.1	other	3	jerusalem,telaviv		indefinite
1935-03-22	dhy	dhy19350322-01.1.6	other	1	jerusalem		spelled
1935-04-04	dhy	dhy19350404-01.1.6	other	1	jaffa		abbreviated
1935-04-17	dav	dav19350417-01.1.4	other	1	jaffa		spelled
1935-04-19	haretz	haretz19350419-01.1.9	other	2	jaffa		spelled
1935-04-21	dav	dav19350421-01.1.6	mixed	4	haifa,jaffa		spelled
1935-05-09	dhy	dhy19350509-01.1.6	mixed	2	haifa,jaffa		spelled
1935-06-13	haretz	haretz19350613-01.1.6	untowned	2			spelled
1935-08-12	dav	dav19350812-01.1.6	untowned	2			spelled
1935-08-18	dav	dav19350818-01.1.6	other	5	jaffa,jerusalem,telaviv	hadassah	maqaf
1935-09-12	dhy	dhy19350912-01.1.8	haifa	4	haifa		indefinite
1935-09-26	dav	dav19350926-01.1.6	mixed	6	haifa,tiberias	hadassah	indefinite
1935-09-26	yarden	yarden19350926-01.1.6	other	3	jaffa,telaviv		spelled
1935-10-02	haretz	haretz19351002-01.1.8	untowned	1			indefinite
1935-10-08	dhy	dhy19351008-01.1.7	other	2	jaffa		indefinite
1935-10-21	dhy	dhy19351021-01.1.5	other	3	jaffa,jerusalem		abbreviated
1935-10-21	hbkr	hbkr19351021-01.1.6	untowned	1			abbreviated
1935-10-28	yarden	yarden19351028-01.1.6	other	4	jaffa,jerusalem,ramleh		indefinite
1935-11-05	hbkr	hbkr19351105-01.1.2	other	13	jaffa,safed,telaviv	hadassah	maqaf
1935-11-05	hbkr	hbkr19351105-01.1.5	mixed	1	acre,haifa		maqaf
1935-11-10	dav	dav19351110-01.1.1	other	1	safed		spelled
1935-11-13	dav	dav19351113-01.1.1	other	1	jerusalem		spelled
1935-11-14	dav	dav19351114-01.1.1	untowned	4		english	spelled
1935-11-19	hbkr	hbkr19351119-01.1.5	untowned	1			spelled
1935-12-13	haretz	haretz19351213-01.1.6	other	3	jerusalem	hadassah	spelled
1935-12-16	dav	dav19351216-01.1.6	other	2	jaffa,jerusalem		spelled
1935-12-26	dav	dav19351226-01.1.7	untowned	2			indefinite
1936-01-19	dav	dav19360119-01.1.7	other	8	jerusalem		spelled
1936-01-20	dav	dav19360120-01.1.10	other	4	jerusalem		spelled
1936-02-17	dav	dav19360217-01.1.1	haifa	3	haifa		spelled
1936-02-24	dav	dav19360224-01.1.7	other	3	jaffa		spelled
1936-04-15	dhy	dhy19360415-01.1.8	mixed	6	gaza,haifa,jerusalem		spelled
1936-04-20	haretz	haretz19360420-01.1.5	other	10	jaffa,telaviv	hadassah	spelled
1936-04-21	dav	dav19360421-01.1.7	untowned	3			spelled
1936-05-14	haretz	haretz19360514-01.1.9	untowned	2			spelled
1936-05-20	dav	dav19360520-01.1.6	other	2	jaffa,jerusalem,telaviv		spelled
1936-06-08	haretz	haretz19360608-01.1.7	haifa	3	haifa		abbreviated
1936-06-14	dhy	dhy19360614-01.1.4	other	5	jaffa,nablus,telaviv	hadassah	spelled
1936-06-15	dav	dav19360615-01.1.1	other	1	nablus		spelled
1936-06-15	ytlv	ytlv19360615-01.1.24	other	12	jaffa,telaviv		abbreviated,maqaf,spelled
1936-06-16	dav	dav19360616-01.1.4	haifa	1	haifa		maqaf
1936-06-21	dav	dav19360621-01.1.6	untowned	2			spelled
1936-07-05	dav	dav19360705-01.1.7	untowned	1			spelled
1936-07-05	haretz	haretz19360705-01.1.5	untowned	5			spelled
1936-07-08	dav	dav19360708-01.1.8	no_hospital_term	0			spelled
1936-07-26	dav	dav19360726-01.1.1	other	2	jaffa		spelled
1936-07-27	dav	dav19360727-01.1.10	other	3	telaviv		indefinite
1936-07-29	haretz	haretz19360729-01.1.5	other	3	jaffa,telaviv		spelled
1936-08-02	dav	dav19360802-01.1.3	other	3	jaffa		spelled
1936-08-18	dav	dav19360818-01.1.7	other	21	jaffa,telaviv	hadassah	maqaf
1936-08-19	dav	dav19360819-01.1.7	other	3	jaffa		spelled
1936-08-20	dav	dav19360820-01.1.3	other	2	jerusalem		spelled
1936-08-20	haolam	haolam19360820-01.1.5	other	4	jaffa,safed		maqaf
1936-08-21	dav	dav19360821-01.1.18	other	3	jaffa,jerusalem,telaviv		spelled
1936-08-21	dav	dav19360821-01.1.7	other	1	jerusalem		spelled
1936-08-21	dav	dav19360821-01.1.8	other	3	jaffa,jerusalem		spelled
1936-08-23	dav	dav19360823-01.1.6	mixed	4	haifa,jaffa,jerusalem,tiberias		spelled
1936-08-24	dav	dav19360824-01.1.10	other	1	acre,telaviv		maqaf
1936-08-26	dav	dav19360826-01.1.9	other	2	jerusalem		maqaf
1936-09-05	dav	dav19360905-01.1.2	mixed	6	haifa,jaffa,jerusalem,nazareth,telaviv		maqaf
1936-09-12	dav	dav19360912-01.1.1	other	4	jaffa,telaviv		spelled
1936-09-16	haretz	haretz19360916-01.1.8	mixed	4	haifa,telaviv		abbreviated
1936-09-23	dav	dav19360923-01.1.1	mixed	3	haifa,jaffa,safed	rothschild	abbreviated
1936-09-23	haretz	haretz19360923-01.1.2	mixed	6	haifa,jaffa,safed,tiberias		spelled
1936-09-25	dav	dav19360925-01.1.3	other	2	jaffa		spelled
1936-09-25	haretz	haretz19360925-01.1.1	mixed	6	haifa,jaffa,jerusalem,telaviv	hadassah	spelled
1936-10-05	dav	dav19361005-01.1.6	other	3	jaffa		spelled
1936-10-06	haretz	haretz19361006-01.1.1	other	2	jaffa,telaviv		spelled
1936-10-09	haretz	haretz19361009-01.1.14	other	1	jerusalem		spelled
1936-10-15	dav	dav19361015-01.1.1	untowned	3			spelled
1936-10-16	haretz	haretz19361016-01.1.8	haifa	2	haifa	hadassah	spelled
1936-10-18	haretz	haretz19361018-01.1.2	other	1	jaffa		spelled
1936-10-18	haretz	haretz19361018-01.1.4	untowned	2			spelled
1936-10-21	haretz	haretz19361021-01.1.1	untowned	1			spelled
1936-10-23	haretz	haretz19361023-01.1.7	haifa	1	haifa		spelled
1936-10-29	haretz	haretz19361029-01.1.1	other	4	jaffa		spelled
1936-11-12	dav	dav19361112-01.1.4	untowned	2			spelled
1937-01-08	haretz	haretz19370108-01.1.6	other	3	jaffa	hadassah	spelled
1937-02-14	haretz	haretz19370214-01.1.1	haifa	2	haifa		maqaf
1937-02-25	haretz	haretz19370225-01.1.8	untowned	1			spelled
1937-03-02	haretz	haretz19370302-01.1.6	other	2	jaffa	hadassah	maqaf
1937-03-07	dav	dav19370307-01.1.1	mixed	8	haifa,jerusalem,telaviv	hadassah	spelled
1937-03-18	haretz	haretz19370318-01.1.9	other	6	jaffa,jerusalem		spelled
1937-03-30	dav	dav19370330-01.1.1	other	3	jaffa,nablus,telaviv	hadassah	spelled
1937-04-04	haretz	haretz19370404-01.1.1	other	5	jerusalem,nablus,safed		spelled
1937-04-08	haretz	haretz19370408-01.1.7	other	3	acre,jerusalem		spelled
1937-04-11	kolisraeljlm	kolisraeljlm19370411-01.1.2	no_hospital_term	0			spelled
1937-04-12	dav	dav19370412-01.1.5	mixed	4	haifa,jerusalem,telaviv	hadassah	spelled
1937-04-25	haretz	haretz19370425-01.1.4	mixed	4	haifa,jaffa,jerusalem,ramleh		abbreviated
1937-06-09	dav	dav19370609-01.1.1	mixed	1	haifa,jerusalem		spelled
1937-06-17	haolam	haolam19370617-01.1.9	haifa	1	haifa		maqaf
1937-06-18	dav	dav19370618-01.1.19	haifa	2	haifa		maqaf
1937-06-21	dav	dav19370621-01.1.3	mixed	9	acre,haifa,jerusalem,telaviv	hadassah	spelled
1937-06-25	dav	dav19370625-01.1.2	other	1	jaffa		spelled
1937-06-27	itonmeyuhad	itonmeyuhad19370627-01.1.5	other	7	jaffa	hadassah	spelled
1937-07-15	haolam	haolam19370715-01.1.19	other	3	jerusalem,telaviv		maqaf
1937-07-29	dav	dav19370729-01.1.8	mixed	6	haifa,jaffa,jerusalem,nablus	english	maqaf
1937-08-04	haretz	haretz19370804-01.1.8	mixed	3	haifa,jaffa,jerusalem		spelled
1937-08-30	haretz	haretz19370830-01.1.5	untowned	3		hadassah	spelled
1937-09-05	dav	dav19370905-01.1.20	mixed	1	haifa,jaffa		spelled
1937-09-05	dav	dav19370905-01.1.41	haifa	2	haifa	hadassah	spelled
1937-09-10	dav	dav19370910-01.1.9	other	4	jerusalem		spelled
1937-09-16	haretz	haretz19370916-01.1.1	other	1	safed		spelled
1937-09-30	dav	dav19370930-01.1.6	other	5	jaffa,nablus		spelled
1937-10-03	dav	dav19371003-01.1.3	other	2	acre		spelled
1937-10-19	dav	dav19371019-01.1.4	untowned	1			spelled
1937-11-11	haolam	haolam19371111-01.1.7	mixed	3	haifa,jaffa,jerusalem,telaviv		maqaf
1937-11-15	ytlv	ytlv19371115-01.1.39	other	21	jaffa,telaviv	hadassah	abbreviated
1937-11-17	dav	dav19371117-01.1.5	haifa	1	haifa		abbreviated
1937-11-30	dav	dav19371130-01.1.1	mixed	7	haifa,jaffa,jerusalem,safed	hadassah	spelled
1938-01-20	haretz	haretz19380120-01.1.10	haifa	2	haifa		spelled
1938-01-27	hbkr	hbkr19380127-01.1.1	other	2	jerusalem,safed		abbreviated
1938-01-28	hzh	hzh19380128-01.1.1	other	2	jerusalem		spelled
1938-02-02	dav	dav19380202-01.1.4	other	5	jaffa,telaviv		maqaf
1938-02-03	dav	dav19380203-01.1.5	haifa	3	haifa		spelled
1938-02-09	dav	dav19380209-01.1.6	haifa	10	haifa		spelled
1938-02-10	haolam	haolam19380210-01.1.12	other	3	jaffa		spelled
1938-02-20	dav	dav19380220-01.1.6	other	4	acre,jerusalem		indefinite
1938-02-21	dav	dav19380221-01.1.4	haifa	3	haifa		spelled
1938-02-25	hbkr	hbkr19380225-01.1.6	haifa	1	haifa		spelled
1938-02-27	hbkr	hbkr19380227-01.1.6	untowned	4			spelled
1938-03-15	hbkr	hbkr19380315-01.1.3	untowned	2			spelled
1938-03-23	dav	dav19380323-01.1.8	other	3	jerusalem		spelled
1938-03-27	dav	dav19380327-01.1.6	other	1	jaffa		spelled
1938-03-29	dav	dav19380329-01.1.1	mixed	3	haifa,jerusalem,safed	hadassah	spelled
1938-03-29	dav	dav19380329-01.1.7	other	1	safed		spelled
1938-03-29	haretz	haretz19380329-01.1.5	untowned	1			spelled
1938-04-13	dav	dav19380413-01.1.4	mixed	18	haifa,jaffa,safed		spelled
1938-04-17	dav	dav19380417-01.1.1	mixed	5	haifa,jaffa	hadassah	indefinite
1938-04-19	hbkr	hbkr19380419-01.1.4	other	1	acre,jaffa		maqaf
1938-04-25	hbkr	hbkr19380425-01.1.5	other	2	telaviv		spelled
1938-05-08	haretz	haretz19380508-01.1.3	untowned	1			spelled
1938-05-11	hbkr	hbkr19380511-01.1.6	other	5	jerusalem		abbreviated
1938-05-11	hzh	hzh19380511-01.1.4	other	5	jaffa	hadassah	spelled
1938-06-07	dav	dav19380607-01.1.1	other	5	jerusalem		spelled
1938-06-14	hzh	hzh19380614-01.1.4	other	4	jaffa,jerusalem		spelled
1938-06-27	dav	dav19380627-01.1.1	mixed	1	haifa,jaffa		spelled
1938-06-27	haretz	haretz19380627-01.1.1	mixed	2	haifa,nablus	hadassah	maqaf
1938-07-04	dav	dav19380704-01.1.1	haifa	3	haifa		spelled
1938-07-17	haretz	haretz19380717-01.1.1	other	5	jerusalem	hadassah	spelled
1938-07-19	haretz	haretz19380719-01.1.1	mixed	5	haifa,safed	hadassah	spelled
1938-08-03	haretz	haretz19380803-01.1.1	haifa	2	haifa		spelled
1938-08-08	dav	dav19380808-01.1.3	untowned	2			spelled
1938-08-08	hzh	hzh19380808-01.1.3	mixed	5	acre,haifa,jaffa,safed,tiberias	hadassah	spelled
1938-08-12	dav	dav19380812-01.1.9	other	3	jaffa		spelled
1938-08-14	dav	dav19380814-01.1.6	other	3	jaffa,nablus		spelled
1938-08-16	hbkr	hbkr19380816-01.1.6	mixed	6	haifa,jerusalem,telaviv	hadassah	abbreviated
1938-08-18	kolisraeljlm	kolisraeljlm19380818-01.1.4	other	4	jaffa,nablus,telaviv		abbreviated
1938-08-19	hzh	hzh19380819-01.1.1	other	1	jaffa		spelled
1938-08-22	haretz	haretz19380822-01.1.4	other	4	jaffa,jerusalem		spelled
1938-08-30	dav	dav19380830-01.1.8	other	3	safed,telaviv		spelled
1938-09-08	dav	dav19380908-01.1.1	other	1	jerusalem		spelled
1938-09-15	ytlv	ytlv19380915-01.1.5	other	1	jaffa,tiberias		spelled
1938-09-25	dav	dav19380925-01.1.12	haifa	1	haifa		spelled
1938-10-03	haretz	haretz19381003-01.1.6	other	5	jerusalem,telaviv	hadassah	abbreviated
1938-10-07	dav	dav19381007-01.1.4	other	3	tiberias		spelled
1938-10-09	haretz	haretz19381009-01.1.7	other	4	jaffa,jerusalem,telaviv		spelled
1938-10-12	hzh	hzh19381012-01.1.3	other	3	jaffa		spelled
1938-10-18	hbkr	hbkr19381018-01.1.1	other	1	jaffa,jerusalem,telaviv		spelled
1938-10-18	hbkr	hbkr19381018-01.1.6	other	6	jaffa,jerusalem	hadassah	spelled
1938-10-25	hzh	hzh19381025-01.1.1	untowned	1			maqaf
1938-10-30	hzh	hzh19381030-01.1.1	other	3	jerusalem,telaviv,tiberias	hadassah	spelled
1938-11-01	dav	dav19381101-01.1.8	other	3	nablus,telaviv		spelled
1938-11-04	hbkr	hbkr19381104-01.1.8	mixed	3	haifa,safed,telaviv		maqaf
1938-11-08	haretz	haretz19381108-01.1.1	other	3	gaza,jerusalem		spelled
1938-11-12	hashaah	hashaah19381112-01.1.2	other	4	nablus		spelled
1938-11-13	hzh	hzh19381113-01.1.5	haifa	5	haifa		spelled
1938-11-16	dav	dav19381116-01.1.1	mixed	3	haifa,jaffa,jerusalem		spelled
1938-11-16	dav	dav19381116-01.1.3	mixed	6	haifa,jaffa,jerusalem		spelled
1938-11-16	haretz	haretz19381116-01.1.6	mixed	10	haifa,jaffa,jerusalem		maqaf,spelled
1938-11-18	hbkr	hbkr19381118-01.1.4	mixed	6	haifa,jerusalem		spelled
1938-12-08	dav	dav19381208-01.1.4	mixed	11	haifa,jaffa		spelled
1938-12-19	hzh	hzh19381219-01.1.1	other	2	jaffa,telaviv	hadassah	maqaf
1938-12-20	dav	dav19381220-01.1.7	mixed	3	acre,haifa		spelled
1938-12-22	dav	dav19381222-01.1.6	haifa	2	haifa		spelled
1938-12-22	haretz	haretz19381222-01.1.6	untowned	2			spelled
1938-12-23	dav	dav19381223-01.1.8	haifa	11	haifa		spelled
1938-12-23	haretz	haretz19381223-01.1.1	mixed	4	acre,haifa		maqaf
1938-12-23	haretz	haretz19381223-01.1.2	mixed	7	haifa,jaffa		spelled
1938-12-23	hbkr	hbkr19381223-01.1.7	haifa	6	haifa		spelled
1938-12-25	dav	dav19381225-01.1.8	other	4	gaza,jaffa,nablus,telaviv		spelled
1938-12-26	dav	dav19381226-01.1.1	mixed	3	haifa,jaffa,tiberias		spelled
1938-12-27	dav	dav19381227-01.1.1	mixed	3	haifa,jaffa	hadassah	spelled
1938-12-27	hbkr	hbkr19381227-01.1.1	mixed	3	haifa,jaffa	english,hadassah	abbreviated
1938-12-27	hzh	hzh19381227-01.1.1	mixed	3	haifa,jaffa,safed,telaviv	hadassah	spelled
1938-12-28	dav	dav19381228-01.1.1	other	1	jaffa,nablus		spelled
1938-12-28	hbkr	hbkr19381228-01.1.1	other	1	jaffa,nablus		spelled
1938-12-28	hzh	hzh19381228-01.1.1	other	1	jaffa		spelled
1939-01-02	hzh	hzh19390102-01.1.4	untowned	1			spelled
1939-01-05	haolam	haolam19390105-01.1.5	untowned	1			spelled
1939-01-06	dav	dav19390106-01.1.6	other	4	jaffa,telaviv		spelled
1939-01-06	haretz	haretz19390106-01.1.5	other	1	jaffa		spelled
1939-01-15	haretz	haretz19390115-01.1.3	other	12	jaffa	hadassah	spelled
1939-01-15	ytlv	ytlv19390115-01.1.13	mixed	5	haifa,jaffa		spelled
1939-01-24	hzh	hzh19390124-01.1.4	untowned	1			spelled
1939-02-09	haretz	haretz19390209-01.1.2	untowned	2			maqaf
1939-02-19	hzh	hzh19390219-01.1.3	other	1	jerusalem		spelled
1939-02-27	hmf	hmf19390227-01.1.1	untowned	1			spelled
1939-03-07	dav	dav19390307-01.1.1	other	6	jaffa,jerusalem,safed,telaviv	hadassah	spelled
1939-03-07	hbkr	hbkr19390307-01.1.1	other	4	safed		spelled
1939-03-13	hzh	hzh19390313-01.1.1	haifa	2	haifa	hadassah	spelled
1939-03-16	haolam	haolam19390316-01.1.11	other	2	safed		abbreviated
1939-03-23	hmf	hmf19390323-01.1.1	other	3	nablus,ramleh,telaviv		indefinite
1939-03-23	hzh	hzh19390323-01.1.1	other	13	ramleh,telaviv	hadassah	indefinite
1939-03-24	hbkr	hbkr19390324-01.1.8	other	1	jaffa		abbreviated
1939-04-17	hmf	hmf19390417-01.1.3	other	2	jerusalem,safed		spelled
1939-04-23	hmf	hmf19390423-01.1.4	mixed	3	haifa,jaffa,jerusalem,telaviv	hadassah	maqaf
1939-04-30	itonmeyuhad	itonmeyuhad19390430-01.1.6	other	4	jerusalem		spelled
1939-05-11	hbkr	hbkr19390511-01.1.6	mixed	4	acre,haifa,jaffa	hadassah	abbreviated
1939-05-26	hbkr	hbkr19390526-01.1.6	other	3	safed	elisha,hadassah	spelled
1939-06-20	dav	dav19390620-01.1.1	mixed	5	haifa,safed	hadassah	spelled
1939-06-20	dav	dav19390620-01.1.5	mixed	2	haifa,jaffa		spelled
