date	pub	page_id	verdict	hospital_mentions	towns_in_range	other_haifa_hospitals	found_by
1930-06-26	haretz	haretz19300626-01.1.1	mixed	3	haifa,safed,telaviv		
1930-11-11	haretz	haretz19301111-01.1.4	untowned	3			
1930-12-31	dav	dav19301231-01.1.3	other	8	jaffa,telaviv	hadassah	
1931-01-16	dav	dav19310116-01.1.4	other	1	telaviv		
1931-04-26	dav	dav19310426-01.1.4	untowned	2			
1931-05-08	haretz	haretz19310508-01.1.4	haifa	2	haifa		
1931-06-09	dhy	dhy19310609-01.1.4	untowned	6		hadassah	
1931-06-23	haretz	haretz19310623-01.1.4	other	5	acre,jerusalem,tiberias		
1932-06-05	dav	dav19320605-01.1.3	mixed	15	haifa,jaffa,nablus,telaviv		
1932-06-19	haretz	haretz19320619-01.1.4	other	1	acre		
1932-07-05	misharvetaasiyah	misharvetaasiyah19320705-01.1.13	mixed	1	haifa,safed,tiberias		
1932-08-02	dav	dav19320802-01.1.3	mixed	3	haifa,jaffa,jerusalem		
1932-09-11	dav	dav19320911-01.1.4	other	3	jerusalem		
1932-09-18	dhy	dhy19320918-01.1.4	untowned	4			
1933-04-13	haretz	haretz19330413-01.1.4	mixed	5	haifa,jaffa,jerusalem,telaviv	hadassah	
1933-04-14	dav	dav19330414-01.1.3	mixed	7	haifa,jaffa,telaviv		
1933-08-11	haretz	haretz19330811-01.1.4	other	1	jerusalem		
1934-06-15	dav	dav19340615-01.1.1	other	2	telaviv		
1934-07-05	itonmeyuhad	itonmeyuhad19340705-01.1.4	other	1	telaviv	hadassah	
1935-01-18	haretz	haretz19350118-01.1.5	other	2	telaviv		
1935-01-23	haretz	haretz19350123-01.1.1	untowned	3		english,hadassah	
1935-02-19	dav	dav19350219-01.1.1	other	4	gaza,telaviv		
1935-03-19	dav	dav19350319-01.1.5	mixed	1	haifa,telaviv		
1935-07-31	haretz	haretz19350731-01.1.7	other	3	jaffa,nazareth		
1935-10-29	dav	dav19351029-01.1.6	other	3	jerusalem,telaviv		
1935-11-25	dav	dav19351125-01.1.4	other	4	telaviv	hadassah	
1935-12-08	dav	dav19351208-01.1.1	untowned	4			
1935-12-16	haretz	haretz19351216-01.1.6	untowned	1			
1936-02-19	dav	dav19360219-01.1.6	other	3	jaffa,jerusalem,telaviv	hadassah	
1936-03-25	dav	dav19360325-01.1.40	untowned	1		english	
1936-06-01	dav	dav19360601-01.1.2	other	2	jaffa		
1936-06-26	dav	dav19360626-01.1.17	other	3	jaffa,nablus		
1936-07-14	dav	dav19360714-01.1.4	untowned	2			
1936-08-11	dav	dav19360811-01.1.9	other	2	acre,safed	hadassah	
1936-08-11	haretz	haretz19360811-01.1.5	mixed	6	haifa,jaffa,jerusalem,tiberias	hadassah	
1936-09-06	dav	dav19360906-01.1.7	mixed	4	acre,haifa,tiberias		
1936-10-18	dav	dav19361018-01.1.7	other	5	jerusalem,telaviv		
1936-10-25	haretz	haretz19361025-01.1.8	untowned	1			
1936-10-27	haretz	haretz19361027-01.1.1	other	6	jerusalem,telaviv		
1936-11-10	dav	dav19361110-01.1.3	other	3	jaffa		
1937-01-31	haretz	haretz19370131-01.1.3	mixed	19	haifa,jaffa	hadassah,rothschild	
1937-03-07	itonmeyuhad	itonmeyuhad19370307-01.1.8	other	1	jerusalem		
1937-08-12	dav	dav19370812-01.1.5	untowned	2		hadassah	
1937-11-05	yarden	yarden19371105-01.1.1	other	1	jaffa		
1937-11-11	dav	dav19371111-01.1.3	untowned	2			
1937-12-20	dav	dav19371220-01.1.3	haifa	9	haifa		
1938-01-16	haretz	haretz19380116-01.1.5	haifa	3	haifa	hadassah	
1938-02-09	hbkr	hbkr19380209-01.1.4	other	8	telaviv		
1938-03-21	hbkr	hbkr19380321-01.1.5	other	4	jaffa		
1938-03-21	hzh	hzh19380321-01.1.3	mixed	2	haifa,jaffa	hadassah	
1938-04-13	haretz	haretz19380413-01.1.7	other	3	gaza,telaviv		
