n	id	date	publication	title	snippet
23	wartedestempels19300515-01.1.8	15 May 1930	wartedestempels	Page 8	"<div class=""txtsearchsnippet"">... botaniſcher Garten angelegt werden. Anläßlich der Beerdigung einer im <b class=""highlightcolor"">Hoſpital</b> verſtorbenen Kommuniſtin kam es in Jeruſalem am 16. April ...</div>"
24	wartedestempels19281215-01.1.2	15 December 1928	wartedestempels	Page 2	"<div class=""txtsearchsnippet"">... der nördlichen Vorſtadt Kairos, Schubra, in das ehemalige öſterreichiſch-ungariſche <b class=""highlightcolor"">Hoſpital</b> überführt wurden, wo es an den für Schulzwecke nötigen ...</div>"
25	wartedestempels19320831-01.1.8	31 August 1932	wartedestempels	Page 8	"<div class=""txtsearchsnippet"">... Zeit Vermeſſungen ſtatt. Die jüdiſche Krankenkaſſe hat beſchloſſen, ihr <b class=""highlightcolor"">Hoſpital</b> in der Jesreelebene, deſſen Unterhaltungskoſten zur Hälfte von den ...</div>"
26	wartedestempels19370731-01.1.12	31 July 1937	wartedestempels	Page 12	"<div class=""txtsearchsnippet"">... (Schulhaus). 6. Zwei Bauplätze in Feruſalem. ; 7. Das <b class=""highlightcolor"">Hoſpital</b> in Jaffa. Durch die Kaiſerreiſe im Herbſt 1898 war ...</div>"
27	wartedestempels19270331-01.1.7	31 March 1927	wartedestempels	Page 7	"<div class=""txtsearchsnippet"">... werden, rund L.E. 200000 koſten und eine Schule, ein <b class=""highlightcolor"">Hoſpital,</b> ein Hoſpiz und einen Konzertſaal enthalten. Die Baugelder wurden ...</div>"
28	wartedestempels19250815-01.1.5	15 August 1925	wartedestempels	Page 5	"<div class=""txtsearchsnippet"">... Neben 20 Dorfſchulen beſteht eine landwirtſchaftliche Frauenſchule und ein <b class=""highlightcolor"">Hoſpital.</b> Das Sumpfgebiet wurde entwäſſert, die Malariagefahr gebannt. Das nahe ...</div>"
29	wartedestempels19290215-01.1.6	15 February 1929	wartedestempels	Page 6	"<div class=""txtsearchsnippet"">... und 2500 Pfund Baron Rothſchild von Paris beiſteuerten. Das <b class=""highlightcolor"">Hoſpital</b> umfaßt vorläufig zwei Stockwerke und enthält 102 Betten. Die ...</div>"
30	wartedestempels19301130-01.1.2	30 November 1930	wartedestempels	Page 2	"<div class=""txtsearchsnippet"">... 29. Juni. Umkam—pierung per Laſt-Autos nach dem ehemaligen öſterreich—ungariſchen <b class=""highlightcolor"">Hoſpital</b> in Schubrah-Cairo, nachdem wir ein Jahr und 11 Monate ...</div>"
31	wartedestempels19350915-01.1.6	15 September 1935	wartedestempels	Page 6	"<div class=""txtsearchsnippet"">... hat beſchloſſen, in Bet Sefafa bei Jeruſalem ein großes <b class=""highlightcolor"">Hoſpital</b> für anſteckende Krankheiten zu bauen; die Koſten ſind auf ...</div>"
32	wartedestempels19320930-01.1.7	30 September 1932	wartedestempels	Page 7	"<div class=""txtsearchsnippet"">... für das jüdiſche Genoſſenſchaftsweſen. Das der jüdiſchen Krankenkaſſe gehörende <b class=""highlightcolor"">Hoſpital</b> in der desreelebene, das vor kurzem aus Geldmangel geſchloſſen ...</div>"
33	wartedestempels19310430-01.1.7	30 April 1931	wartedestempels	Page 7	"<div class=""txtsearchsnippet"">... noch ein weiteres Krankenhaus zu ſchließen. Wahrſcheinlich wird das <b class=""highlightcolor"">Hoſpital</b> in Haifa geſchloſſen werden. S Der Hebräiſchen Univerſität in ...</div>"
34	wartedestempels19320731-01.1.2	31 July 1932	wartedestempels	Page 2	"<div class=""txtsearchsnippet"">... 1918, wo italieniſche Intriguen ſie verjagten. Ein zweites öſterreichiſches <b class=""highlightcolor"">Hoſpital</b> derſelben Barmherzigen Brüder wurde in Nazareth im Jahre 1884 ...</div>"
35	wartedestempels19330331-01.1.10	31 March 1933	wartedestempels	Page 10	"<div class=""txtsearchsnippet"">... Am 1. April 1933 hat Aſſiſtenzarzt Dr. Eiſenberg das <b class=""highlightcolor"">Hoſpital</b> verlaſſen, um nach Deutſchland zurückzukehren. An ſeine Stelle wurde ...</div>"
36	wartedestempels19390415-01.1.5	15 April 1939	wartedestempels	Page 5	"<div class=""txtsearchsnippet"">... hoſpitaliſiert (173 im Deutſchen Spital Faffa, 31 im Deutſchen <b class=""highlightcolor"">Hoſpital</b> Feruſalem oder fremden Hoſpitälern), während 79 im Elternhaus geboren ...</div>"
37	wartedestempels19280215-01.1.4	15 February 1928	wartedestempels	Page 4	"<div class=""txtsearchsnippet"">... in Bir Salem wieder eröffnet. Das Deutſche Evangeliſche Diatoniſſen <b class=""highlightcolor"">Hoſpital</b> in Jeruſalem iſt ſeit Neujahr im Beſitze einer eigenen ...</div>"
38	wartedestempels19381115-01.1.5	15 November 1938	wartedestempels	Page 5	"<div class=""txtsearchsnippet"">... wir noch einmal Gelegenheit, einen letzten Blick auf das <b class=""highlightcolor"">Hoſpital</b> „Rudolf“, unſer letztes gemeinſames Heim, das von der Bahnlinie ...</div>"
39	wartedestempels19300831-01.1.8	31 August 1930	wartedestempels	Page 8	"<div class=""txtsearchsnippet"">... Bet Safafa bei Jeruſalem errichtet die Regierung ein neues <b class=""highlightcolor"">Hoſpital</b> für Geiſteskranke. Die Feſttage Tiſchabi Ab (jüdiſch) und Mauled ...</div>"
40	wartedestempels19300115-01.1.6	15 January 1930	wartedestempels	Page 6	"<div class=""txtsearchsnippet"">... Waiſenhäuſer, das Johanniter-Hoſpiz, eine Siedlung der Kaiſerswerther Diakoniſſinnen mit <b class=""highlightcolor"">Hoſpital,</b> das Kinderhoſpiz „Marienſtift“, verſchiedene Klöſter, das St.-Paulus-Hoſpiz, deſſen bewährter ...</div>"
41	wartedestempels19290915-01.1.3	15 September 1929	wartedestempels	Page 3	"<div class=""txtsearchsnippet"">... immer noch geſchloſſen waren, ſo daß ſogar das deutſche <b class=""highlightcolor"">Hoſpital</b> ſeine Nahrung auf der Kolonie holte. Nur vereinzelt wagten ...</div>"
42	wartedestempels19371115-01.1.3	15 November 1937	wartedestempels	Page 3	"<div class=""txtsearchsnippet"">... Schubra, einer Vorſtadt Kairos, in das ehe—~ malige öſtereichiſch-ungariſche <b class=""highlightcolor"">Hoſpital</b> überführt wurden, wo es an den für Schulzwecke nötigen ...</div>"
43	wartedestempels19281231-01.1.2	31 December 1928	wartedestempels	Page 2	"<div class=""txtsearchsnippet"">... „haben Sie ganz vergeſſen, daß dieſer Mann geſtern im <b class=""highlightcolor"">Hoſpital</b> ſtarb und heute morgen von uns begraben wurde? Sind ...</div>"
44	wartedestempels19361130-01.1.2	30 November 1936	wartedestempels	Page 2	"<div class=""txtsearchsnippet"">... veranſtaltete. Mit dieſem Geld baute er ein ganz beſcheidenes <b class=""highlightcolor"">Hoſpital</b> in Lambarene in Afrika und wurde vielen Kranken und ...</div>"
